Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Dosing Information,Tabs Section,A tabbed interface allowing users to switch between different dosing information.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.humirapro.com/dosing/uveitis-adult,tabs_section,default,templateIds: tpl_0
Dosing Information,Tab Controls,The controls for switching between tabs.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.humirapro.com/dosing/uveitis-adult,tab_controls,default,templateIds: tpl_0
Dosing Information,Induction Dose Tab,Content for the induction dose including images and descriptions.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.humirapro.com/dosing/uveitis-adult,induction_dose_tab,default,templateIds: tpl_0
Dosing Information,Maintenance Dose Tab,Content for the maintenance dose including images and descriptions.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.humirapro.com/dosing/uveitis-adult,maintenance_dose_tab,default,templateIds: tpl_0
Dosing Information,Dosing Images,Images representing the dosing schedule and products.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.humirapro.com/dosing/uveitis-adult,dosing_images,default,templateIds: tpl_0
HUMIRA® (adalimumab) for adult patients with NI uveitis,Global Utility Strip,Provides utility links such as contact information and subscription options.,S,1,Minimal functionality with basic layout.,https://www.humirapro.com/uveitis,global_utility_strip,Utility strip,No direct match in catalog.
HUMIRA® (adalimumab) for adult patients with NI uveitis,Primary Header,Displays the main branding and navigation for the site.,M,1,Includes navigation and branding elements.,https://www.humirapro.com/uveitis,primary_header,Main navigation,Mapped to 'Header' in catalog.
HUMIRA® (adalimumab) for adult patients with NI uveitis,Hero Section,Highlights the main content or call-to-action for the page.,M,1,Requires styling and interactive elements.,https://www.humirapro.com/uveitis,hero_section,Hero banner,Mapped to 'Hero' in catalog.
HUMIRA® (adalimumab) for adult patients with NI uveitis,Accordion Section,Contains expandable content sections for detailed information.,M,1,Interactive functionality with expandable sections.,https://www.humirapro.com/uveitis,accordion_section,Accordion,Mapped to 'Accordion' in catalog.
HUMIRA® (adalimumab) for adult patients with NI uveitis,CTA Links,Provides call-to-action links for navigating to related content.,S,1,Simple link functionality without advanced features.,https://www.humirapro.com/uveitis,cta_links,Subscribe,No direct match in catalog.
HUMIRA® (adalimumab) for adult patients with NI uveitis,Footer Section,Displays the footer with additional navigation and contact options.,S,1,Basic footer functionality with minimal interactivity.,https://www.humirapro.com/uveitis,footer_section,Footer,Mapped to 'Footer' in catalog.
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Global Utility Strip,Provides quick access to utility links such as contact and subscription.,S,1,Limited scope for accessibility and functionality.,https://www.humirapro.com/uveitis-pediatric,global_utility_strip,Utility strip,No matching AEM catalog entry found.
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Primary Navigation,Main navigation menu for accessing key site sections.,M,1,Moderate scope due to navigation depth and potential accessibility requirements.,https://www.humirapro.com/uveitis-pediatric,primary_navigation,Main navigation,No matching AEM catalog entry found.
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Hero Section,Prominent section displaying headline and key information.,S,1,Simple implementation with limited interactivity.,https://www.humirapro.com/uveitis-pediatric,hero_section,Hero banner,No matching AEM catalog entry found.
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Call to Action Section,Contains buttons for navigating to related content or features.,S,1,Minimal complexity for implementation.,https://www.humirapro.com/uveitis-pediatric,cta_section,Subscribe,No matching AEM catalog entry found.
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Accordion Section,Expandable sections for detailed topic information.,M,1,Moderate complexity due to interactive elements.,https://www.humirapro.com/uveitis-pediatric,accordion_section,Expandable content,No matching AEM catalog entry found.
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Image and Text Section,Displays paired images and text for visual emphasis.,S,1,Simple implementation with static content.,https://www.humirapro.com/uveitis-pediatric,image_text_section,Image-text pairing,No matching AEM catalog entry found.
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Rich Text Section,Formatted text content for informational purposes.,S,1,Limited complexity with static text.,https://www.humirapro.com/uveitis-pediatric,rich_text_section,Informational text,No matching AEM catalog entry found.
Sitemap for HUMIRA® (adalimumab) Healthcare Professional Site,Utility Navigation,Provides quick access to global utilities like contact information.,S,1,Straightforward navigation links without complex interactions.,https://www.humirapro.com/site-map,global_utility_navigation,Utility strip,No direct match in catalog.
Sitemap for HUMIRA® (adalimumab) Healthcare Professional Site,Primary Header,Displays main branding and primary navigation elements.,M,1,Includes branding and navigational depth.,https://www.humirapro.com/site-map,primary_header,Main navigation,No direct match in catalog.
Sitemap for HUMIRA® (adalimumab) Healthcare Professional Site,Sitemap Hero,Highlights the sitemap page with a hero image or introductory content.,M,1,Hero element with styling and layout considerations.,https://www.humirapro.com/site-map,sitemap_hero_section,Hero section,Mapped to Hero block type.
Sitemap for HUMIRA® (adalimumab) Healthcare Professional Site,Sitemap Links,Lists all links and categories for easy navigation.,M,1,Requires structured layout for multiple links.,https://www.humirapro.com/site-map,sitemap_links_section,Links listing,No direct match in catalog.
Sitemap for HUMIRA® (adalimumab) Healthcare Professional Site,Footer,Contains footer content including links to resources.,M,1,Footer fragment with styling and resource links.,https://www.humirapro.com/site-map,footer_section,Footer content,Mapped to Footer block type.
HUMIRA® (adalimumab) | For Healthcare Professionals,Global Utility Navigation,Provides quick access to global site utilities such as contact and subscription options.,S,1,Minimal complexity due to static links and simple navigation.,https://www.humirapro.com/,global_utility_navigation,Utility strip,No direct match found in AEM catalog.
HUMIRA® (adalimumab) | For Healthcare Professionals,Primary Header,Displays the main branding and navigation for the website.,M,1,Moderate complexity due to branding integration and primary navigation structure.,https://www.humirapro.com/,primary_header,Main navigation,No direct match found in AEM catalog.
HUMIRA® (adalimumab) | For Healthcare Professionals,Hero Section,Highlights the main content or message of the page with a prominent visual and text.,M,1,Moderate complexity due to visual prominence and interaction requirements.,https://www.humirapro.com/,hero_section,Hero section,Matched with AEM Hero block.
HUMIRA® (adalimumab) | For Healthcare Professionals,Accordion Section,Contains expandable and collapsible content sections for detailed information.,M,1,Moderate complexity due to interactive elements and structured content.,https://www.humirapro.com/,accordion_section,Accordion,Matched with AEM Accordion block.
HUMIRA® (adalimumab) | For Healthcare Professionals,CTA Links,Provides call-to-action links for navigation to specific content or external resources.,S,1,Minimal complexity due to static links and simple styling.,https://www.humirapro.com/,cta_links,Call-to-action links,No direct match found in AEM catalog.
HUMIRA® (adalimumab) | For Healthcare Professionals,Footer,Displays footer content with additional navigation and site information.,S,1,Minimal complexity due to static content and simple styling.,https://www.humirapro.com/,footer,Footer,Matched with AEM Footer block.
HUMIRA® (adalimumab) Safety profile,Global Utility Navigation,Provides utility navigation links for quick access.,M,1,Includes accessibility considerations and potential dynamic link updates.,https://www.humirapro.com/global-safety,global_utility_navigation,Utility strip,No exact match found in catalog.
HUMIRA® (adalimumab) Safety profile,Primary Navigation,Main site navigation for exploring primary sections and subsections.,C,1,Deep navigation structure with potential for dropdowns and submenus.,https://www.humirapro.com/global-safety,primary_navigation,Main navigation,No exact match found in catalog.
HUMIRA® (adalimumab) Safety profile,Hero Section,Displays a prominent hero banner with key information.,M,1,Includes dynamic content and responsive design considerations.,https://www.humirapro.com/global-safety,hero_section,Hero banner,Matched to 'Hero' in catalog.
HUMIRA® (adalimumab) Safety profile,Accordion Section,Expandable accordion sections for detailed content.,M,1,Requires JavaScript for interactive functionality.,https://www.humirapro.com/global-safety,accordion_section,Content accordion,Matched to 'Accordion' in catalog.
HUMIRA® (adalimumab) Safety profile,CTA Links,Provides call-to-action links for navigation to key content.,M,1,Includes multiple links with potential tracking.,https://www.humirapro.com/global-safety,cta_links,Links section,No exact match found in catalog.
