Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Rethinking Receptors in Parkinson&#39;s Disease,Utility Navigation,Provides quick access to utility links and site-wide features.,S,4,Basic navigation links with minimal interactivity.,https://www.rethinkingreceptorsinpd.com/,global_utility_navigation,Utility Navigation,May include accessibility considerations for link focus and keyboard navigation.,screenshots/blocks/global_utility_navigation__default.png
Rethinking Receptors in Parkinson&#39;s Disease,Primary Navigation,Main navigation menu for accessing primary sections of the site.,M,3,Includes hierarchical navigation with potential dropdowns.,https://www.rethinkingreceptorsinpd.com/,primary_navigation,Main Navigation,Ensure deep navigation and responsive design are implemented.,screenshots/blocks/primary_navigation__default.png
Rethinking Receptors in Parkinson&#39;s Disease,Hero Section,Highlights the main message or theme of the homepage.,M,7,Includes large visual elements and interactive content.,https://www.rethinkingreceptorsinpd.com/,hero_section,Hero Banner,May require optimization for loading large images and responsive design.,screenshots/blocks/hero_section__default.png
Rethinking Receptors in Parkinson&#39;s Disease,Video Section,Displays a video player with supporting content.,C,2,Requires integration with video hosting and interactive features.,https://www.rethinkingreceptorsinpd.com/,video_section,Video Player,Ensure accessibility features like captions and transcripts are available.,screenshots/blocks/video_section__default.png
Rethinking Receptors in Parkinson&#39;s Disease,Accordion Section,Provides expandable content for detailed information.,M,1,Interactive elements with potential deep content.,https://www.rethinkingreceptorsinpd.com/,accordion_section,Expandable Content,Accessibility considerations for keyboard navigation and ARIA roles.,screenshots/blocks/accordion_section__default.png
Rethinking Receptors in Parkinson&#39;s Disease,Unmet Need Section,Discusses the unmet needs in Parkinson's Disease treatments.,M,1,May include complex styling and interactive elements.,https://www.rethinkingreceptorsinpd.com/,unmet_need_section,Content Highlight,Could benefit from further analysis to identify specific block type.,screenshots/blocks/unmet_need_section__default.png
Rethinking Receptors in Parkinson&#39;s Disease,Footer Section,"Contains site-wide links, legal information, and branding.",S,1,Static content with minimal interactivity.,https://www.rethinkingreceptorsinpd.com/,footer_section,Footer,Ensure consistent styling and accessibility compliance.,screenshots/blocks/footer_section__default.png
Rethinking Receptors in Parkinson&#39;s Disease,Back to Top Button,Allows users to quickly return to the top of the page.,S,7,Simple functionality with basic interactivity.,https://www.rethinkingreceptorsinpd.com/,back_to_top,Utility Button,Ensure smooth scrolling and accessibility features are included.,screenshots/blocks/back_to_top__default.png
Emerging Research for Parkinson&#39;s Disease,Utility Navigation,Provides links for utility actions such as contact and subscription.,S,2,Simple navigation links without advanced functionality.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,global_utility_strip,Utility strip,Includes basic navigation and accessibility considerations.,screenshots/blocks/global_utility_strip__default.png
Emerging Research for Parkinson&#39;s Disease,Primary Navigation,Displays site branding and main navigation links.,M,4,Includes branding elements and main navigation functionality.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,primary_header,Main navigation,Requires responsive design and accessibility support.,screenshots/blocks/primary_header__default.png
Emerging Research for Parkinson&#39;s Disease,Introduction Section,Provides context and overview for the page topic.,S,1,Simple content layout without interactive elements.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,intro_section,Introductory content,Structured for clear presentation of introductory information.,screenshots/blocks/intro_section__default.png
Emerging Research for Parkinson&#39;s Disease,Content Highlights,Displays key points in a visually structured manner.,M,1,Requires grid layout and responsive design.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,content_highlights,Highlighted points,Focus on readability and visual organization.,screenshots/blocks/content_highlights__default.png
Emerging Research for Parkinson&#39;s Disease,Call to Action Section,Encourages user interaction for further engagement.,M,5,Includes interactive elements and call-to-action design.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,cta_section,Call to Action,Designed to prompt user engagement effectively.,screenshots/blocks/cta_section__default.png
Emerging Research for Parkinson&#39;s Disease,Footer,Displays footer content with links and site information.,S,4,Simple layout and content presentation.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,footer,Footer with links and policies,Focus on accessibility and clear presentation of information.,screenshots/blocks/footer__default.png
Dopamine Receptor Function in Parkinson’s Disease,Main Navigation,Primary navigation links for the website.,M,3,Contains hierarchical navigation with potential dropdowns.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,main_navigation,Primary navigation,No direct mapping found in the AEM catalog.,screenshots/blocks/main_navigation__default.png
Dopamine Receptor Function in Parkinson’s Disease,Content Introduction,Introduces the page topic with a title and description.,S,1,Static content with minimal interactions.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,dopamine_receptor_intro,Introduction,No direct mapping found in the AEM catalog.,screenshots/blocks/dopamine_receptor_intro__default.png
Dopamine Receptor Function in Parkinson’s Disease,D1 Receptors,Details about D1-like receptors.,M,1,Includes text and image content.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,d1_receptors,Content block,No direct mapping found in the AEM catalog.,screenshots/blocks/d1_receptors__default.png
