Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Speaking with your doctor about EPI transcript,Utility Navigation,Provides quick links to important resources.,S,2,Simple list of links with minimal interaction.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,utility_navigation,Utility strip,No direct match in catalog.,screenshots/blocks/utility_navigation__default.png
Speaking with your doctor about EPI transcript,Primary Navigation,Main navigation for site sections.,M,7,Includes dropdown menus and hierarchical structure.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,primary_navigation,Main navigation,No direct match in catalog.,screenshots/blocks/primary_navigation__default.png
Speaking with your doctor about EPI transcript,Breadcrumb Navigation,Displays the user's path within the site.,S,8,Simple breadcrumb trail with links.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,breadcrumb_navigation,Breadcrumb,No direct match in catalog.,screenshots/blocks/breadcrumb_navigation__default.png
Speaking with your doctor about EPI transcript,Hero Section,Highlights the page title and key message.,M,10,Includes styling and possibly background image.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,hero_section,Hero banner,Matched to 'Hero' in catalog.,screenshots/blocks/hero_section__default.png
Speaking with your doctor about EPI transcript,Video Transcript,Provides text for video content.,S,1,Static text content for accessibility.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,video_transcript,Transcript,No direct match in catalog.,screenshots/blocks/video_transcript__default.png
Speaking with your doctor about EPI transcript,Important Safety Information,Displays critical safety details.,S,2,Text content with minimal interactivity.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,important_safety_information,Safety information,No direct match in catalog.,screenshots/blocks/important_safety_information__default.png
Speaking with your doctor about EPI transcript,Footer Navigation,Provides links to additional site resources.,M,1,Includes multiple link sections and potential styling.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,footer_navigation,Footer navigation,No direct match in catalog.,screenshots/blocks/footer_navigation__default.png
Creon Complete,Utility Navigation,Provides quick access to essential links for users.,M,4,Contains multiple links requiring accessibility and usability checks.,https://www.creoninfo.com/creon-complete,global_utility_navigation,Utility strip,Ensure compliance with accessibility standards.,screenshots/blocks/global_utility_navigation__default.png
Creon Complete,Header,Displays the logo and primary navigation.,M,3,Includes branding and navigation elements.,https://www.creoninfo.com/creon-complete,primary_header,Main navigation,Requires responsive design and branding alignment.,screenshots/blocks/primary_header__default.png
Creon Complete,Main Navigation,Provides primary links to site sections.,M,2,Deep navigation structure with submenu items.,https://www.creoninfo.com/creon-complete,main_navigation,Primary navigation,Focus on navigation hierarchy.,screenshots/blocks/main_navigation__default.png
Creon Complete,Resources Section,Provides tailored resources for users.,M,1,Dynamic content based on user needs.,https://www.creoninfo.com/creon-complete,personalized_resources,Resource listing,Focus on user accessibility and relevance.,screenshots/blocks/personalized_resources__default.png
Creon Complete,Support Features,Showcases tools and savings opportunities.,M,1,Includes interactive tools and user-centric features.,https://www.creoninfo.com/creon-complete,support_features,Feature showcase,Ensure interactivity and user engagement.,screenshots/blocks/support_features__default.png
Creon Complete,Video Section,Displays videos for user education.,M,1,Requires video player integration and accessibility.,https://www.creoninfo.com/creon-complete,video_section,Video player,Ensure video controls are accessible.,screenshots/blocks/video_section__default.png
Creon Complete,Next Best Message,Encourages adherence to treatment plans.,S,2,Simple message display.,https://www.creoninfo.com/creon-complete,next_best_message,Motivational message,Focus on user engagement.,screenshots/blocks/next_best_message__default.png
Creon Complete,Footer,Displays footer links and additional information.,S,1,Basic footer with links and styling.,https://www.creoninfo.com/creon-complete,footer_section,Footer,Ensure compliance with site-wide styles.,screenshots/blocks/footer_section__default.png
CREON® Official Website ­- For Exocrine Pancreatic Insufficiency,Global Utility Strip,"Provides quick access to utility links such as safety information, prescribing information, and healthcare professional resources.",M,4,Includes multiple links with accessibility requirements.,https://www.creoninfo.com/,global_utility_strip,Utility strip,Utility links are critical for user navigation and compliance.,screenshots/blocks/global_utility_strip__default.png
CREON® Official Website ­- For Exocrine Pancreatic Insufficiency,CTA Banner,Banner with a call-to-action encouraging users to learn about savings on CREON.,S,1,Single call-to-action with straightforward functionality.,https://www.creoninfo.com/,cta_banner,Call-to-action banner,CTA banners drive user engagement and conversions.,screenshots/blocks/cta_banner__default.png
CREON® Official Website ­- For Exocrine Pancreatic Insufficiency,Card Grid,"Grid of cards highlighting key topics such as What is EPI, Getting Started with CREON, and Patient Stories.",M,1,Interactive and responsive card layout.,https://www.creoninfo.com/,card_grid,Card grid,Card grids are versatile for presenting grouped content.,screenshots/blocks/card_grid__default.png
CREON® Official Website ­- For Exocrine Pancreatic Insufficiency,Info Tree,Interactive section asking users questions to guide them to relevant information.,C,1,Requires logic for user interaction and data-driven content delivery.,https://www.creoninfo.com/,info_tree,Interactive decision tree,Info trees enhance personalized user journeys.,screenshots/blocks/info_tree__default.png
CREON® Official Website ­- For Exocrine Pancreatic Insufficiency,Footer,Site footer with additional navigation links and contact information.,M,3,"Includes navigation, compliance links, and contact details.",https://www.creoninfo.com/,footer,Footer,Footers provide essential site-wide navigation and compliance information.,screenshots/blocks/footer__default.png
Causes of Exocrine Pancreatic Insufficiency - CREON®,Condition Details Accordion,Collapsible sections for detailed condition information.,M,1,Dynamic content toggling with accessibility features.,https://www.creoninfo.com/associated-conditions,accordion_conditions,Accordion list,Ensure proper ARIA roles for accessibility.,screenshots/blocks/accordion_conditions__default.png
EPI treatment and management - CREON® (pancrelipase),PERT Information,Provides details about Pancreatic Enzyme Replacement Therapy.,M,1,Includes detailed content and potential links.,https://www.creoninfo.com/treating-epi,pert_information,Informational section,Focuses on educating users about PERT.,screenshots/blocks/pert_information__default.png
EPI treatment and management - CREON® (pancrelipase),Enzyme Cards,Displays key details about digestive enzymes in card format.,M,1,Interactive card layout with potential for animations.,https://www.creoninfo.com/treating-epi,enzyme_cards,Card layout,"Highlights Lipase, Amylase, and Protease.",screenshots/blocks/enzyme_cards__default.png
EPI treatment and management - CREON® (pancrelipase),Spotlight Section,Emphasizes key PERT-related information.,M,2,Focuses on highlighted content with possible visual emphasis.,https://www.creoninfo.com/treating-epi,spotlight_section,Highlight section,Draws attention to critical details.,screenshots/blocks/spotlight_section__default.png
EPI treatment and management - CREON® (pancrelipase),Diet and Lifestyle Callout,Offers guidance on diet and lifestyle changes for managing EPI.,M,1,Includes engaging visual elements and actionable advice.,https://www.creoninfo.com/treating-epi,diet_lifestyle_callout,Callout,Supports patient education and engagement.,screenshots/blocks/diet_lifestyle_callout__default.png
EPI treatment and management - CREON® (pancrelipase),Sign-Up Call-to-Action,Encourages users to sign up for additional resources and information.,S,1,Simple button-driven interaction.,https://www.creoninfo.com/treating-epi,signup_cta,CTA,Promotes user engagement and resource access.,screenshots/blocks/signup_cta__default.png
EPI treatment and management - CREON® (pancrelipase),FAQ Accordion,Provides expandable answers to common questions about EPI.,M,3,Interactive accordion with dynamic content.,https://www.creoninfo.com/treating-epi,faq_accordion,Accordion,Enhances user understanding through structured Q&A.,screenshots/blocks/faq_accordion__default.png
Watch Educational videos about EPI -­ CREON® (pancrelipase),Video Tabs,Organizes video content into navigable tabs.,M,1,Interactive tab functionality requiring JavaScript.,https://www.creoninfo.com/videos,tabs_videos,Tabbed interface,Ensure smooth transitions between tabs.,screenshots/blocks/tabs_videos__default.png
Watch Educational videos about EPI -­ CREON® (pancrelipase),Footer Links,Provides additional navigation options in footer.,S,1,Simple link-based navigation.,https://www.creoninfo.com/videos,footer_links,Footer navigation,Ensure consistency across all pages.,screenshots/blocks/footer_links__default.png
How is EPI diagnosed? - CREON®,Diagnosis Information,"Provides detailed information about EPI diagnosis, including steps and considerations.",M,1,Content-focused section with structured layout.,https://www.creoninfo.com/epi-diagnosis,diagnosis_information,Informational content,No direct match in AEM catalog.,screenshots/blocks/diagnosis_information__default.png
How is EPI diagnosed? - CREON®,Symptoms Quiz CTA,Encourages users to take a quiz to understand their symptoms better.,M,1,Interactive call-to-action element.,https://www.creoninfo.com/epi-diagnosis,symptoms_quiz_cta,Quiz CTA,No direct match in AEM catalog.,screenshots/blocks/symptoms_quiz_cta__default.png
How is EPI diagnosed? - CREON®,Diagnostic Tests,Explains the main tests used for diagnosing EPI.,M,1,Uses card layout for structured presentation.,https://www.creoninfo.com/epi-diagnosis,diagnostic_tests,Cards,Mapped using catalog data.,screenshots/blocks/diagnostic_tests__default.png
How is EPI diagnosed? - CREON®,Additional Resources,Provides links and information for further learning about EPI and treatment options.,S,1,Simple resource links.,https://www.creoninfo.com/epi-diagnosis,additional_resources,Resource links,No direct match in AEM catalog.,screenshots/blocks/additional_resources__default.png
EPI Symptoms Quiz - CREON® (pancrelipase),EPI Quiz,Hosts the EPI symptoms quiz and related interactive content.,C,1,Interactive quiz functionality with potential data handling.,https://www.creoninfo.com/doctor-discussion-guide,epi_quiz_section,Interactive quiz,No matching catalog block found.,screenshots/blocks/epi_quiz_section__default.png
EPI Symptoms Quiz - CREON® (pancrelipase),Discussion Guide Call-to-Action,Encourages users to download the doctor discussion guide.,S,1,Simple call-to-action with minimal interactivity.,https://www.creoninfo.com/doctor-discussion-guide,discussion_guide_cta,CTA button,No matching catalog block found.,screenshots/blocks/discussion_guide_cta__default.png
EPI Symptoms Quiz - CREON® (pancrelipase),Questions Section,Lists questions for patients to ask their doctors.,S,1,Static list of questions with no interactivity.,https://www.creoninfo.com/doctor-discussion-guide,questions_section,Informational list,No matching catalog block found.,screenshots/blocks/questions_section__default.png
