Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Durysta HCP,Utility Navigation,Provides utility links for quick access to prescribing information and the patient site.,M,6,"Involves accessibility features, multiple navigation layers, and external links.",https://www.durystahcp.com/,global_utility_navigation,Utility strip,Includes links for prescribing information and patient site navigation.,screenshots/blocks/global_utility_navigation__default.png
Durysta HCP,Primary Navigation,Facilitates primary site navigation for accessing main sections.,M,8,Requires deep navigation structure and accessibility compliance.,https://www.durystahcp.com/,primary_navigation,Main navigation,"Includes links to About DURYSTA, Clinical Data, and Resources.",screenshots/blocks/primary_navigation__default.png
Durysta HCP,Hero Section,Displays the main message and imagery for the homepage.,M,8,Involves large image handling and responsive layout design.,https://www.durystahcp.com/,hero_section,Hero banner,Features a visually prominent banner with key messaging.,screenshots/blocks/hero_section__default.png
Durysta HCP,Three Column CTA,Showcases three columns with images and text promoting key benefits.,M,1,Requires responsive design and alignment of columns with call-to-action elements.,https://www.durystahcp.com/,three_column_cta,Three-column layout,Highlights three distinct benefits or features.,screenshots/blocks/three_column_cta__default.png
Durysta HCP,Important Safety Information,Displays critical safety and usage information for DURYSTA.,M,1,Involves legal compliance and precise content rendering.,https://www.durystahcp.com/,isi_section,Safety information,Includes detailed safety information as a mandatory section.,screenshots/blocks/isi_section__default.png
Durysta HCP,Footer,"Provides site-wide links such as About AbbVie, Contact Us, and Privacy Notice.",M,3,Involves accessibility features and dynamic content inclusion.,https://www.durystahcp.com/,footer,Footer,Serves as the global footer for the website.,screenshots/blocks/footer__default.png
About Us Page,Background Image Section,Displays a background image for visual context and branding.,S,4,Basic background image rendering without interaction.,https://www.durystahcp.com/site-modols/aboutabbvie,background_image_section,Background visual context,No direct match found in the AEM catalog.,screenshots/blocks/background_image_section__default.png
About Us Page,Image and Text Section,Combines an image with text content to convey a message or branding.,M,3,"Combines media and text, requiring layout coordination.",https://www.durystahcp.com/site-modols/aboutabbvie,image_text_section,Image with accompanying text,No direct match found in the AEM catalog.,screenshots/blocks/image_text_section__default.png
About Us Page,Rich Text Section,Contains formatted text content for user information.,S,2,Formatted text rendering with minimal complexity.,https://www.durystahcp.com/site-modols/aboutabbvie,rich_text_section,Formatted text content,No direct match found in the AEM catalog.,screenshots/blocks/rich_text_section__default.png
About Us Page,CTA Button,Provides a call-to-action button for user interaction.,S,6,Simple interactive button functionality.,https://www.durystahcp.com/site-modols/aboutabbvie,cta_button,Interactive call-to-action,No direct match found in the AEM catalog.,screenshots/blocks/cta_button__default.png
Resources | DURYSTA®,Utility Navigation,Provides quick navigation links for professional resources.,M,2,Includes dynamic links and accessibility requirements.,https://www.durystahcp.com/resources,utility_navigation,Utility strip,No exact match in the AEM catalog.,screenshots/blocks/utility_navigation__default.png
Study Design Page,Study Design Rich Text Block,Displays detailed information about study design and efficacy endpoints.,M,1,Moderate complexity due to rich text formatting and potential for embedded references.,https://www.durystahcp.com/site-modols/study_design,study_design_rich_text,Detailed study content,No exact match found in the AEM blocks catalog.,screenshots/blocks/study_design_rich_text__default.png
Video Module,Video Player,Integrates a video player module for displaying patient testimonies.,M,1,Includes video functionality such as playback options and data attributes for analytics.,https://www.durystahcp.com/site-modols/patient-testimony-video,video_player_module,Patient testimony video display,Ensure compatibility with Brightcove integration and accessibility standards.,screenshots/blocks/video_player_module__default.png
Video Module,Transcript Link,Provides a hyperlink to access the video transcript.,S,1,Simple hyperlink functionality for accessibility.,https://www.durystahcp.com/site-modols/patient-testimony-video,transcript_link,Transcript access,No direct match in catalog; consider custom implementation or extend existing block.,screenshots/blocks/transcript_link__default.png
Training Module,Background Container,Provides the background image and styling for the training module page.,M,4,Background containers often involve responsive design considerations and accessibility for background images.,https://www.durystahcp.com/site-modols/trainingcta,background_container,Background Styling,Consider aligning with AEM standards for background components.,screenshots/blocks/background_container__default.png
Clinical Data | DURYSTA®,Tabs Section,Provides tabbed navigation for detailed clinical study data.,M,1,Requires tabbed interface functionality and styling.,https://www.durystahcp.com/clinical-data,tabs_section,Tabbed navigation,Matched to catalog entry 'Tabs'.,screenshots/blocks/tabs_section__default.png
Patient Site Module,Background Section,Provides a container with a background image for content.,M,1,Involves background image handling and layout.,https://www.durystahcp.com/site-modols/patient_site,background_section,Background image container,This block may require custom styling for responsiveness.,screenshots/blocks/background_section__default.png
Patient Site Module,Image and Text Block,Displays an image alongside text content.,M,1,Combines image and text layout with responsive behavior.,https://www.durystahcp.com/site-modols/patient_site,image_text_block,Image-text alignment,Ensure accessibility for images and text.,screenshots/blocks/image_text_block__default.png
Patient Site Module,Rich Text Content,Displays rich text with formatting options.,S,2,Simple text formatting and alignment.,https://www.durystahcp.com/site-modols/patient_site,rich_text_block,Centered text with bold formatting,Minimal interactivity required.,screenshots/blocks/rich_text_block__default.png
Logo Module,Logo Display,Displays brand logo in adaptable resolutions.,S,1,Static image display with responsive behavior.,https://www.durystahcp.com/site-modols/logo,logo_display,Logo Presentation,No direct match found in the AEM catalog.,screenshots/blocks/logo_display__default.png
Logo Module,Rich Text Notice,Communicates a notice or message in styled text.,S,2,Simple text styling without dynamic behavior.,https://www.durystahcp.com/site-modols/logo,rich_text_notice,Notice Text,No direct match found in the AEM catalog.,screenshots/blocks/rich_text_notice__default.png
Reimbursement Module,Image Logo,Provides branding logo in multiple resolutions.,S,1,Simple image rendering for branding.,https://www.durystahcp.com/site-modols/reimbursementcta,image_logo,Logo display,Verify logo quality and alt text for accessibility.,screenshots/blocks/image_logo__default.png
Reimbursement Module,Proceed CTA Button,Provides a call-to-action button for external navigation.,M,1,Interactive element with external link handling.,https://www.durystahcp.com/site-modols/reimbursementcta,proceed_cta_button,CTA button,Test link functionality and accessibility attributes.,screenshots/blocks/proceed_cta_button__default.png
Prescribing Info Module,Image and Text Component,Displays an image alongside associated text content.,M,1,Handles responsive image display and text integration.,https://www.durystahcp.com/site-modols/prescibing_information,image_text_component,Image-text combination,No exact match found in catalog.,screenshots/blocks/image_text_component__default.png
Prescribing Info Module,Rich Text Content,Contains and styles text content for display.,S,2,Focuses on text styling and alignment.,https://www.durystahcp.com/site-modols/prescibing_information,rich_text_content,Styled text content,No exact match found in catalog.,screenshots/blocks/rich_text_content__default.png
Savings Program Module,Logo Image,Shows the Durysta logo in different resolutions for varying screen sizes.,S,1,Static image display with responsive behavior.,https://www.durystahcp.com/site-modols/durysta-savings-program,logo_image,Logo Display,No direct match found in the AEM catalog.,screenshots/blocks/logo_image__default.png
Savings Program Module,Rich Text Message,Presents a centered message informing the user about leaving the current site.,S,1,Simple text styling and positioning.,https://www.durystahcp.com/site-modols/durysta-savings-program,rich_text_message,Rich Text,No direct match found in the AEM catalog.,screenshots/blocks/rich_text_message__default.png
Savings Program Module,Proceed CTA,Provides a call-to-action button for users to proceed to the external savings program site.,S,1,Basic button element with external link functionality.,https://www.durystahcp.com/site-modols/durysta-savings-program,proceed_cta,Call-to-Action Button,No direct match found in the AEM catalog.,screenshots/blocks/proceed_cta__default.png
