Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
A quién le importa,Utility Navigation,Provides access to utility links such as contact and subscribe.,M,1,Includes multiple navigation elements and potential accessibility considerations.,https://www.aquienleimporta.com/,global_utility_strip,Utility strip,No exact match in AEM catalog.,screenshots/blocks/global_utility_strip__default.png
A quién le importa,Main Header,Displays site branding and primary navigation.,C,1,Complex navigation and branding integration.,https://www.aquienleimporta.com/,primary_header,Main navigation,Matched with 'Header' from AEM catalog.,screenshots/blocks/primary_header__default.png
A quién le importa,Hero Section,Features the main visual and introductory content of the page.,C,1,Includes large visual assets and responsive design.,https://www.aquienleimporta.com/,hero_section,Hero banner,Matched with 'Hero' from AEM catalog.,screenshots/blocks/hero_section__default.png
A quién le importa,Section Navigation,Provides sticky navigation for different page sections.,M,1,Sticky navigation with dynamic updates.,https://www.aquienleimporta.com/,section_navigation,Section navigation,No exact match in AEM catalog.,screenshots/blocks/section_navigation__default.png
A quién le importa,Informational Section,Explains the basics of Hepatitis C.,M,1,Includes textual content with potential dynamic updates.,https://www.aquienleimporta.com/,what_is_hepatitis_c,Informational content,No exact match in AEM catalog.,screenshots/blocks/what_is_hepatitis_c__default.png
A quién le importa,Informational Section,Details transmission methods of Hepatitis C.,M,1,Includes textual content with potential dynamic updates.,https://www.aquienleimporta.com/,how_is_hepatitis_c_spread,Informational content,No exact match in AEM catalog.,screenshots/blocks/how_is_hepatitis_c_spread__default.png
A quién le importa,Symptom Information,Lists symptoms associated with Hepatitis C.,M,1,Includes textual content with potential dynamic updates.,https://www.aquienleimporta.com/,symptoms_section,Symptom details,No exact match in AEM catalog.,screenshots/blocks/symptoms_section__default.png
A quién le importa,Diagnosis Information,Provides information on Hepatitis C diagnosis.,M,1,Includes textual content with potential dynamic updates.,https://www.aquienleimporta.com/,diagnosis_section,Diagnosis details,No exact match in AEM catalog.,screenshots/blocks/diagnosis_section__default.png
A quién le importa,Treatment Information,Describes treatment options for Hepatitis C.,M,1,Includes textual content with potential dynamic updates.,https://www.aquienleimporta.com/,treatment_section,Treatment details,No exact match in AEM catalog.,screenshots/blocks/treatment_section__default.png
A quién le importa,Call to Action,Encourages users to take specific actions.,M,1,Includes interactive elements and accessibility concerns.,https://www.aquienleimporta.com/,cta_section,Call to action,No exact match in AEM catalog.,screenshots/blocks/cta_section__default.png
