Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Home,Utility Navigation,Provides links for healthcare professionals and contact options.,S,1,Simple navigation links with minimal interactivity.,https://www.essentialsofibs.com/,global_utility_navigation,Utility strip,No complex features detected.
Home,Primary Navigation,Main site navigation with links to key sections.,M,1,Includes dropdown menus and hierarchical navigation.,https://www.essentialsofibs.com/,primary_navigation,Main navigation,Requires accessibility considerations for dropdowns.
Home,Hero Section,Highlights the main message of the page with a background image and headline.,M,1,Involves styling for large images and text overlays.,https://www.essentialsofibs.com/,hero_section,Hero banner,Ensure image optimization and responsive design.
Home,Impact Statistics,Displays key statistics about IBS in a visually engaging format.,M,1,Uses column layout with images and text.,https://www.essentialsofibs.com/,impact_statistics,Statistics layout,May require responsive adjustments for various screen sizes.
Home,Interactive Game CTA,Promotes an interactive game to learn about IBS.,C,1,Interactive component likely involves custom scripting.,https://www.essentialsofibs.com/,interactive_game_cta,Call-to-action,Requires detailed analysis for interactivity.
Home,Diagnosis Resources,Provides downloadable resources for IBS diagnosis.,M,1,Involves displaying multiple cards with links.,https://www.essentialsofibs.com/,diagnosis_resources,Resource cards,Ensure accessibility for downloadable content.
Home,Management Resources,Offers downloadable resources for IBS management.,M,1,Similar layout and functionality as Diagnosis Resources.,https://www.essentialsofibs.com/,management_resources,Resource cards,Consistency in design and functionality is key.
Home,Resources CTA,Encourages users to explore all available resources.,S,1,Simple call-to-action design.,https://www.essentialsofibs.com/,resources_cta,Call-to-action,Requires clear and concise messaging.
Home,Patient Quotes Carousel,Showcases patient quotes in a carousel format.,C,1,Carousel functionality with navigation controls.,https://www.essentialsofibs.com/,patient_quotes_carousel,Content carousel,Ensure accessibility for carousel controls.
Home,Footer,Contains site-wide links and legal information.,S,1,Static footer with basic links.,https://www.essentialsofibs.com/,footer,Site footer,Includes legal and navigation links.
Home,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple scroll-to-top functionality.,https://www.essentialsofibs.com/,back_to_top,Utility button,Ensure smooth scrolling behavior.
