Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Global Utility Navigation,Provides quick access to utility links such as 'For Healthcare Professionals'.,M,7,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,global_utility_navigation,default,templateIds: tpl_0,screenshots/blocks/global_utility_navigation__default.png
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Primary Header,"Displays the main branding and navigation for the site, including the logo and primary menu.",M,3,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,primary_header,default,templateIds: tpl_0,screenshots/blocks/primary_header__default.png
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Hero Section,Highlights the main message and imagery of the homepage.,M,8,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,hero_section,default,templateIds: tpl_0,screenshots/blocks/hero_section__default.png
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Image Grid CTAs,Displays a grid of images with associated calls to action.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,image_grid_ctas,default,templateIds: tpl_0,screenshots/blocks/image_grid_ctas__default.png
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Why Choose Section,Explains the benefits of the product with supporting images and text.,M,2,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,why_choose_section,default,templateIds: tpl_0,screenshots/blocks/why_choose_section__default.png
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Testimonials Carousel,Showcases customer testimonials in a carousel format.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,testimonials_carousel,default,templateIds: tpl_0,screenshots/blocks/testimonials_carousel__default.png
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Savings Section,Promotes savings opportunities with associated imagery and CTAs.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,savings_section,default,templateIds: tpl_0,screenshots/blocks/savings_section__default.png
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,FAQs Section,Provides answers to frequently asked questions in an accordion format.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,faqs_section,default,templateIds: tpl_0,screenshots/blocks/faqs_section__default.png
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Footer Section,Contains site-wide footer links and legal information.,M,3,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,footer_section,default,templateIds: tpl_0,screenshots/blocks/footer_section__default.png
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Back to Top Button,Allows users to quickly navigate back to the top of the page.,M,3,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,back_to_top_button,default,templateIds: tpl_0,screenshots/blocks/back_to_top_button__default.png
Frequently Asked Questions | LASTACAFT®,Primary Navigation,Main navigation menu for the site.,C,4,Primary navigation with deep hierarchy and potential accessibility requirements.,https://www.lastacaft.com/frequently-asked-questions,primary_navigation,Main navigation,No direct match in catalog; involves hierarchical menu structure.,screenshots/blocks/primary_navigation__default.png
Frequently Asked Questions | LASTACAFT®,FAQ Accordion,Interactive accordion displaying frequently asked questions and answers.,M,1,Accordion functionality with expandable and collapsible sections.,https://www.lastacaft.com/frequently-asked-questions,faq_accordion,FAQ accordion,Matches Accordion block from catalog.,screenshots/blocks/faq_accordion__default.png
Frequently Asked Questions | LASTACAFT®,Still Have Questions Section,Provides contact information for further inquiries.,S,1,Simple text-based section with contact details.,https://www.lastacaft.com/frequently-asked-questions,still_have_questions,Contact information,No direct match in catalog; straightforward implementation.,screenshots/blocks/still_have_questions__default.png
Frequently Asked Questions | LASTACAFT®,Footer,Footer section containing site links and legal information.,M,2,Footer with potential legal and navigational elements.,https://www.lastacaft.com/frequently-asked-questions,footer,Footer,Matches Footer block from catalog.,screenshots/blocks/footer__default.png
Understanding Eye Allergies with LASTACAFT®,Introduction Text,Provides an introductory explanation about eye allergies.,S,1,Simple text content.,https://www.lastacaft.com/understanding-eye-allergies,rich_text_intro,Introductory text,No matching catalog block found.,screenshots/blocks/rich_text_intro__default.png
Understanding Eye Allergies with LASTACAFT®,Allergens Overview,Details various allergens and their effects.,M,1,Structured content with multiple subsections.,https://www.lastacaft.com/understanding-eye-allergies,allergens_section,Content overview,No matching catalog block found.,screenshots/blocks/allergens_section__default.png
Understanding Eye Allergies with LASTACAFT®,Pollen Details,Information about pollen and its impact on allergies.,S,1,Simple content section.,https://www.lastacaft.com/understanding-eye-allergies,pollen_details,Content detail,No matching catalog block found.,screenshots/blocks/pollen_details__default.png
Understanding Eye Allergies with LASTACAFT®,Grass Details,Information about grass allergens and their seasonal impact.,S,1,Simple content section.,https://www.lastacaft.com/understanding-eye-allergies,grass_details,Content detail,No matching catalog block found.,screenshots/blocks/grass_details__default.png
Understanding Eye Allergies with LASTACAFT®,Ragweed Details,Information about ragweed allergens and their effects.,S,1,Simple content section.,https://www.lastacaft.com/understanding-eye-allergies,ragweed_details,Content detail,No matching catalog block found.,screenshots/blocks/ragweed_details__default.png
Understanding Eye Allergies with LASTACAFT®,Pet Dander Details,Information about pet dander and its impact on allergies.,S,1,Simple content section.,https://www.lastacaft.com/understanding-eye-allergies,pet_dander_details,Content detail,No matching catalog block found.,screenshots/blocks/pet_dander_details__default.png
Understanding Eye Allergies with LASTACAFT®,Tips Section,Provides actionable tips for managing eye allergies.,M,1,Contains structured content with actionable items.,https://www.lastacaft.com/understanding-eye-allergies,tips_section,Tips and advice,No matching catalog block found.,screenshots/blocks/tips_section__default.png
Understanding Eye Allergies with LASTACAFT®,Mobile Tips Section,Tips for managing allergies optimized for mobile view.,M,1,Optimized for mobile devices.,https://www.lastacaft.com/understanding-eye-allergies,mobile_tips_section,Mobile tips,No matching catalog block found.,screenshots/blocks/mobile_tips_section__default.png
Understanding Eye Allergies with LASTACAFT®,Pollen Tracker,Interactive tool for tracking pollen levels by ZIP code.,C,1,Interactive functionality and data integration.,https://www.lastacaft.com/understanding-eye-allergies,pollen_tracker,Interactive tracker,No matching catalog block found.,screenshots/blocks/pollen_tracker__default.png
Understanding Eye Allergies with LASTACAFT®,Offer Section,Promotes a coupon for LASTACAFT® product.,S,1,Simple promotional content.,https://www.lastacaft.com/understanding-eye-allergies,offer_section,Coupon offer,No matching catalog block found.,screenshots/blocks/offer_section__default.png
Understanding Eye Allergies with LASTACAFT®,Back to Top Button,Provides a button to quickly return to the top of the page.,S,4,Simple button functionality.,https://www.lastacaft.com/understanding-eye-allergies,back_to_top,Utility button,No matching catalog block found.,screenshots/blocks/back_to_top__default.png
About LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Content Columns,Displays detailed information about the product in a two-column layout.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.lastacaft.com/about,content_columns,default,templateIds: tpl_3,screenshots/blocks/content_columns__default.png
About LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Video Player,Embedded video player showcasing product information.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.lastacaft.com/about,video_player,default,templateIds: tpl_3,screenshots/blocks/video_player__default.png
About LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Call-to-Action Buttons,Prominent buttons for actions like 'Get Coupon' and 'Where to Buy'.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.lastacaft.com/about,cta_buttons,default,templateIds: tpl_3,screenshots/blocks/cta_buttons__default.png
About LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,How It Works,Details the mechanism of action of the product with images and text.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.lastacaft.com/about,how_it_works,default,templateIds: tpl_3,screenshots/blocks/how_it_works__default.png
About LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Social Media Links,Links to the product's social media pages for user engagement.,M,4,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.lastacaft.com/about,social_media_links,default,templateIds: tpl_3,screenshots/blocks/social_media_links__default.png
About LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Footer Navigation,Contains footer links for site policies and additional resources.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.lastacaft.com/about,footer_navigation,default,templateIds: tpl_3,screenshots/blocks/footer_navigation__default.png
LASTACAFT® (alcaftadine ophthalmic solution) for HCP’s,About Section,Provides detailed information about the product.,M,1,Includes structured content and potential interactivity.,https://www.lastacaft.com/doc,about_section,Informational content,No direct match found in the AEM blocks catalog.,screenshots/blocks/about_section__default.png
LASTACAFT® (alcaftadine ophthalmic solution) for HCP’s,Features Columns,Highlights key features and benefits in a two-column layout.,M,1,Requires responsive design and content alignment.,https://www.lastacaft.com/doc,features_columns,Content columns,Mapped to Columns block in AEM catalog.,screenshots/blocks/features_columns__default.png
LASTACAFT® (alcaftadine ophthalmic solution) for HCP’s,CTA Section,Encourages user engagement with calls-to-action.,M,1,Includes interactive elements and tracking.,https://www.lastacaft.com/doc,cta_section,Call-to-action,No direct match found in the AEM blocks catalog.,screenshots/blocks/cta_section__default.png
