Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Oncology Research &amp; Treatment | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Simple navigation links.,https://www.abbvie.com/science/areas-of-focus/oncology.html,global_utility_strip,Utility strip,No matching block found in catalog.
Oncology Research &amp; Treatment | AbbVie,Primary Navigation,Main site navigation with dropdown menus for different sections.,M,1,Dropdown menus increase complexity.,https://www.abbvie.com/science/areas-of-focus/oncology.html,primary_navigation,Main navigation,No matching block found in catalog.
Oncology Research &amp; Treatment | AbbVie,Hero Section,Prominent section with a large image and introductory text.,M,1,Includes large image and text positioning.,https://www.abbvie.com/science/areas-of-focus/oncology.html,hero_section,Hero section,Matched to 'Hero' in catalog.
Oncology Research &amp; Treatment | AbbVie,Multi-Column CTAs,Section with multiple columns featuring calls to action.,M,1,Multiple columns and CTAs add complexity.,https://www.abbvie.com/science/areas-of-focus/oncology.html,multi_column_ctas,Calls to action,No matching block found in catalog.
Oncology Research &amp; Treatment | AbbVie,Card Grid,Displays a grid of cards with images and descriptions.,M,1,Grid layout and card styling.,https://www.abbvie.com/science/areas-of-focus/oncology.html,card_grid,Card grid,Matched to 'Cards' in catalog.
Oncology Research &amp; Treatment | AbbVie,Back to Top Button,Provides a button to quickly scroll back to the top of the page.,S,1,Single button functionality.,https://www.abbvie.com/science/areas-of-focus/oncology.html,back_to_top_button,Scroll button,No matching block found in catalog.
Pharmaceutical Research &amp; Development | AbbVie,Global Utility Strip,"Provides links for contact, subscription, and group sites.",S,1,Simple layout with basic links.,https://www.abbvie.com/,global_utility_strip,Utility strip,No exact match found in catalog.
Pharmaceutical Research &amp; Development | AbbVie,Primary Navigation,Main navigation menu with links to various sections of the site.,M,1,Potential depth of navigation and interactivity.,https://www.abbvie.com/,primary_navigation,Main navigation,No exact match found in catalog.
Pharmaceutical Research &amp; Development | AbbVie,Hero Section,Prominent section showcasing the main theme or focus of the page.,M,1,Includes styling and potential interactivity.,https://www.abbvie.com/,hero_section,Hero,Mapped to catalog block 'Hero'.
Pharmaceutical Research &amp; Development | AbbVie,Multi-Column CTAs,Displays multiple call-to-action elements in a grid layout.,M,1,Requires grid layout and responsive design.,https://www.abbvie.com/,multi_column_cta,Call-to-action grid,No exact match found in catalog.
Pharmaceutical Research &amp; Development | AbbVie,Card Grid,Grid layout showcasing cards with images and text.,M,1,Grid layout with potential interactivity.,https://www.abbvie.com/,card_grid,Card grid,Mapped to catalog block 'Cards'.
Pharmaceutical Research &amp; Development | AbbVie,Latest News Listing,Lists the latest news articles or updates.,M,1,Dynamic content listing with potential sorting or filtering.,https://www.abbvie.com/,latest_news_listing,News listing,No exact match found in catalog.
Pharmaceutical Research &amp; Development | AbbVie,Back to Top Button,Button allowing users to quickly return to the top of the page.,S,1,Simple functionality with minimal interactivity.,https://www.abbvie.com/,back_to_top_button,Utility button,No exact match found in catalog.
Policies &amp; Disclosures | AbbVie,Global Utility Strip,"Provides quick access to global utilities like contact, subscribe, and group sites.",M,1,Moderate complexity due to integration of multiple utility links and potential accessibility requirements.,https://www.abbvie.com/who-we-are/policies-disclosures.html,global_utility_strip,Utility strip,Ensure alignment with global standards for utility strips.
Policies &amp; Disclosures | AbbVie,Primary Navigation,"Main navigation menu for the site, including dropdowns for sections.",C,1,High complexity due to deep navigation structure and dropdown features.,https://www.abbvie.com/who-we-are/policies-disclosures.html,primary_navigation,Main navigation,Ensure comprehensive testing for responsive and accessibility compliance.
Policies &amp; Disclosures | AbbVie,Content Grid,"Displays a grid of content cards, including stories and statistics.",M,1,Moderate complexity due to dynamic content rendering and grid structure.,https://www.abbvie.com/who-we-are/policies-disclosures.html,content_grid,Content grid,Verify alignment with design specifications and grid responsiveness.
Major League Baseball | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and other group sites.",M,1,Moderate complexity due to accessibility considerations and integration of multiple links.,https://www.abbvie.com/who-we-are/brand-partnerships/major-league-baseball.html,global_utility_strip,Utility strip,No matching block found in the AEM catalog.
Major League Baseball | AbbVie,Primary Navigation,Main site navigation with dropdown menus for exploring site sections.,C,1,High complexity due to deep navigation structure and dropdown functionality.,https://www.abbvie.com/who-we-are/brand-partnerships/major-league-baseball.html,primary_navigation,Main navigation,No matching block found in the AEM catalog.
Major League Baseball | AbbVie,Back to Top Button,Button to quickly scroll back to the top of the page.,S,1,Low complexity as it involves a simple button with scrolling functionality.,https://www.abbvie.com/who-we-are/brand-partnerships/major-league-baseball.html,back_to_top,Scroll button,No matching block found in the AEM catalog.
Our R&amp;D Leaders | AbbVie,Global Utility Strip,Provides quick access to essential links such as contact and subscribe options.,S,1,Simple structure with limited interactivity.,https://www.abbvie.com/science/our-people/our-rd-leaders.html,global_utility_strip,Utility strip,Ensure accessibility and responsiveness.
Our R&amp;D Leaders | AbbVie,Primary Header,Displays the main site navigation and branding elements.,M,1,Includes navigation with potential dropdowns and branding.,https://www.abbvie.com/science/our-people/our-rd-leaders.html,primary_header,Main navigation,Check for deep navigation and accessibility compliance.
Our R&amp;D Leaders | AbbVie,Hero Section,Highlights the main theme or focus of the page with a large image and heading.,M,1,Involves responsive design and potential animation.,https://www.abbvie.com/science/our-people/our-rd-leaders.html,hero_section,Hero image and text,Ensure proper scaling for various devices.
Our R&amp;D Leaders | AbbVie,Card Grid,Displays a grid of cards showcasing content or links.,M,1,Requires dynamic layout adjustments and content management.,https://www.abbvie.com/science/our-people/our-rd-leaders.html,card_grid,Content cards,Consider hover effects and mobile layout.
Our R&amp;D Leaders | AbbVie,Prose Columns,Presents detailed textual information in a columnar layout.,S,1,Static text layout with minimal interactivity.,https://www.abbvie.com/science/our-people/our-rd-leaders.html,prose_columns,Textual content,Focus on typography and readability.
Partnering Days | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group sites.",S,1,Limited functionality and interaction scope.,https://www.abbvie.com/science/partner-with-us/partnering-days.html,global_utility_strip,Utility strip,No direct match in AEM catalog.
Partnering Days | AbbVie,Primary Navigation,Main site navigation with dropdown menus for sections.,M,1,Dropdown interactions and potential depth of navigation.,https://www.abbvie.com/science/partner-with-us/partnering-days.html,primary_navigation,Main navigation,No direct match in AEM catalog.
Partnering Days | AbbVie,Hero Section,Large visual section introducing the page's main topic.,M,1,Involves styling and potential dynamic content.,https://www.abbvie.com/science/partner-with-us/partnering-days.html,hero_section,Hero banner,Mapped to 'Hero' from AEM catalog.
Partnering Days | AbbVie,Main Call-to-Action,Encourages users to explore the 'Who We Are' section.,S,1,Simple call-to-action functionality.,https://www.abbvie.com/science/partner-with-us/partnering-days.html,main_cta,Subscribe/Action button,No direct match in AEM catalog.
Partnering Days | AbbVie,Card Grid,Displays a grid of cards with images and text for featured content.,M,1,Grid layout and card interactions.,https://www.abbvie.com/science/partner-with-us/partnering-days.html,card_grid,Content cards,Mapped to 'Cards' from AEM catalog.
Partnering Days | AbbVie,Dashboard Cards,Highlights key metrics and recognitions.,M,1,Requires dynamic data display and styling.,https://www.abbvie.com/science/partner-with-us/partnering-days.html,dashboard_cards,Metrics cards,No direct match in AEM catalog.
Patient-Focused Drug Development | AbbVie,Global Utility Strip,"Provides quick links for contact, subscription, and access to group sites.",S,1,Simple navigation links without deep hierarchy.,https://www.abbvie.com/science/areas-of-innovation/patient-focused-drug-development.html,global_utility_strip,Utility strip,No exact match in AEM catalog.
Patient-Focused Drug Development | AbbVie,Primary Navigation,"Main navigation menu for the website, including dropdowns for sections and pages.",C,1,Complex dropdown navigation with potential accessibility considerations.,https://www.abbvie.com/science/areas-of-innovation/patient-focused-drug-development.html,primary_navigation,Main navigation,No exact match in AEM catalog.
Patient-Focused Drug Development | AbbVie,Hero Section,Prominent hero image and title introducing the page's main topic.,M,1,Styling and responsiveness required for hero layout.,https://www.abbvie.com/science/areas-of-innovation/patient-focused-drug-development.html,hero_section,Hero,Mapped to Hero block in AEM catalog.
Patient-Focused Drug Development | AbbVie,Main Content,The main content area with detailed information and links.,M,1,Standard content area with potential for nested elements.,https://www.abbvie.com/science/areas-of-innovation/patient-focused-drug-development.html,main_content,Content,No exact match in AEM catalog.
Patient-Focused Drug Development | AbbVie,Card Grid,Grid layout displaying cards with images and text for various topics.,M,1,Requires grid responsiveness and card styling.,https://www.abbvie.com/science/areas-of-innovation/patient-focused-drug-development.html,card_grid,Card grid,Mapped to Cards block in AEM catalog.
Patient-Focused Drug Development | AbbVie,Call-to-Action Buttons,Buttons encouraging user actions such as navigation or form submissions.,S,1,Simple button elements without advanced interactions.,https://www.abbvie.com/science/areas-of-innovation/patient-focused-drug-development.html,cta_buttons,Buttons,No exact match in AEM catalog.
Patient-Focused Drug Development | AbbVie,Back to Top Button,Button to quickly navigate back to the top of the page.,S,1,Single functionality button without complex interactions.,https://www.abbvie.com/science/areas-of-innovation/patient-focused-drug-development.html,back_to_top,Back to top,No exact match in AEM catalog.
