Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Adverse Reaction Management - EMRELIS™ HCP,Utility Navigation,Provides quick access to important links.,S,1,Simple navigation links without complex interactivity.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,utility_navigation,Utility strip,No matching catalog entry found.
Adverse Reaction Management - EMRELIS™ HCP,Primary Navigation,Main navigation menu for website sections.,M,1,Moderate complexity due to potential nested menu items.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,primary_navigation,Main navigation,No matching catalog entry found.
Adverse Reaction Management - EMRELIS™ HCP,Hero Section,Highlights the main topic with an image and title.,M,1,Involves styling and responsiveness for prominent display.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,hero_section,Hero banner,No matching catalog entry found.
Adverse Reaction Management - EMRELIS™ HCP,Main Title,Displays the primary heading of the page.,S,1,Single element with straightforward styling.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,main_title,Page title,No matching catalog entry found.
Adverse Reaction Management - EMRELIS™ HCP,Content Accordion,Provides expandable sections for detailed information.,M,1,Requires JavaScript for interactivity and CSS for styling.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,content_accordion,Accordion,Catalog entry matched: 'Accordion'.
Adverse Reaction Management - EMRELIS™ HCP,Image Section,Displays an illustrative image for dosage adjustment.,S,1,Static content with simple layout.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,image_section_1,Image display,No matching catalog entry found.
Adverse Reaction Management - EMRELIS™ HCP,Important Safety Information,Contains critical safety details about the product.,M,1,Content requires high visibility and compliance considerations.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,important_safety_information,Safety information,No matching catalog entry found.
How EMRELIS Works - EMRELIS™ HCP,Utility Navigation,Provides quick access to resources such as safety and prescribing information.,S,1,Simple navigation with links to resources.,https://www.emrelishcp.com/about-emrelis,utility_navigation,Utility strip,No matching catalog entry found.
How EMRELIS Works - EMRELIS™ HCP,Primary Navigation,Main navigation for accessing key website sections.,M,1,Includes hierarchical navigation and submenus.,https://www.emrelishcp.com/about-emrelis,primary_navigation,Main navigation,No matching catalog entry found.
How EMRELIS Works - EMRELIS™ HCP,Hero Section,Prominent section with background image and title for page introduction.,M,1,Includes image and text positioning with potential animation.,https://www.emrelishcp.com/about-emrelis,hero_section,Page Hero,Mapped to catalog entry 'Hero'.
How EMRELIS Works - EMRELIS™ HCP,About EMRELIS Introduction,Overview section with title and subtitle.,S,1,Simple text display with styling.,https://www.emrelishcp.com/about-emrelis,about_emrelis_intro,Introduction,No matching catalog entry found.
How EMRELIS Works - EMRELIS™ HCP,Key Features,Highlights features with images and descriptions.,M,1,Includes images and styled content layout.,https://www.emrelishcp.com/about-emrelis,key_features,Feature highlights,No matching catalog entry found.
How EMRELIS Works - EMRELIS™ HCP,Mechanism of Action,Explains EMRELIS mechanism using video and text.,C,1,Involves video integration and detailed content.,https://www.emrelishcp.com/about-emrelis,mechanism_of_action,Video-based explanation,No matching catalog entry found.
How EMRELIS Works - EMRELIS™ HCP,Accordion Transcript,Expandable section for detailed transcript information.,M,1,Interactive accordion functionality with transitions.,https://www.emrelishcp.com/about-emrelis,accordion_transcript,Transcript accordion,Mapped to catalog entry 'Accordion'.
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Global Utility Strip,"Provides quick access to utility links such as Important Safety Information, Prescribing Information, and Patient Website.",M,1,Includes multiple utility links requiring consistent styling and accessibility.,https://www.emrelishcp.com/,global_utility_strip,Utility strip,Custom implementation likely.
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Primary Header,"Contains the main branding and navigation elements, including the logo and primary navigation menu.",C,1,Deep navigation structure with branding and multiple interaction points.,https://www.emrelishcp.com/,primary_header,Main navigation,Requires testing for responsive behavior.
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Hero Section,Highlights the main message and call-to-action for the page with a prominent visual and text.,M,1,Prominent visual and text integration with call-to-action.,https://www.emrelishcp.com/,hero_section,Hero banner,Ensure proper visual hierarchy.
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Call-to-Action Section,Encourages user interaction with buttons leading to further information or actions.,M,1,Requires proper styling and alignment for interactive elements.,https://www.emrelishcp.com/,cta_section,CTA buttons,Focus on accessibility for buttons.
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Important Safety Information,Displays critical safety information about the product.,M,1,Includes legal and compliance requirements for presentation.,https://www.emrelishcp.com/,important_safety_info,Safety disclaimer,Legal content requires strict adherence to guidelines.
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Footer,Contains footer information and links for site navigation and legal disclaimers.,S,1,Basic footer with links and minimal styling.,https://www.emrelishcp.com/,footer,Footer,Ensure proper link accessibility.
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Utility Navigation,"Provides quick access to important links such as safety information, prescribing information, and external resources.",S,1,Simple navigation links without extensive functionality.,https://www.emrelishcp.com/contact-a-rep,utility_navigation,Utility strip,No direct match in catalog.
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Primary Navigation,"Main site navigation for exploring sections like About c-Met, Efficacy, and Support.",M,1,Includes hierarchical navigation and submenu expansion.,https://www.emrelishcp.com/contact-a-rep,primary_navigation,Main navigation,No direct match in catalog.
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Hero Section,Prominent section introducing the page with a background image and headline.,S,1,Static content with basic styling.,https://www.emrelishcp.com/contact-a-rep,hero_section,Hero banner,Matched to catalog entry for Hero block.
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Main Content Introduction,"Provides an introduction and context for the page's purpose, including a headline and descriptive text.",S,1,Text-based content without interactive elements.,https://www.emrelishcp.com/contact-a-rep,main_content_intro,Introductory text,No direct match in catalog.
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Contact Form,Interactive form for users to request a representative.,C,1,"Includes form validation, submission handling, and potential integrations.",https://www.emrelishcp.com/contact-a-rep,contact_form,Form,Matched to catalog entry for Form block.
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Safety Information,"Detailed safety information about the product, including warnings and precautions.",M,1,Contains formatted text and potentially expandable sections.,https://www.emrelishcp.com/contact-a-rep,safety_information,Safety details,No direct match in catalog.
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,References Section,Lists references and citations for the information provided on the page.,S,1,Static list of references without dynamic functionality.,https://www.emrelishcp.com/contact-a-rep,references_section,References list,No direct match in catalog.
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Footer Links,Footer section with links to additional resources and legal information.,S,1,Simple footer with static links.,https://www.emrelishcp.com/contact-a-rep,footer_links,Footer navigation,Matched to catalog entry for Footer block.
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Utility Navigation,Provides quick access to links like safety information and prescribing details.,M,1,Includes accessibility features for navigation and external/internal link handling.,https://www.emrelishcp.com/safety,global_utility_navigation,Utility strip,Could be mapped to a similar catalog item if available.
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Primary Navigation,"Main navigation for accessing major sections like About, Efficacy, and Safety.",C,1,Deep navigation with hierarchical menus and accessibility support.,https://www.emrelishcp.com/safety,primary_navigation,Main navigation,Requires detailed mapping for hierarchical menu structure.
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Hero Section,Highlights the main topic with a large image and heading.,M,1,Includes styling and potential animations.,https://www.emrelishcp.com/safety,hero_section,Hero banner,Mapped directly to catalog.
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Main Title,Displays the primary heading of the page.,S,1,Simple text display with minimal styling.,https://www.emrelishcp.com/safety,main_title,Page heading,No direct catalog match found.
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Introductory Prose,Provides an introductory description about the safety profile.,S,1,Basic text content with simple formatting.,https://www.emrelishcp.com/safety,intro_prose,Intro text,No direct catalog match found.
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Detailed Prose,Offers detailed information about adverse reactions and safety data.,M,1,Requires structured formatting and possibly links for references.,https://www.emrelishcp.com/safety,detailed_prose,Detailed text,No direct catalog match found.
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Adverse Reaction Chart,Displays adverse reactions visually.,C,1,Involves graphical representation and data integration.,https://www.emrelishcp.com/safety,adverse_reaction_chart,Chart,No direct catalog match found.
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Adverse Reactions Accordion,Expandable sections detailing specific adverse reactions.,M,1,Interactive UI component with accessibility considerations.,https://www.emrelishcp.com/safety,accordion_adverse_reactions,Accordion,Mapped directly to catalog.
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Footer,Contains site-wide links and additional information.,S,1,Basic styling and fixed placement.,https://www.emrelishcp.com/safety,footer,Footer,Mapped directly to catalog.
EMRELIS Support &amp; Resources - EMRELIS™ HCP,Global Utility Navigation,Provides quick access links to important resources.,M,1,Involves accessibility considerations and navigation hierarchy.,https://www.emrelishcp.com/support#howtoordermetihctesting,global_utility_navigation,Utility strip,"No exact match in the catalog, custom implementation likely."
EMRELIS Support &amp; Resources - EMRELIS™ HCP,Primary Navigation,Main site navigation to primary sections.,C,1,Deep navigation structure requiring accessibility and responsive design.,https://www.emrelishcp.com/support#howtoordermetihctesting,primary_navigation,Main navigation,"No direct catalog match, custom design likely."
EMRELIS Support &amp; Resources - EMRELIS™ HCP,Hero Section,Prominent section introducing the page.,M,1,Includes image handling and responsive design.,https://www.emrelishcp.com/support#howtoordermetihctesting,hero_section,Hero banner,Matched to catalog entry for Hero.
EMRELIS Support &amp; Resources - EMRELIS™ HCP,Support Brochures,Features downloadable brochures for patient education.,S,1,Static content with download links.,https://www.emrelishcp.com/support#howtoordermetihctesting,support_brochures,Brochure download,"No exact catalog match, simple implementation."
EMRELIS Support &amp; Resources - EMRELIS™ HCP,How to Order,Information on ordering EMRELIS.,S,1,Static content with contact details.,https://www.emrelishcp.com/support#howtoordermetihctesting,how_to_order,Order instructions,"No exact catalog match, straightforward content."
EMRELIS Support &amp; Resources - EMRELIS™ HCP,Footer,Footer section with additional links and information.,S,1,Basic styling and link management.,https://www.emrelishcp.com/support#howtoordermetihctesting,footer,Footer,Matched to catalog entry for Footer.
Sign Up for EMRELIS Updates - EMRELIS™ HCP,Utility Navigation,"Provides quick access links to important sections like safety information, prescribing information, and patient website.",M,1,Includes multiple links and accessibility requirements.,https://www.emrelishcp.com/support/sign-up,utility_navigation,Utility strip,No exact match found in AEM catalog.
Sign Up for EMRELIS Updates - EMRELIS™ HCP,Primary Navigation,Contains the main navigation menu for accessing different sections of the website.,C,1,Deep navigation structure with potential submenus.,https://www.emrelishcp.com/support/sign-up,primary_navigation,Main navigation,No exact match found in AEM catalog.
Sign Up for EMRELIS Updates - EMRELIS™ HCP,Hero Section,Highlights the main purpose of the page with a background image and introductory text.,M,1,Includes a background image and styled text.,https://www.emrelishcp.com/support/sign-up,hero_section,Hero section,Mapped to 'Hero' from AEM catalog.
Sign Up for EMRELIS Updates - EMRELIS™ HCP,Important Safety Information,Displays critical safety information about the EMRELIS product.,M,1,Requires clear and accessible presentation of safety information.,https://www.emrelishcp.com/support/sign-up,important_safety_information,Safety information,No exact match found in AEM catalog.
Sign Up for EMRELIS Updates - EMRELIS™ HCP,References Section,Lists references and citations for the information provided on the page.,S,1,Relatively simple text-based content.,https://www.emrelishcp.com/support/sign-up,references_section,References list,No exact match found in AEM catalog.
Search Results,Global Utility Navigation,"Provides quick access to important links such as safety information, prescribing information, and external resources.",M,1,Includes navigation links with accessibility features.,https://www.emrelishcp.com/search-results,global_utility_navigation,Utility strip,No exact match found in the catalog.
Search Results,Primary Navigation,Main navigation menu for accessing various sections of the site.,C,1,Complex multi-level navigation with accessibility requirements.,https://www.emrelishcp.com/search-results,primary_navigation,Main navigation,No exact match found in the catalog.
Search Results,Hero Section,Displays the main title and hero content for the search results page.,M,1,Involves a hero image and text with layout styling.,https://www.emrelishcp.com/search-results,hero_section,Hero image and text,Mapped to 'Hero' in catalog.
Search Results,Search Results,Displays the search results content and related functionalities.,C,1,Search functionality with dynamic results display.,https://www.emrelishcp.com/search-results,search_results,Search results display,Mapped to 'Search' in catalog.
Search Results,Important Safety Information,Provides critical safety information related to the product.,M,1,Includes critical information display with potential legal requirements.,https://www.emrelishcp.com/search-results,important_safety_information,Safety information,No exact match found in the catalog.
Search Results,Footer Links,Contains footer navigation links and legal disclaimers.,M,1,Footer with multiple links and disclaimer sections.,https://www.emrelishcp.com/search-results,footer_links,Footer navigation,Mapped to 'Footer' in catalog.
Efficacy &amp; Duration of Response - EMRELIS™ HCP,Utility Navigation,Provides quick access to important links such as safety information and prescribing information.,S,1,Simple navigation links without dynamic behavior.,https://www.emrelishcp.com/efficacy/efficacy,utility_navigation,Utility strip,Potential accessibility considerations for screen readers.
Efficacy &amp; Duration of Response - EMRELIS™ HCP,Primary Navigation,"Main navigation menu for the site, including links to major sections like About, Efficacy, and Safety.",M,1,Includes hierarchical menu structure with dropdowns.,https://www.emrelishcp.com/efficacy/efficacy,primary_navigation,Main navigation,Ensure proper keyboard navigation and focus management.
Efficacy &amp; Duration of Response - EMRELIS™ HCP,Hero Section,Prominent section highlighting key content about efficacy and response duration.,M,1,Includes visual elements and dynamic content positioning.,https://www.emrelishcp.com/efficacy/efficacy,hero_section,Hero banner,Ensure responsive design and proper image alt text.
Efficacy &amp; Duration of Response - EMRELIS™ HCP,Efficacy Highlight,Section showcasing efficacy details with supporting text and visual charts.,M,1,Includes data visualization and content organization.,https://www.emrelishcp.com/efficacy/efficacy,efficacy_highlight,Content highlight,Consider accessibility for charts and graphs.
Efficacy &amp; Duration of Response - EMRELIS™ HCP,Response Duration,Section detailing the duration of response with visual timelines and supporting information.,M,1,Involves timeline visualization and detailed content.,https://www.emrelishcp.com/efficacy/efficacy,response_duration,Timeline,Ensure timeline visualization is accessible and responsive.
Efficacy &amp; Duration of Response - EMRELIS™ HCP,Important Safety Information,"Detailed safety information about the product, including warnings and precautions.",S,1,Static text content with minimal interaction.,https://www.emrelishcp.com/efficacy/efficacy,important_safety_information,Safety details,Ensure compliance with regulatory requirements.
Efficacy &amp; Duration of Response - EMRELIS™ HCP,Footer Links,Footer section with links to additional resources and site navigation.,S,1,Simple footer navigation links.,https://www.emrelishcp.com/efficacy/efficacy,footer_links,Footer navigation,Ensure footer links are accessible and appropriately labeled.
Adverse Reaction Management - EMRELIS™ HCP,Global Utility Navigation,"Provides quick access to utility links such as safety information, prescribing information, and patient website.",M,1,Requires a11y compliance and link management.,https://www.emrelishcp.com/dosing/adverse-reaction,global_utility_navigation,Utility strip,No exact match in AEM catalog.
Adverse Reaction Management - EMRELIS™ HCP,Primary Navigation,"Main site navigation for accessing key sections like About, Safety, and Support.",C,1,Deep navigation structure and a11y requirements.,https://www.emrelishcp.com/dosing/adverse-reaction,primary_navigation,Main navigation,No exact match in AEM catalog.
Adverse Reaction Management - EMRELIS™ HCP,Hero Section,"Displays the main headline and subheadline for the page, introducing the topic of managing adverse reactions.",M,1,Includes dynamic content and styling.,https://www.emrelishcp.com/dosing/adverse-reaction,hero_section,Page hero,Matched to AEM catalog 'Hero' block.
Adverse Reaction Management - EMRELIS™ HCP,Dosage Chart,Illustrates dosage adjustments for managing adverse reactions.,M,1,Includes interactive or visual content.,https://www.emrelishcp.com/dosing/adverse-reaction,image_text_dosage_chart,Image-text chart,No exact match in AEM catalog.
Adverse Reaction Management - EMRELIS™ HCP,Adverse Reactions Accordion,Provides expandable sections for detailed information on managing specific adverse reactions.,M,1,Interactive component with a11y considerations.,https://www.emrelishcp.com/dosing/adverse-reaction,accordion_adverse_reactions,Expandable content,Matched to AEM catalog 'Accordion' block.
Adverse Reaction Management - EMRELIS™ HCP,Important Safety Information,Highlights critical safety information and monitoring guidelines for EMRELIS.,M,1,Critical content with a11y and compliance requirements.,https://www.emrelishcp.com/dosing/adverse-reaction,important_safety_information,Safety information,No exact match in AEM catalog.
Adverse Reaction Management - EMRELIS™ HCP,Footer,Contains footer links and additional navigation options.,M,1,Includes dynamic content and styling.,https://www.emrelishcp.com/dosing/adverse-reaction,footer,Footer navigation,Matched to AEM catalog 'Footer' block.
Emrelis Study Design &amp; Patient Characteristics - EMRELIS™ HCP,Utility Navigation,"Provides quick access to safety and prescribing information, and links to the patient website.",S,1,Simple navigation links without advanced interactivity.,https://www.emrelishcp.com/efficacy/study-design,global_utility_navigation,Utility strip,No direct match in the AEM catalog.
Emrelis Study Design &amp; Patient Characteristics - EMRELIS™ HCP,Primary Navigation,Main site navigation for accessing different sections.,M,1,Includes dropdowns and hierarchical navigation.,https://www.emrelishcp.com/efficacy/study-design,primary_navigation,Main navigation,No direct match in the AEM catalog.
Emrelis Study Design &amp; Patient Characteristics - EMRELIS™ HCP,Hero Section,Prominent section highlighting the study design with a background image and title.,M,1,Requires CSS for positioning and image handling.,https://www.emrelishcp.com/efficacy/study-design,hero_section,Hero banner,Matched with the Hero block in the AEM catalog.
Emrelis Study Design &amp; Patient Characteristics - EMRELIS™ HCP,Study Design Overview,Overview of the study design with text and visuals.,M,1,Includes detailed content and visual elements.,https://www.emrelishcp.com/efficacy/study-design,study_design_overview,Content overview,No direct match in the AEM catalog.
Emrelis Study Design &amp; Patient Characteristics - EMRELIS™ HCP,Baseline Characteristics,Displays demographic and clinical data.,M,1,Requires structured data presentation.,https://www.emrelishcp.com/efficacy/study-design,baseline_characteristics,Data display,No direct match in the AEM catalog.
Emrelis Study Design &amp; Patient Characteristics - EMRELIS™ HCP,Safety Information,Highlights critical safety information about the product.,S,1,Simple text-based content.,https://www.emrelishcp.com/efficacy/study-design,important_safety_information,Safety info,No direct match in the AEM catalog.
Emrelis Study Design &amp; Patient Characteristics - EMRELIS™ HCP,References Section,Lists references and citations for credibility.,S,1,Simple list of references.,https://www.emrelishcp.com/efficacy/study-design,references_section,Reference list,No direct match in the AEM catalog.
Emrelis Study Design &amp; Patient Characteristics - EMRELIS™ HCP,Footer Links,Provides links to resources like prescribing information and medical contact.,S,1,Basic footer functionality.,https://www.emrelishcp.com/efficacy/study-design,footer_links,Footer,Matched with the Footer block in the AEM catalog.
EMRELIS Dosing &amp; Administration - EMRELIS™ HCP,Global Utility Navigation,Provides quick access to critical links such as safety and prescribing information.,M,1,Utility navigation with multiple accessible links and roles.,https://www.emrelishcp.com/dosing,global_utility_navigation,Utility strip,Requires accessibility compliance for navigation links.
EMRELIS Dosing &amp; Administration - EMRELIS™ HCP,Primary Navigation,Main navigation menu for accessing site sections.,C,1,Deep navigation structure with potential submenus.,https://www.emrelishcp.com/dosing,primary_navigation,Main navigation,Ensure submenu accessibility and responsive design.
EMRELIS Dosing &amp; Administration - EMRELIS™ HCP,Hero Section,Prominent section introducing the page with a title and background image.,M,1,Visual and responsive design considerations.,https://www.emrelishcp.com/dosing,hero_section,Hero block,Requires high-quality imagery and text contrast for readability.
EMRELIS Dosing &amp; Administration - EMRELIS™ HCP,Dosing Schedule Section,Details the EMRELIS dosing schedule and administration guidelines.,M,1,Content-heavy section with potential tabular data.,https://www.emrelishcp.com/dosing,dosing_schedule_section,Content section,Ensure proper formatting for medical guidelines.
EMRELIS Dosing &amp; Administration - EMRELIS™ HCP,Important Safety Information,Highlights critical safety information about the product.,S,1,Simple informational text block.,https://www.emrelishcp.com/dosing,important_safety_information,Safety notice,Prioritize clear and visible formatting for compliance.
EMRELIS Dosing &amp; Administration - EMRELIS™ HCP,References Section,Lists references and sources for the information provided on the page.,S,1,Text-based section with minimal interactive elements.,https://www.emrelishcp.com/dosing,references_section,Reference list,Ensure proper citation formatting.
Sitemap for EMRELIS™ (telisotuzumab-vedotin) HCP,Utility Navigation,Provides quick access to important links such as safety information and patient website.,M,1,Includes accessibility features and structured navigation.,https://www.emrelishcp.com/sitemap,utility_navigation,Utility strip,No exact match in catalog.
Sitemap for EMRELIS™ (telisotuzumab-vedotin) HCP,Primary Navigation,Main site navigation menu for accessing different sections of the website.,C,1,Deep navigation with potential submenus.,https://www.emrelishcp.com/sitemap,primary_navigation,Main navigation,No exact match in catalog.
Sitemap for EMRELIS™ (telisotuzumab-vedotin) HCP,Hero Section,Prominent introductory section with background image and main heading.,S,1,Basic layout with styling.,https://www.emrelishcp.com/sitemap,hero_section,Hero banner,Matched to catalog entry for 'Hero'.
Sitemap for EMRELIS™ (telisotuzumab-vedotin) HCP,Sitemap Overview,Displays an overview of the sitemap with categorized links to various sections.,M,1,Requires structured layout and link management.,https://www.emrelishcp.com/sitemap,sitemap_overview,Sitemap block,No exact match in catalog.
Sitemap for EMRELIS™ (telisotuzumab-vedotin) HCP,Important Safety Info,Contains critical safety details and warnings about the product.,M,1,Legal and compliance requirements for content.,https://www.emrelishcp.com/sitemap,important_safety_information,Safety details,No exact match in catalog.
Sitemap for EMRELIS™ (telisotuzumab-vedotin) HCP,References Section,Lists references and citations for the information provided on the page.,S,1,Static content listing.,https://www.emrelishcp.com/sitemap,references_section,Reference list,No exact match in catalog.
Sitemap for EMRELIS™ (telisotuzumab-vedotin) HCP,Footer Links,Footer section with links to additional resources and contact information.,M,1,Includes structured links and styling.,https://www.emrelishcp.com/sitemap,footer_links,Footer block,Matched to catalog entry for 'Footer'.
