Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Savings Program | VIBERZI (eluxadoline) CIV,Global Utility Navigation,Provides quick access to important links and resources for users.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,global_utility_navigation,default,templateIds: tpl_0
Savings Program | VIBERZI (eluxadoline) CIV,Primary Navigation,Main navigation menu for accessing key sections of the site.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,primary_navigation,default,templateIds: tpl_0
Savings Program | VIBERZI (eluxadoline) CIV,Hero Section,Prominent section highlighting the Savings Program with a title.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,hero_section,default,templateIds: tpl_0
Savings Program | VIBERZI (eluxadoline) CIV,Eligibility Section,Displays details about patient eligibility and savings offers.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,eligibility_section,default,templateIds: tpl_0
Savings Program | VIBERZI (eluxadoline) CIV,Signup Methods,Details the two methods for signing up for the Savings Program.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,signup_methods,default,templateIds: tpl_0
Savings Program | VIBERZI (eluxadoline) CIV,Important Safety Information,Provides crucial safety information about the product.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,important_safety_information,default,templateIds: tpl_0
Savings Program | VIBERZI (eluxadoline) CIV,Footer,Contains site-wide links and legal information.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,footer,default,templateIds: tpl_0
Savings Program | VIBERZI (eluxadoline) CIV,Back to Top Button,Allows users to quickly navigate back to the top of the page.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,back_to_top,default,templateIds: tpl_0
Patient Resources | VIBERZI (eluxadoline) CIV,Utility Strip Header,Provides quick access utility links for users.,S,1,Simple utility links with minimal interactivity.,https://www.viberzi.com/patient-resources,header_utility_strip,Utility strip,Matches the 'Header' block type as per the catalog.
Patient Resources | VIBERZI (eluxadoline) CIV,Primary Navigation Header,Displays the main navigation links and branding.,M,1,Includes navigation elements and branding with potential for responsive behavior.,https://www.viberzi.com/patient-resources,header_primary_navigation,Main navigation,Shares the 'Header' block type with a distinct variation for primary navigation.
Patient Resources | VIBERZI (eluxadoline) CIV,Main Content Region,"Contains the main page content, including resources.",M,1,Main content area with diverse elements.,https://www.viberzi.com/patient-resources,main_region_0,Content area,No direct match found in the catalog; categorized as unmapped.
Patient Resources | VIBERZI (eluxadoline) CIV,Site Footer,Provides footer navigation and legal information.,S,1,Simple footer implementation with links and legal text.,https://www.viberzi.com/patient-resources,site_footer,Footer navigation,Mapped to the 'Footer' block type in the catalog.
What is Viberzi? | VIBERZI (eluxadoline) CIV,Global Utility Navigation,Provides quick access to important links such as prescribing information and patient medication guide.,S,1,Simple navigation links with no advanced interactions.,https://www.viberzi.com/about-viberzi,global_utility_navigation,Utility strip,No direct match found in the catalog.
What is Viberzi? | VIBERZI (eluxadoline) CIV,Primary Navigation,Main navigation menu for accessing primary site sections.,M,1,Includes hierarchical structure and multiple links.,https://www.viberzi.com/about-viberzi,primary_navigation,Main navigation,No direct match found in the catalog.
What is Viberzi? | VIBERZI (eluxadoline) CIV,Hero Section,Prominent introductory section with a large image and heading.,M,1,Requires visual prominence and responsive behavior.,https://www.viberzi.com/about-viberzi,hero_section,Hero,Matched to 'Hero' in the catalog.
