Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Global Utility Navigation,Provides utility links such as signing up for updates.,S,1,Simple navigation links with minimal interactivity.,https://www.abbvieaccess.com/brand/lupron-men,global_utility_navigation,Utility strip,No exact match found in the AEM catalog.
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Primary Navigation,Main site navigation with links to key sections.,M,1,Includes dropdown menus and hierarchical navigation structure.,https://www.abbvieaccess.com/brand/lupron-men,primary_navigation,Main navigation,No exact match found in the AEM catalog.
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Hero Section,Prominent introductory section with the page title and main image.,M,1,Central visual element with potential dynamic content.,https://www.abbvieaccess.com/brand/lupron-men,hero_section,Hero banner,No exact match found in the AEM catalog.
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Call to Action Section,Provides quick links to important resources and tools.,S,1,Simple grouping of actionable links.,https://www.abbvieaccess.com/brand/lupron-men,cta_section,CTA links,No exact match found in the AEM catalog.
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Card Grid: Support & Education,Displays cards with information and links about support and education resources.,M,1,Dynamic card-based layout requiring responsive design.,https://www.abbvieaccess.com/brand/lupron-men,card_grid_support_education,Card grid,No exact match found in the AEM catalog.
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Footer Links,Contains footer links for navigation and legal information.,S,1,Static footer with legal and navigational links.,https://www.abbvieaccess.com/brand/lupron-men,footer_links,Footer,No exact match found in the AEM catalog.
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Single button with basic functionality.,https://www.abbvieaccess.com/brand/lupron-men,back_to_top,Utility button,No exact match found in the AEM catalog.
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Exit Site Modal,Modal dialog for confirming navigation to external sites.,M,1,Interactive modal with user confirmation logic.,https://www.abbvieaccess.com/brand/lupron-men,modal_exit_site,Modal dialog,No exact match found in the AEM catalog.
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Utility Navigation,Provides quick access to utility links such as sign up for updates.,S,1,Simple navigation links without advanced functionality.,https://www.abbvieaccess.com/brand/combigan,global_utility_strip,Utility strip,No exact match found in AEM catalog.
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Primary Navigation,Main site navigation with links to key sections.,M,1,Includes dropdown menus and hierarchical navigation.,https://www.abbvieaccess.com/brand/combigan,primary_navigation,Main navigation,No exact match found in AEM catalog.
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Hero Section,Highlights the main theme or purpose of the page with a prominent image and heading.,M,1,Requires responsive design and accessibility compliance.,https://www.abbvieaccess.com/brand/combigan,hero_section,Hero banner,Matched to 'Hero' in AEM catalog.
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Call-to-Action Buttons,Call-to-action buttons for quick navigation to support tools and resources.,S,1,Simple button functionality.,https://www.abbvieaccess.com/brand/combigan,cta_buttons,CTA buttons,No exact match found in AEM catalog.
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Secondary Links,Provides additional links to important documents and resources.,S,1,Static links without interactive elements.,https://www.abbvieaccess.com/brand/combigan,secondary_links,Secondary navigation,No exact match found in AEM catalog.
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Card Grid,Displays cards with information about savings and assistance programs.,M,1,Requires grid layout and responsive design.,https://www.abbvieaccess.com/brand/combigan,card_grid,Card grid,Matched to 'Cards' in AEM catalog.
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Footer Section,Contains site-wide footer links and legal information.,S,1,Static footer with links and basic styling.,https://www.abbvieaccess.com/brand/combigan,footer,Footer,Matched to 'Footer' in AEM catalog.
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Back to Top Button,Button to quickly scroll back to the top of the page.,S,1,Simple scroll functionality.,https://www.abbvieaccess.com/brand/combigan,back_to_top,Back to top,No exact match found in AEM catalog.
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Exit Site Modal,Modal dialog displayed when exiting the site.,M,1,Requires modal functionality and accessibility compliance.,https://www.abbvieaccess.com/brand/combigan,modal_exit_site,Exit modal,Matched to 'Modal' in AEM catalog.
Speak to a Representative | AbbVie Access®,Utility Navigation,Provides links for user utilities like signing up for updates.,S,1,Simple utility links with basic navigation functionality.,https://www.abbvieaccess.com/request-a-rep,global_utility_navigation,Utility strip,Could be mapped to a navigation-related block if further details are available.
Speak to a Representative | AbbVie Access®,Primary Header,Displays main branding and navigation elements.,M,1,Includes branding and possibly dynamic navigation elements.,https://www.abbvieaccess.com/request-a-rep,primary_header,Branding and navigation,Consider mapping to a header-related block if catalog expands.
Speak to a Representative | AbbVie Access®,Main Navigation,Contains primary navigation menu for the site.,M,1,Primary navigation menus often involve dynamic content and accessibility considerations.,https://www.abbvieaccess.com/request-a-rep,main_navigation,Primary navigation menu,Could be mapped to a navigation-related block if further details are available.
Speak to a Representative | AbbVie Access®,Hero Section,Highlights the main purpose of the page with a prominent title and introduction.,M,1,Hero sections often involve dynamic styling and large media elements.,https://www.abbvieaccess.com/request-a-rep,hero_section,Prominent title and introduction,Mapped directly to the catalog entry for Hero blocks.
Speak to a Representative | AbbVie Access®,CTA Section,Provides quick links to various support tools and resources.,S,1,Simple layout with links to resources.,https://www.abbvieaccess.com/request-a-rep,cta_section,Call-to-action links,Could be mapped to a CTA-related block if catalog expands.
Speak to a Representative | AbbVie Access®,Product Cards,Displays a grid of product cards with links to more information and representative requests.,M,1,Grid layouts with dynamic content and responsive behavior.,https://www.abbvieaccess.com/request-a-rep,product_cards,Product card grid,Mapped directly to the catalog entry for Cards blocks.
Speak to a Representative | AbbVie Access®,Footer,Contains site-wide footer links and information.,S,1,Static footer layout with basic links and styling.,https://www.abbvieaccess.com/request-a-rep,footer,Site-wide footer,Mapped directly to the catalog entry for Footer blocks.
homepage,Utility Navigation,Provides quick access to utility links such as subscription and contact options.,S,1,Limited scope with basic navigation links.,https://www.abbvieaccess.com/womens-health,global_utility_strip,Utility strip,No direct match found in the catalog.
homepage,Primary Navigation,"Main navigation menu for the site, including links to key sections.",M,1,Includes hierarchical navigation and accessibility considerations.,https://www.abbvieaccess.com/womens-health,primary_navigation,Main navigation,No direct match found in the catalog.
homepage,Hero Section,Prominent section at the top featuring key messaging or imagery.,M,1,Requires responsive design and visual prominence.,https://www.abbvieaccess.com/womens-health,hero_section,Hero banner,No direct match found in the catalog.
homepage,CTA Grid,Grid layout of call-to-action buttons for navigating to specific tools or resources.,M,1,Interactive elements with potential analytics integration.,https://www.abbvieaccess.com/womens-health,cta_grid,Call-to-action grid,No direct match found in the catalog.
homepage,Content Grid,Displays a grid of dynamically loaded content cards.,C,1,Dynamic loading and interactive card design.,https://www.abbvieaccess.com/womens-health,content_grid,Dynamic content grid,No direct match found in the catalog.
