Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,header_utility_strip,default,templateIds: tpl_0
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,header_primary_navigation,default,templateIds: tpl_0
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-244389776 .abbv-background-container-display { background-image : url(…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,main_region_0,default,templateIds: tpl_0
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,main region 1,Major content region in main (div). Preview: Have questions about your treatment with VENCLEXTA? Call our nurse* support line for VENCLEXTA. You can speak with our R…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,main_region_1,default,templateIds: tpl_0
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,main region 2,Major content region in main (div). Preview: .bg-h2 .abbv-background-container-content-block-medium { width: 100%; } .abbv-promo-drawer-description a { text-decorati…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,main_region_2,default,templateIds: tpl_0
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,site_footer,default,templateIds: tpl_0
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,Back to top,Control to scroll to the top of the page.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,back_to_top_control,default,templateIds: tpl_0
The CLL Conversation Guide - VENCLEXTA® (venetoclax tablets),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/conversation-guide,header_utility_strip,default,templateIds: tpl_1
The CLL Conversation Guide - VENCLEXTA® (venetoclax tablets),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/conversation-guide,header_primary_navigation,default,templateIds: tpl_1
The CLL Conversation Guide - VENCLEXTA® (venetoclax tablets),main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-963749455 .abbv-background-container-display { background-image : url(…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/conversation-guide,main_region_0,default,templateIds: tpl_1
The CLL Conversation Guide - VENCLEXTA® (venetoclax tablets),main region 1,"Major content region in main (div). Preview: Resources to help you feel prepared from the start With VYALEV Complete, you’ll have tools and personalized support from…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/conversation-guide,main_region_1,default,templateIds: tpl_1
The CLL Conversation Guide - VENCLEXTA® (venetoclax tablets),main region 2,"Major content region in main (div). Preview: // Editor evaluates this script and if the clientlib is not loaded by then, it will fail. Hence triggering an // event a…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/conversation-guide,main_region_2,default,templateIds: tpl_1
The CLL Conversation Guide - VENCLEXTA® (venetoclax tablets),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/conversation-guide,site_footer,default,templateIds: tpl_1
The CLL Conversation Guide - VENCLEXTA® (venetoclax tablets),Back to top,Control to scroll to the top of the page.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/conversation-guide,back_to_top_control,default,templateIds: tpl_1
VENCLEXTA® (venetoclax tablets) for Acute Myeloid Leukemia,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/aml,header_utility_strip,default,templateIds: tpl_2
VENCLEXTA® (venetoclax tablets) for Acute Myeloid Leukemia,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/aml,header_primary_navigation,default,templateIds: tpl_2
VENCLEXTA® (venetoclax tablets) for Acute Myeloid Leukemia,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1640409409 .abbv-background-container-display { background-image : url…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/aml,main_region_0,default,templateIds: tpl_2
VENCLEXTA® (venetoclax tablets) for Acute Myeloid Leukemia,main region 1,Major content region in main (div). Preview: VENCLEXTA MAY HELP Learn How EXPLORE FINANCIAL SUPPORT View Options FIND HELPFULRESOURCES & MATERIALS Start Here…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/aml,main_region_1,default,templateIds: tpl_2
VENCLEXTA® (venetoclax tablets) for Acute Myeloid Leukemia,main region 2,Major content region in main (div). Preview: VENCLEXTA is the PRESCRIBED THERAPY FOR PATIENTS NEWLY DIAGNOSED WITH AML WHO ARE INELIGIBLE FOR INTENSIVE CHEMO* *Based…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/aml,main_region_2,default,templateIds: tpl_2
VENCLEXTA® (venetoclax tablets) for Acute Myeloid Leukemia,main region 3,Major content region in main (div). Preview: VENCLEXTA is the PRESCRIBED THERAPY FOR PATIENTS NEWLY DIAGNOSED WITH AML WHO ARE INELIGIBLE FOR INTENSIVE CHEMO* *Based…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/aml,main_region_3,default,templateIds: tpl_2
