Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,15,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,header_utility_strip,default,templateIds: tpl_0,screenshots/blocks/header_utility_strip__default.png
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,15,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,header_primary_navigation,default,templateIds: tpl_0,screenshots/blocks/header_primary_navigation__default.png
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-727880518 .abbv-background-container-display { background-image : url(…,M,14,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,main region 1,Major content region in main (div). Preview: WE'RE HERE TO HELP. Peer Mentors are real patients on Duopa or their care partners. They volunteer to share their experi…,M,11,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,main region 2,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-244389776 .abbv-background-container-display { background-image : url(…,M,10,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,main_region_2,default,templateIds: tpl_0,screenshots/blocks/main_region_2__default.png
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,main region 3,Major content region in main (div). Preview: USE DUOPA (carbidopa and levodopa) enteral suspension is a prescription medicine used for treatment of advanced Parkinso…,M,10,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,main_region_3,default,templateIds: tpl_0,screenshots/blocks/main_region_3__default.png
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,16,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,form_block_0,default,templateIds: tpl_0,screenshots/blocks/form_block_0__default.png
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,Site footer,"Footer links, legal, social, and ancillary navigation.",M,15,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,site_footer,default,templateIds: tpl_0,screenshots/blocks/site_footer__default.png
How Duopa Works | DUOPA™ (carbidopa/levodopa),main region 4,Major content region in main (div). Preview: YOU AND YOUR DOCTOR ARE IN CHARGE SINCE THE PROCEDURE IS REVERSIBLE If you need to discontinue treatment or you and your…,M,5,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/how-duopa-works,main_region_4,default,templateIds: tpl_1,screenshots/blocks/main_region_4__default.png
What Is Duopa | DUOPA™ (carbidopa/levodopa),columns,Major content region in main (div). Preview: Selected Important Safety Information Stomach or intestine problems and problems from the procedure you will need to hav…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/what-is-duopa,columns,default,templateIds: tpl_3,screenshots/blocks/columns__default.png
Carrying Case Styles | DUOPA™ (carbidopa/levodopa),Carousel / spotlight,"Rotating or swipeable spotlight region (announcements, hero slides, promos).",M,2,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/carrying-case,carousel,default,templateIds: tpl_9,screenshots/blocks/carousel__default.png
Patient Resources | DUOPA™ (carbidopa/levodopa),Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/resources,form_block_1,default,templateIds: tpl_11,screenshots/blocks/form_block_1__default.png
Search Results,search results coveo,Major content region in main (div). Preview: window.coveosearch={ coveoHostedSearchPageId:'ce267d38-0f50-4641-b519-e50d2f0232e8' }…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/search-results,search_results_coveo,default,templateIds: tpl_12,screenshots/blocks/search_results_coveo__default.png
