Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
AbbVie Medication Co-pay Savings | At Your Service,Utility Navigation,Displays utility navigation links.,S,1,Simple utility navigation with links.,https://www.savewithays.com/,global_utility_strip,Utility strip,Matches the 'Header' block in catalog.,screenshots/blocks/global_utility_strip__default.png
AbbVie Medication Co-pay Savings | At Your Service,Main Header,Displays the main branding and navigation header.,M,4,Includes branding and primary navigation.,https://www.savewithays.com/,primary_header,Main navigation,Matches the 'Header' block in catalog.,screenshots/blocks/primary_header__default.png
AbbVie Medication Co-pay Savings | At Your Service,Hero Section,Displays promotional content with background image and text.,M,8,Includes a large visual area with text overlay.,https://www.savewithays.com/,hero_section,Hero banner,No direct match in catalog.,screenshots/blocks/hero_section__default.png
AbbVie Medication Co-pay Savings | At Your Service,Product Cards,Showcases product information with images and links.,M,2,Includes multiple cards with images and links.,https://www.savewithays.com/,product_cards,Card layout,No direct match in catalog.,screenshots/blocks/product_cards__default.png
AbbVie Medication Co-pay Savings | At Your Service,Enrollment Call-to-Action,Encourages user enrollment with a call-to-action button.,S,1,Single call-to-action element.,https://www.savewithays.com/,enrollment_cta,CTA button,No direct match in catalog.,screenshots/blocks/enrollment_cta__default.png
AbbVie Medication Co-pay Savings | At Your Service,Terms and Conditions,Displays terms and conditions information.,S,2,Static text content.,https://www.savewithays.com/,terms_conditions,Legal content,No direct match in catalog.,screenshots/blocks/terms_conditions__default.png
AbbVie Medication Co-pay Savings | At Your Service,Footer Links,Provides additional resource links.,S,6,Simple list of links.,https://www.savewithays.com/,footer_links,Footer navigation,No direct match in catalog.,screenshots/blocks/footer_links__default.png
AbbVie Medication Co-pay Savings | At Your Service,Footer Legal,Displays copyright and legal information.,S,6,Static legal text content.,https://www.savewithays.com/,footer_legal,Footer legal,No direct match in catalog.,screenshots/blocks/footer_legal__default.png
AbbVie Medication Co-pay Savings | At Your Service,Enroll Now Modal,Modal for user enrollment.,M,1,Interactive modal component.,https://www.savewithays.com/,modal_enroll_now,Enrollment modal,No direct match in catalog.,screenshots/blocks/modal_enroll_now__default.png
AbbVie Medication Co-pay Savings | At Your Service,Demo Video Modal,Modal for playing informational videos.,M,1,Interactive modal with video playback.,https://www.savewithays.com/,modal_demo_video,Video modal,No direct match in catalog.,screenshots/blocks/modal_demo_video__default.png
Contact Us,Global Utility Navigation,Provides quick access to utility links and navigation options.,M,6,Includes navigation links and accessibility features.,https://www.savewithays.com/contact,global_utility_navigation,Utility navigation,No exact match found in catalog.,screenshots/blocks/global_utility_navigation__default.png
Contact Us,Main Navigation,Contains the primary navigation menu for the site.,C,3,Deep navigation structure with multiple levels.,https://www.savewithays.com/contact,main_navigation,Primary navigation,No exact match found in catalog.,screenshots/blocks/main_navigation__default.png
Contact Us,Contact Information,Displays contact details and customer service information.,S,1,Simple static content display.,https://www.savewithays.com/contact,contact_information,Contact details,No exact match found in catalog.,screenshots/blocks/contact_information__default.png
Contact Us,Product Links Section,Showcases links to specific product pages with images.,M,1,Includes image and link integration.,https://www.savewithays.com/contact,product_links,Product showcase,No exact match found in catalog.,screenshots/blocks/product_links__default.png
Sitemap,Primary Navigation,Main navigation menu for the site.,C,4,Deep navigation with multiple levels and dynamic content.,https://www.savewithays.com/sitemap,primary_navigation,Main navigation,No direct match in the AEM catalog.,screenshots/blocks/primary_navigation__default.png
Sitemap,Content Columns,Displays the main content in a multi-column layout.,M,4,Involves layout management and responsive adjustments.,https://www.savewithays.com/sitemap,content_columns,Multi-column content,No direct match in the AEM catalog.,screenshots/blocks/content_columns__default.png
Savings,Enrollment Section,Hosts the enrollment form and related content.,C,1,Form functionality including validation and potential integrations.,https://www.savewithays.com/savings,enrollment_section,Enrollment form,No matching block found in the catalog.,screenshots/blocks/enrollment_section__default.png
Savings,Footer Navigation,Provides navigation links in the footer.,S,2,Simple navigation links without dynamic or interactive elements.,https://www.savewithays.com/savings,footer_navigation,Footer navigation,Mapped to Footer block from the catalog.,screenshots/blocks/footer_navigation__default.png
Enroll-now,Enrollment Form,Provides a form for enrollment.,C,1,Form with potential validations and backend integrations.,https://www.savewithays.com/enroll-now,enrollment_form,Enrollment form,Mapped to AEM catalog block 'Form'.,screenshots/blocks/enrollment_form__default.png
Unsubscribe,Utility Navigation,Provides quick access to important links and resources.,S,1,Simple navigation links without complex interactions.,https://www.savewithays.com/unsubscribe,utility_navigation,Utility strip,No matching catalog entry found.,screenshots/blocks/utility_navigation__default.png
Unsubscribe,Unsubscribe Form,Form for users to unsubscribe from services.,C,1,"Form handling, validation, and potential CAPTCHA integration.",https://www.savewithays.com/unsubscribe,unsubscribe_form,Form,No matching catalog entry found.,screenshots/blocks/unsubscribe_form__default.png
