Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Utility Navigation,Provides quick access to utility links like 'Sponsored by AbbVie' and 'Healthcare Professional Site'.,M,1,Includes accessibility considerations and external links.,https://www.identifyepi.com/,global_utility_strip,Utility strip,Requires attention to accessibility and external linking.
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Primary Header,Displays the site logo and main navigation links.,M,1,Involves branding and navigation elements.,https://www.identifyepi.com/,primary_header,Primary navigation,Focus on responsive design and branding.
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Hero Section,Highlights the main message and call-to-action for the page.,M,1,Includes visual design and call-to-action functionality.,https://www.identifyepi.com/,hero_section,Hero banner,Should emphasize visual impact and user engagement.
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Main Navigation,Provides primary navigation links for the website.,C,1,Deep navigation structure with multiple levels.,https://www.identifyepi.com/,main_navigation,Primary navigation,Requires robust handling of submenus and responsive design.
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Symptoms Icons Grid,Displays icons and descriptions of EPI symptoms.,M,1,Includes graphical elements and descriptive text.,https://www.identifyepi.com/,symptoms_icons_grid,Icon grid,Ensure compatibility across devices and clear visual representation.
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Content Columns,Presents informational content in a two-column layout.,M,1,Requires responsive column layout.,https://www.identifyepi.com/,content_columns,Two-column content,Focus on adaptability and readability.
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,References Section,Lists reference sources for the information provided.,S,1,Simple layout with text content.,https://www.identifyepi.com/,references_section,Reference listing,Ensure proper citation formatting.
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Footer,Contains site-wide footer links and legal information.,M,1,Includes links and legal compliance elements.,https://www.identifyepi.com/,footer,Site footer,Focus on accessibility and compliance.
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple functionality with minimal styling.,https://www.identifyepi.com/,back_to_top,Utility button,Ensure accessibility and smooth scrolling.
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Cookie Consent Modal,Displays cookie consent options for the user.,C,1,Requires legal compliance and user interaction handling.,https://www.identifyepi.com/,cookie_consent,Cookie preferences,Focus on compliance and user experience.
