Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
BOTOX&#174; for Severe Underarm Sweating - Botox,Global Navigation,Displays primary and secondary navigation links.,M,1,Includes multiple navigation layers and external link handling.,https://www.botoxseveresweating.com/,global_navigation,Primary and secondary navigation,May require custom scripts for dynamic link management.
BOTOX&#174; for Severe Underarm Sweating - Botox,Hero Banner,Showcases promotional content with a carousel.,C,1,Carousel implementation and accessibility compliance.,https://www.botoxseveresweating.com/,hero_banner,Promotional carousel,Ensure responsive design and ARIA roles for accessibility.
BOTOX&#174; for Severe Underarm Sweating - Botox,Main Content,Hosts primary product information and benefits.,M,1,Content depth and compliance with medical information standards.,https://www.botoxseveresweating.com/,main_content,Product information,Requires clear structuring for readability and compliance.
BOTOX&#174; for Severe Underarm Sweating - Botox,Footer Section,Displays footer links and legal information.,S,1,Static content with minimal interactivity.,https://www.botoxseveresweating.com/,footer_section,Legal and navigation footer,Ensure consistent styling and link validation.
BOTOX&#174; for Severe Underarm Sweating - Botox,Floating ISI,Displays safety information in a floating section.,M,1,Requires dynamic positioning and visibility toggling.,https://www.botoxseveresweating.com/,floating_isi,Safety information display,Ensure visibility across all screen sizes.
BOTOX&#174; for Severe Underarm Sweating - Botox,Modal Popup,Provides additional information via modals.,M,1,Modal functionality and accessibility compliance.,https://www.botoxseveresweating.com/,modal_popup,Information modal,Ensure focus management and keyboard navigation support.
What Is Severe Underarm Sweating? - Botox,Global Navigation,Provides site-wide navigation links.,M,1,Includes multiple navigation links and dropdowns.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/what_is,global_navigation,Utility strip,Ensure accessibility for all navigation links.
What Is Severe Underarm Sweating? - Botox,Hero Banner,Displays a large image and introductory text.,M,1,Incorporates styling and responsive design.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/what_is,hero_banner,Introductory section,Ensure image and text are responsive.
What Is Severe Underarm Sweating? - Botox,Main Navigation,Provides section-specific navigation.,M,1,Includes dropdowns and hover interactions.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/what_is,main_navigation,Primary navigation,Focus on clear hierarchy and usability.
What Is Severe Underarm Sweating? - Botox,Content Introduction,Presents introductory text content.,S,1,Simple text-based content.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/what_is,content_intro,Introductory text,Ensure text is SEO-friendly.
