Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
What Causes HS? | No BS About HS,Utility Navigation,Provides site-wide quick access links and icons.,S,1,Simple navigation links with minimal interactivity.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,global_utility_strip,Utility strip,No direct match found in the AEM catalog.
What Causes HS? | No BS About HS,Primary Navigation,Enables access to main sections of the site.,M,1,Includes dropdown menus and hierarchical navigation.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,primary_navigation,Main navigation,No direct match found in the AEM catalog.
What Causes HS? | No BS About HS,Hero Section,Displays a large image and headline at the top of the page.,M,1,Requires image optimization and responsive design.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,hero_section,Hero layout,Matched to the 'Hero' block from the AEM catalog.
What Causes HS? | No BS About HS,Content Columns,Arranges text and images in a column-based layout.,M,1,Includes responsive design and content alignment.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,main_content_columns,Column layout,No direct match found in the AEM catalog.
What Causes HS? | No BS About HS,Video Player,Embeds and displays video content.,C,1,Involves multimedia handling and accessibility features.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,video_player,Embedded video,Matched to the 'Video' block from the AEM catalog.
What Causes HS? | No BS About HS,Inline Callouts,Provides additional inline information or links.,M,1,Requires styling and interaction handling.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,inline_tout,Callouts,No direct match found in the AEM catalog.
What Causes HS? | No BS About HS,Footer,Displays site-wide links and informational content at the bottom of the page.,M,1,Includes styling and dynamic content loading.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,footer,Footer layout,Matched to the 'Footer' block from the AEM catalog.
HS Patient Sterling Video Transcript | No BS About HS,AdChoices Modal,Provides a modal dialog for advertising choices.,S,1,Standard modal implementation with predefined styling and functionality.,https://www.nobsabouths.com/hs-patient-stories/meetsterling-transcript,modal_adchoices,AdChoices,template tpl_1
HS Patient Sterling Video Transcript | No BS About HS,Facebook Modal,Provides a modal dialog for Facebook-related information.,S,1,Standard modal implementation with predefined styling and functionality.,https://www.nobsabouths.com/hs-patient-stories/meetsterling-transcript,modal_facebook,Facebook,template tpl_1
HS Patient Sterling Video Transcript | No BS About HS,YouTube Modal,Provides a modal dialog for YouTube-related information.,S,1,Standard modal implementation with predefined styling and functionality.,https://www.nobsabouths.com/hs-patient-stories/meetsterling-transcript,modal_youtube,YouTube,template tpl_1
HS Patient Sterling Video Transcript | No BS About HS,Instagram Modal,Provides a modal dialog for Instagram-related information.,S,1,Standard modal implementation with predefined styling and functionality.,https://www.nobsabouths.com/hs-patient-stories/meetsterling-transcript,modal_instagram,Instagram,template tpl_1
HS Patient Sterling Video Transcript | No BS About HS,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple button functionality with minimal complexity.,https://www.nobsabouths.com/hs-patient-stories/meetsterling-transcript,back_to_top,Navigation,No matching block found in the AEM catalog for this component.
Find a Dermatologist Near Me | No BS About HS,Utility Navigation,"Provides quick access to utility links and tools, such as search and user account options.",M,1,Requires integration with user account and search functionalities.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,global_utility_navigation,Utility strip,Focus on user experience and accessibility.
Find a Dermatologist Near Me | No BS About HS,Primary Navigation,Contains the main site navigation menu for accessing various sections of the site.,M,1,Includes hierarchical navigation and accessibility features.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,primary_navigation,Main navigation,Ensure responsive design and keyboard navigation.
Find a Dermatologist Near Me | No BS About HS,Hero Section,"Displays the main visual and textual content at the top of the page, introducing the page's purpose.",M,1,Includes dynamic content and responsive design.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,hero_section,Hero banner,Focus on visual impact and content clarity.
Find a Dermatologist Near Me | No BS About HS,Introductory Text,Provides a brief introduction and context for the page.,S,1,Static text content with minimal styling.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,rich_text_intro,Introductory text,Ensure text is clear and accessible.
Find a Dermatologist Near Me | No BS About HS,Dermatologist Locator Tool,Interactive tool for users to find dermatologists near their location.,C,1,Requires integration with location services and database.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,locator_tool,Interactive locator,Focus on usability and accurate results.
Find a Dermatologist Near Me | No BS About HS,Side Navigation,Provides additional navigation links related to the current section.,M,1,Requires responsive design and contextual relevance.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,side_navigation,Side navigation,Ensure seamless integration with main content.
Find a Dermatologist Near Me | No BS About HS,Side Tout,Highlights additional content or calls to action related to the page's topic.,M,1,Includes dynamic content and visual elements.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,side_tout,Content highlight,Focus on visual appeal and relevance.
Find a Dermatologist Near Me | No BS About HS,Footer Links,Contains links to additional site resources and legal information.,M,1,Includes multiple link groups and accessibility considerations.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,footer_links,Footer links,Ensure links are clear and functional.
Find a Dermatologist Near Me | No BS About HS,Back to Top Button,Allows users to quickly navigate back to the top of the page.,S,1,Simple functionality with minimal styling.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,back_to_top,Utility button,Ensure smooth scrolling and visibility.
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Utility Navigation,"Provides quick access to utility links such as contact, subscribe, and group sites.",S,1,Simple navigation links and utility strip.,https://www.nobsabouths.com/,global_utility_strip,Utility strip,No direct match in AEM catalog.
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Primary Header,"Contains the main branding, logo, and primary navigation menu.",M,1,Includes branding elements and navigation structure.,https://www.nobsabouths.com/,primary_header,Main navigation,No direct match in AEM catalog.
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Hero Section,Highlights the main topic or promotion with a large image and heading.,M,1,Requires styling for large images and headings.,https://www.nobsabouths.com/,hero_section,Hero banner,Mapped to 'Hero' block in AEM catalog.
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Content Columns,Displays content in a multi-column layout for structured information.,M,1,Involves layout structuring and responsive design.,https://www.nobsabouths.com/,main_columns,Multi-column layout,No direct match in AEM catalog.
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Call to Action,"Encourages users to take specific actions, such as finding a dermatologist.",M,1,Interactive elements for user actions.,https://www.nobsabouths.com/,call_to_action,Action prompt,No direct match in AEM catalog.
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Footer Links,Provides links to additional resources and legal information.,M,1,Footer styling and content management.,https://www.nobsabouths.com/,footer_links,Footer section,Mapped to 'Footer' block in AEM catalog.
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Back to Top,Allows users to quickly return to the top of the page.,S,1,Simple interactive button.,https://www.nobsabouths.com/,back_to_top,Utility button,No direct match in AEM catalog.
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Cookie Consent,Displays cookie consent options to the user.,M,1,Includes user interaction and legal compliance.,https://www.nobsabouths.com/,cookie_consent,Privacy modal,No direct match in AEM catalog.
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Search Bar,Provides a search input for users to find content on the site.,M,1,Interactive search functionality with potential autocomplete.,https://www.nobsabouths.com/,search_functionality,Search input,No direct match in AEM catalog.
Personalization Features,Personalized CTAs Section,Highlights personalized call-to-action elements for the homepage.,M,1,The block includes personalized content and dynamic CTAs.,https://www.nobsabouths.com/personalization/callouts,personalized_ctas_section,Personalized Call-to-Action,No direct matches found in the AEM block catalog.
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Global Utility Navigation,Facilitates quick access to utility links such as contact and subscription.,S,1,Simple navigation links without complex interactivity.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,global_utility_strip,Utility strip,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Main Header,Displays branding and primary navigation elements.,M,1,Includes branding and interactive navigation components.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,primary_header,Header,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Mega Navigation Menu,Provides dropdown menus for site sections.,C,1,Complex dropdown menu functionality and styling.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,mega_navigation,Navigation,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Hero Section,Displays a prominent image and introductory text.,M,1,Includes image and text positioning with styling.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,hero_section,Hero,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,CTA Links,Offers call-to-action links for navigation.,S,1,Simple link functionality without dynamic elements.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,main_cta_links,CTA,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Page Title,Displays the main title of the page.,S,1,Static text display.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,main_title,Title,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Introductory Text,Provides an introduction to the page content.,S,1,Simple text content without interactivity.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,intro_text,Text,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Image with Description,Displays an image accompanied by descriptive text.,M,1,Includes image positioning and text styling.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,image_with_description,Image and text,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Detailed Content,Presents detailed textual information.,S,1,Static text content without interactivity.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,text_content,Text,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Affected Areas,Illustrates areas affected by the condition with images and lists.,M,1,Combination of visual and textual elements with styling.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,affected_areas_section,Section,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Interactive Quiz,Engages users with an interactive quiz.,C,1,Interactive functionality and dynamic content.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,quiz_section,Interactive,None
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Footer,Displays footer content with links and additional information.,S,1,Simple static content display.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,footer,Footer,None
Search Results,Global Header,"Contains the main navigation, logo, and utility links.",M,1,Involves multiple navigation elements and logo integration.,https://www.nobsabouths.com/search-results,global_header,Header,Could be mapped to a header-related block in the future.
Search Results,Primary Navigation,Main site navigation menu with links to key sections.,M,1,Includes hierarchical menus and dynamic content.,https://www.nobsabouths.com/search-results,primary_navigation,Navigation Menu,Consider mapping to a navigation block for consistency.
Search Results,Search Box,Search input field and related features.,C,1,Requires accessibility for search input and dynamic suggestions.,https://www.nobsabouths.com/search-results,search_box,Search Input,Mapped to the Search block for search functionality.
Search Results,Hero Section,Main hero section for the search results page.,M,1,Typically involves dynamic content and styling.,https://www.nobsabouths.com/search-results,hero_section,Hero Banner,Could be mapped to a hero block type.
Search Results,Search Results,Displays the search results and related filters.,C,1,Dynamic content display and filtering functionality.,https://www.nobsabouths.com/search-results,search_results,Results Display,Consider mapping to a search results block for consistency.
Search Results,Footer,"Footer containing links, legal information, and social media connections.",M,1,Includes multiple content types and styling.,https://www.nobsabouths.com/search-results,footer,Footer,Mapped to the Footer block for footer functionality.
Search Results,Back to Top Button,Button to scroll back to the top of the page.,S,1,Simple functionality with minimal styling.,https://www.nobsabouths.com/search-results,back_to_top,Utility Button,Could be mapped to a utility block for button actions.
Search Results,Modal Dialogs,Various modal dialogs for user interactions.,C,1,Dynamic content and accessibility requirements.,https://www.nobsabouths.com/search-results,modal_dialogs,Modal,Consider mapping to a modal block for consistency.
Hidradenitis Suppurativa (HS) Glossary | No BS About HS,Global Utility Navigation,Provides quick access to utility links such as search and user account options.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.nobsabouths.com/glossary,global_utility_navigation,default,templateIds: tpl_8
Hidradenitis Suppurativa (HS) Glossary | No BS About HS,Primary Navigation,Main site navigation with links to key sections.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.nobsabouths.com/glossary,primary_navigation,default,templateIds: tpl_8
Hidradenitis Suppurativa (HS) Glossary | No BS About HS,Hero Section,Highlights the main title and introduction for the glossary page.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.nobsabouths.com/glossary,hero_section,default,templateIds: tpl_8
Hidradenitis Suppurativa (HS) Glossary | No BS About HS,Glossary Content,Displays the glossary terms and their definitions.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.nobsabouths.com/glossary,content_glossary,default,templateIds: tpl_8
Hidradenitis Suppurativa (HS) Glossary | No BS About HS,Footer Links,Contains footer navigation links and legal information.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.nobsabouths.com/glossary,footer_links,default,templateIds: tpl_8
Hidradenitis Suppurativa (HS) Glossary | No BS About HS,Back to Top Button,Provides a button to quickly scroll back to the top of the page.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.nobsabouths.com/glossary,back_to_top,default,templateIds: tpl_8
Site Map | No BS About HS,Global Header,Main header with logo and navigation.,M,1,Includes utility and primary navigation with potential accessibility requirements.,https://www.nobsabouths.com/sitemap,global_header,Header with navigation,Requires detailed analysis for navigation behavior and responsive design.
Site Map | No BS About HS,Hero Title,Displays the main title of the page.,S,1,Simple text display with styling.,https://www.nobsabouths.com/sitemap,hero_title,Page title,"Minimal functionality, primarily visual."
Site Map | No BS About HS,Sitemap Columns,Organizes sitemap content into columns.,M,1,Structured layout with potential dynamic content.,https://www.nobsabouths.com/sitemap,sitemap_columns,Multi-column layout,Ensure accessibility and responsive behavior.
Site Map | No BS About HS,Footer,Displays footer content and links.,M,1,Includes multiple links and legal information.,https://www.nobsabouths.com/sitemap,footer,Footer with links,Verify compliance with legal and accessibility standards.
Site Map | No BS About HS,Back to Top Button,Scrolls the user back to the top of the page.,S,1,Simple button functionality.,https://www.nobsabouths.com/sitemap,back_to_top,Scroll button,Ensure smooth scrolling and visibility toggling.
Site Map | No BS About HS,Modal Overlays,Handles modal dialogs for additional content.,C,1,Requires handling for dynamic content and accessibility.,https://www.nobsabouths.com/sitemap,modal_overlays,Modal dialogs,Ensure proper focus management and keyboard accessibility.
thanks-for-the-answer,Global Utility Strip,Provides global navigation and utility links such as contact and social media.,M,1,Includes accessibility for navigation and potential integration with social media links.,https://www.nobsabouths.com/thanks-for-the-answer,global_utility_strip,Utility strip,Verify accessibility compliance for utility navigation.
thanks-for-the-answer,Primary Header,Displays the main branding and navigation elements of the site.,M,1,Involves branding elements and main navigation accessibility.,https://www.nobsabouths.com/thanks-for-the-answer,primary_header,Main branding and navigation,Ensure branding guidelines are adhered to.
thanks-for-the-answer,Mega Navigation,Contains the primary navigation menu with submenus.,C,1,Requires deep navigation structure and accessibility for submenus.,https://www.nobsabouths.com/thanks-for-the-answer,mega_navigation,Deep navigation,Focus on submenu accessibility and usability.
thanks-for-the-answer,Hero Section,Showcases the main image and introductory content for the page.,M,1,Includes visual design and introductory content placement.,https://www.nobsabouths.com/thanks-for-the-answer,hero_section,Hero block,Ensure image optimization and content clarity.
thanks-for-the-answer,Content Columns,Arranges content into two columns with text and call-to-action elements.,M,1,Handles layout and call-to-action integration.,https://www.nobsabouths.com/thanks-for-the-answer,content_columns,Two-column layout,Consider responsive design for column adaptability.
thanks-for-the-answer,Call-to-Action Section,Provides a prominent call-to-action for downloading a booklet.,M,1,Focuses on user interaction and conversion optimization.,https://www.nobsabouths.com/thanks-for-the-answer,cta_section,Call-to-action,Optimize for conversion and tracking.
thanks-for-the-answer,Social Links,Displays links to social media platforms with icons.,S,1,Simple integration of social media links.,https://www.nobsabouths.com/thanks-for-the-answer,social_links,Social media icons,Ensure links are functional and accessible.
thanks-for-the-answer,Footer Navigation,Contains footer links and additional navigation options.,M,1,Includes accessibility and deep link integration.,https://www.nobsabouths.com/thanks-for-the-answer,footer_navigation,Footer links,Verify comprehensive footer navigation.
thanks-for-the-answer,Back to Top Button,Provides a button to scroll back to the top of the page.,S,1,Simple scroll-to-top functionality.,https://www.nobsabouths.com/thanks-for-the-answer,back_to_top,Scroll button,Ensure smooth scrolling and visibility.
thanks-for-the-answer,Modal Overlays,Handles modal dialogs for additional information or actions.,C,1,Requires accessibility and interaction handling.,https://www.nobsabouths.com/thanks-for-the-answer,modal_overlays,Modal dialog,Ensure modals are accessible and responsive.
Share your Voice,Utility Strip,"Provides quick access to contact, subscribe, and group site links.",S,1,Basic structure with minimal interactivity.,https://www.nobsabouths.com/share-your-voice,global_utility_strip,Utility strip,Not found in catalog.
Share your Voice,Primary Header,Displays the main branding and navigation elements of the site.,M,1,Complexity due to branding and responsive behavior.,https://www.nobsabouths.com/share-your-voice,primary_header,Main navigation,Not found in catalog.
Share your Voice,Primary Navigation,Contains the main menu for navigating the site.,M,1,Includes dropdowns and responsive handling.,https://www.nobsabouths.com/share-your-voice,primary_navigation,Main navigation,Not found in catalog.
Share your Voice,Hero Section,Highlights the main message or image of the page.,M,1,Large image and text with potential animation.,https://www.nobsabouths.com/share-your-voice,hero_section,Hero banner,Mapped to catalog item.
Share your Voice,Content Columns - Diagnosis Info,Provides information about HS diagnosis and treatment options.,M,1,Content layout and styling for multiple columns.,https://www.nobsabouths.com/share-your-voice,content_columns_1,Content grid,Not found in catalog.
Share your Voice,Submission Form,Allows users to submit their stories or multimedia content.,C,1,"Form handling, validation, and potential multimedia upload.",https://www.nobsabouths.com/share-your-voice,submission_form,User submission,Mapped to catalog item.
Share your Voice,Footer Links,Provides links to additional resources and legal information.,S,1,Static links with styling.,https://www.nobsabouths.com/share-your-voice,footer_links,Footer,Mapped to catalog item.
Share your Voice,Back to Top Button,Provides a button to quickly navigate back to the top of the page.,S,1,Simple button with scroll functionality.,https://www.nobsabouths.com/share-your-voice,back_to_top,Scroll utility,Not found in catalog.
