Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Allergan is now part of AbbVie | AbbVie,Global Navigation,Provides navigation across the main sections of the website.,M,1,Includes search functionality and multi-level navigation.,https://www.abbvie.com/allergan.html,global_navigation,Main navigation,Requires integration with site-wide search and accessibility compliance.
Allergan is now part of AbbVie | AbbVie,Hero Section,Displays a prominent hero image and associated content.,M,1,Includes styling and layout for visual prominence.,https://www.abbvie.com/allergan.html,hero_section,Introductory hero,May involve dynamic content or responsive design adjustments.
Allergan is now part of AbbVie | AbbVie,Introduction Text,Introduces the page theme with text content.,S,1,Basic text-based content without interactive elements.,https://www.abbvie.com/allergan.html,intro_text,Page introduction,Focuses on textual content with minimal styling.
Allergan is now part of AbbVie | AbbVie,Products Section,Highlights product offerings with descriptions and buttons.,M,1,Includes call-to-action functionality and product-specific content.,https://www.abbvie.com/allergan.html,products_section,Product showcase,May require integration with product databases or APIs.
Allergan is now part of AbbVie | AbbVie,Aesthetics Section,Showcases achievements and offerings in aesthetics.,M,1,Involves specialized content and potential visual elements.,https://www.abbvie.com/allergan.html,aesthetics_section,Aesthetic achievements,Could include multimedia or interactive features.
Allergan is now part of AbbVie | AbbVie,Careers Section,Promotes career opportunities with descriptions and buttons.,M,1,Integrates call-to-action and career-specific content.,https://www.abbvie.com/allergan.html,careers_section,Career promotions,May involve links to external career systems or databases.
Allergan is now part of AbbVie | AbbVie,Footer,Displays footer content including links and legal information.,S,1,Static content with basic styling.,https://www.abbvie.com/allergan.html,footer,Site footer,May include social media links and dynamic updates.
Allergan is now part of AbbVie | AbbVie,Back to Top Button,Provides quick navigation to the top of the page.,S,1,Simple functionality with minimal interaction.,https://www.abbvie.com/allergan.html,back_to_top,Utility button,Ensures user convenience and accessibility.
Pharmaceutical Research &amp; Development | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Basic utility strip with no deep interactivity.,https://www.abbvie.com/,global_utility_strip,Utility strip,Could not find a matching AEM catalog block.
Pharmaceutical Research &amp; Development | AbbVie,Primary Navigation,Main site navigation with dropdown menus for exploring sections.,M,1,Dropdown menus may require accessibility considerations.,https://www.abbvie.com/,primary_navigation,Main navigation,Could not find a matching AEM catalog block.
Pipeline | AbbVie,Utility Bar,"Provides quick access to contact, subscription, and group site links.",S,1,Simple structure and functionality.,https://www.abbvie.com/science/pipeline.html,global_utility_strip,Utility strip,No direct match in catalog.
Pipeline | AbbVie,Main Navigation,Main site navigation with dropdown menus for exploring sections.,C,1,Includes dropdown functionality and accessibility considerations.,https://www.abbvie.com/science/pipeline.html,primary_navigation,Main navigation,No direct match in catalog.
Pipeline | AbbVie,Hero Banner,Highlights the main visual and textual content of the page.,M,1,Requires integration of visual and textual elements.,https://www.abbvie.com/science/pipeline.html,hero_section,Hero section,No direct match in catalog.
Pipeline | AbbVie,Call to Action,Encourages users to explore specific areas or take actions.,S,1,Focused on simple button functionality.,https://www.abbvie.com/science/pipeline.html,cta_section,Subscribe,No direct match in catalog.
Pipeline | AbbVie,Card Grid,Displays a grid of cards with images and text for key topics.,M,1,Requires layout management and responsive design.,https://www.abbvie.com/science/pipeline.html,card_grid,Card layout,No direct match in catalog.
AbbVie&#39;s Code of Conduct | AbbVie,Global Utility Strip,"Provides links for contact, subscription, and access to group sites.",S,1,Simple navigation links without complex interactions.,https://www.abbvie.com/who-we-are/operating-with-integrity/abbvies-code-of-conduct.html,global_utility_strip,Utility strip,No matching block found in AEM catalog.
AbbVie&#39;s Code of Conduct | AbbVie,Primary Navigation,Main site navigation with links to key sections.,M,1,Primary navigation often involves deeper hierarchical structures.,https://www.abbvie.com/who-we-are/operating-with-integrity/abbvies-code-of-conduct.html,primary_navigation,Main navigation,No matching block found in AEM catalog.
AbbVie&#39;s Code of Conduct | AbbVie,Hero Section,Highlights the main theme or message of the page.,M,1,Includes styled elements and potential interactive components.,https://www.abbvie.com/who-we-are/operating-with-integrity/abbvies-code-of-conduct.html,hero_section,Hero,Matched to 'Hero' block in AEM catalog.
Liz Shea | AbbVie,Global Navigation Header,Provides the main access points for site navigation and branding.,M,1,Includes dynamic navigation and branding elements requiring robust accessibility support.,https://www.abbvie.com/who-we-are/our-leaders/liz-shea.html,global_header,Utility and primary navigation,Ensure accessibility compliance and responsive design.
Liz Shea | AbbVie,Global Footer,Displays footer navigation links and site-wide legal information.,S,1,Relatively simple static content with minimal dynamic behavior.,https://www.abbvie.com/who-we-are/our-leaders/liz-shea.html,footer,Footer navigation and legal disclaimers,Focus on responsive design and clear content presentation.
Alberto Colzi | AbbVie,Global Utility Strip,"Provides utility links such as contact, subscribe, and group sites.",S,1,Simple structure with minimal functionality.,https://www.abbvie.com/who-we-are/our-leaders/alberto-colzi.html,global_utility_strip,Utility strip,No matching block found in the AEM catalog.
Alberto Colzi | AbbVie,Primary Navigation,Displays the main navigation bar with site-wide links and dropdown menus.,M,1,Includes dropdown menus and site-wide navigation structure.,https://www.abbvie.com/who-we-are/our-leaders/alberto-colzi.html,primary_navigation,Main navigation,No matching block found in the AEM catalog.
Jeffrey R. Stewart | AbbVie,Global Navigation,Provides primary navigation and access to major sections of the site.,M,1,"Global navigation often includes dropdowns and accessibility considerations, increasing complexity.",https://www.abbvie.com/who-we-are/our-leaders/jeffrey-stewart.html,global_navigation,Primary navigation,Consider revisiting the catalog for potential matches or custom implementation.
Jeffrey R. Stewart | AbbVie,Hero Section,Highlights the main content or message of the page with a large visual and heading.,M,1,Includes styled content and potential interactivity.,https://www.abbvie.com/who-we-are/our-leaders/jeffrey-stewart.html,hero_section,Page hero,Mapped successfully to the Hero block in the catalog.
