Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Help Us Guide You ‐ Learn about Ankylosing Spondylitis and Non‐radiographic Axial Spondyloarthritis,Global Utility Strip,Displays sponsorship and social media links.,S,8,Simple links with minimal interactivity.,https://www.faceyourbackpain.com/,global_utility_strip,Utility strip,No direct match in AEM catalog.,screenshots/blocks/global_utility_strip__default.png
Help Us Guide You ‐ Learn about Ankylosing Spondylitis and Non‐radiographic Axial Spondyloarthritis,Primary Header,Hosts the main site logo and navigation menu.,M,7,Combines logo display with interactive navigation.,https://www.faceyourbackpain.com/,primary_header,Main navigation,No direct match in AEM catalog.,screenshots/blocks/primary_header__default.png
Help Us Guide You ‐ Learn about Ankylosing Spondylitis and Non‐radiographic Axial Spondyloarthritis,Mega Navigation,Provides an expandable menu for detailed navigation.,C,2,Complex menu system with submenus and interactivity.,https://www.faceyourbackpain.com/,mega_navigation,Detailed navigation,No direct match in AEM catalog.,screenshots/blocks/mega_navigation__default.png
Help Us Guide You ‐ Learn about Ankylosing Spondylitis and Non‐radiographic Axial Spondyloarthritis,Hero Section,Showcases a prominent visual and call-to-action.,M,14,Requires integration of visual elements with text and layout.,https://www.faceyourbackpain.com/,hero_section,Hero banner,Matches 'Hero' block in AEM catalog.,screenshots/blocks/hero_section__default.png
Help Us Guide You ‐ Learn about Ankylosing Spondylitis and Non‐radiographic Axial Spondyloarthritis,Carousel Spotlight,Displays a rotating set of slides with key messages.,C,1,Involves dynamic content with navigation controls.,https://www.faceyourbackpain.com/,carousel_spotlight,Content carousel,Matches 'Carousel' block in AEM catalog.,screenshots/blocks/carousel_spotlight__default.png
Help Us Guide You ‐ Learn about Ankylosing Spondylitis and Non‐radiographic Axial Spondyloarthritis,Information Tree,Interactive guide for user diagnosis status.,C,1,Interactive decision tree functionality.,https://www.faceyourbackpain.com/,info_tree,Interactive guide,No direct match in AEM catalog.,screenshots/blocks/info_tree__default.png
Help Us Guide You ‐ Learn about Ankylosing Spondylitis and Non‐radiographic Axial Spondyloarthritis,Three Column CTA,Displays three promotional call-to-action blocks.,M,1,Requires layout and styling for equal column presentation.,https://www.faceyourbackpain.com/,three_column_cta,Call-to-action grid,No direct match in AEM catalog.,screenshots/blocks/three_column_cta__default.png
Help Us Guide You ‐ Learn about Ankylosing Spondylitis and Non‐radiographic Axial Spondyloarthritis,Real People Section,Highlights patient stories with accompanying visuals.,M,1,Integrates multimedia content.,https://www.faceyourbackpain.com/,real_people_section,Testimonial showcase,No direct match in AEM catalog.,screenshots/blocks/real_people_section__default.png
Help Us Guide You ‐ Learn about Ankylosing Spondylitis and Non‐radiographic Axial Spondyloarthritis,Connect with Others,Encourages social media community engagement.,S,1,Simple links to social media platforms.,https://www.faceyourbackpain.com/,connect_with_others,Social media links,No direct match in AEM catalog.,screenshots/blocks/connect_with_others__default.png
Help Us Guide You ‐ Learn about Ankylosing Spondylitis and Non‐radiographic Axial Spondyloarthritis,Footer Navigation,Displays footer links and resources.,M,3,Requires layout and accessibility considerations.,https://www.faceyourbackpain.com/,footer_navigation,Footer links,Matches 'Footer' block in AEM catalog.,screenshots/blocks/footer_navigation__default.png
Sign Up to Receive A Free AS and Nr‐axSpA Brochure,Utility Navigation,Provides quick links for sponsorship and social media.,S,1,Basic navigation links without significant interactivity or styling complexity.,https://www.faceyourbackpain.com/get-more-information,utility_navigation,Utility strip,Standard header utility navigation.,screenshots/blocks/utility_navigation__default.png
