Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Home Page,Global Utility Navigation,Provides utility links for quick access to resources.,M,5,Includes accessibility features and dynamic links.,https://www.ozurdex.com/,global_utility_navigation,Utility navigation,No exact match found in catalog.,screenshots/blocks/global_utility_navigation__default.png
Home Page,Primary Navigation,Main navigation for accessing key site sections.,C,6,Deep navigation structure with multiple levels.,https://www.ozurdex.com/,primary_navigation,Main navigation,No exact match found in catalog.,screenshots/blocks/primary_navigation__default.png
Home Page,Hero Section,Displays a prominent hero image and headline.,M,5,Includes large visuals and headline text.,https://www.ozurdex.com/,hero_section,Hero banner,Mapped to Hero block from catalog.,screenshots/blocks/hero_section__default.png
Home Page,Image and Text Section 1,Combines image and descriptive text.,M,1,Standard pairing of media and text.,https://www.ozurdex.com/,image_text_section_1,Image and text,No exact match found in catalog.,screenshots/blocks/image_text_section_1__default.png
Home Page,Image and Text Section 2,Highlights product features with imagery.,M,1,Standard pairing of media and text.,https://www.ozurdex.com/,image_text_section_2,Image and text,No exact match found in catalog.,screenshots/blocks/image_text_section_2__default.png
Home Page,Image and Text Section 3,Explains product procedures with visuals.,M,1,Standard pairing of media and text.,https://www.ozurdex.com/,image_text_section_3,Image and text,No exact match found in catalog.,screenshots/blocks/image_text_section_3__default.png
Home Page,Important Safety Information,Displays critical safety and usage information.,M,4,Compliance and accessibility requirements.,https://www.ozurdex.com/,important_safety_information,Safety information,No exact match found in catalog.,screenshots/blocks/important_safety_information__default.png
Home Page,Footer,Provides site-wide footer with links and information.,M,3,Includes legal and informational links.,https://www.ozurdex.com/,footer,Footer,Mapped to Footer block from catalog.,screenshots/blocks/footer__default.png
How It Works,Utility Navigation,Provides quick access to utility links.,S,1,Basic navigation links without advanced interaction.,https://www.ozurdex.com/howitworks,utility_navigation,Utility strip,Could not map to a catalog entry.,screenshots/blocks/utility_navigation__default.png
How It Works,How It Works Section,Explains the functionality and benefits of the product.,M,1,Content-driven section with potential interactive elements.,https://www.ozurdex.com/howitworks,how_it_works_section,Content section,Could not map to a catalog entry.,screenshots/blocks/how_it_works_section__default.png
How It Works,Ozurdex Implant Section,"Details about the implant, its size, and functionality.",M,1,Detailed content requiring structured layout.,https://www.ozurdex.com/howitworks,ozurdex_implant_section,Information section,Could not map to a catalog entry.,screenshots/blocks/ozurdex_implant_section__default.png
How It Works,What Does Ozurdex Do Section,Describes the effects and benefits of the product.,M,1,Informational content with potential visual elements.,https://www.ozurdex.com/howitworks,what_does_section,Content section,Could not map to a catalog entry.,screenshots/blocks/what_does_section__default.png
How It Works,Macula Comparison Section,Visual comparison of macula before and after treatment.,C,1,Requires advanced visual comparison feature.,https://www.ozurdex.com/howitworks,macula_comparison_section,Comparison visual,Could not map to a catalog entry.,screenshots/blocks/macula_comparison_section__default.png
How It Works,Video Section,Embedded video explaining the product's mechanism.,M,1,Includes video embedding and playback controls.,https://www.ozurdex.com/howitworks,video_section,Video embed,Could not map to a catalog entry.,screenshots/blocks/video_section__default.png
About Your Condition,Condition Impact,Details the impact of the condition on vision.,M,1,Involves detailed text and links.,https://www.ozurdex.com/aboutyourcondition,condition_impact_section,Informational section,Ensure text is clear and links are functional.,screenshots/blocks/condition_impact_section__default.png
About Your Condition,Visual Acuity,Provides visual acuity information.,M,1,Includes images and descriptive text.,https://www.ozurdex.com/aboutyourcondition,visual_acuity_section,Informational section,Verify image descriptions for accessibility.,screenshots/blocks/visual_acuity_section__default.png
About Your Condition,Symptoms,Lists symptoms associated with the condition.,M,1,Requires visual examples and detailed text.,https://www.ozurdex.com/aboutyourcondition,symptoms_section,Informational section,Ensure all examples are accessible.,screenshots/blocks/symptoms_section__default.png
About Your Condition,DME Information,Details about Diabetic Macular Edema.,M,1,Includes diagrams and descriptions.,https://www.ozurdex.com/aboutyourcondition,dme_section,Informational section,Verify diagram clarity and text descriptions.,screenshots/blocks/dme_section__default.png
About Your Condition,RVO Information,Information about Retinal Vein Occlusion.,M,1,Involves descriptive text and visual aids.,https://www.ozurdex.com/aboutyourcondition,rvo_section,Informational section,Ensure accessibility of visual aids.,screenshots/blocks/rvo_section__default.png
Site Navigation Page,Logo Header,Displays a clickable site logo linking to the homepage.,S,1,Simple component with basic functionality.,https://www.ozurdex.com/header-site-nav,header_logo,Logo,No matching catalog entry.,screenshots/blocks/header_logo__default.png
Site Navigation Page,Mobile Navigation Toggle,Allows users to toggle mobile navigation visibility.,M,1,Interactive element requiring accessibility features.,https://www.ozurdex.com/header-site-nav,mobile_menu_toggle,Toggle button,No matching catalog entry.,screenshots/blocks/mobile_menu_toggle__default.png
Site Navigation Page,Banner Navigation,Displays secondary navigation links in a banner format.,S,1,"Limited functionality, primarily link display.",https://www.ozurdex.com/header-site-nav,banner_navigation,Horizontal navigation,No matching catalog entry.,screenshots/blocks/banner_navigation__default.png
Warning Page,Headline Section,Displays the main headline and introductory text for the warning page.,S,1,Simple styling and content layout.,https://www.ozurdex.com/warn-on-leave,headline_section,Heading and Intro Text,No matching block found in the AEM blocks catalog.,screenshots/blocks/headline_section__default.png
Warning Page,CTA Columns,Contains two call-to-action buttons arranged in a two-column layout.,M,1,Involves interactive elements with potential accessibility considerations.,https://www.ozurdex.com/warn-on-leave,cta_columns,Two-column CTA layout,No matching block found in the AEM blocks catalog.,screenshots/blocks/cta_columns__default.png
Search Results,Search Results,Displays the search results and filters.,C,1,Search functionality includes dynamic content loading and filtering.,https://www.ozurdex.com/search-results,search_results,Search results,Matched with AEM catalog entry 'Search'.,screenshots/blocks/search_results__default.png
Search Results,Footer Links,"Contains links to legal, privacy, and contact information.",S,2,Footer links are generally static and straightforward.,https://www.ozurdex.com/search-results,footer_links,Footer,Matched with AEM catalog entry 'Footer'.,screenshots/blocks/footer_links__default.png
Search Results,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple button functionality with minor styling.,https://www.ozurdex.com/search-results,back_to_top,Button,No direct catalog match found.,screenshots/blocks/back_to_top__default.png
Search Results,Cookie Settings Modal,Provides options for managing cookie preferences.,M,1,Modal functionalities involve accessibility and dynamic behavior.,https://www.ozurdex.com/search-results,cookie_settings_modal,Cookie preferences,No direct catalog match found.,screenshots/blocks/cookie_settings_modal__default.png
