Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
VUITY® FAQs for HCP and Patients | ECP Allergan,Utility Navigation,Provides quick access to utility links for healthcare professionals.,S,1,Simple navigation links without significant interactivity.,https://www.vuitypro.com/faqs,global_utility_navigation,Utility strip,No direct match in AEM catalog.
VUITY® FAQs for HCP and Patients | ECP Allergan,Primary Navigation,Main navigation for accessing key sections of the site.,M,1,Deeper navigation hierarchy with multiple levels.,https://www.vuitypro.com/faqs,primary_navigation,Main navigation,No direct match in AEM catalog.
VUITY® FAQs for HCP and Patients | ECP Allergan,Hero Section,Prominent banner area introducing the page.,M,1,Requires integration of imagery and text with responsive design.,https://www.vuitypro.com/faqs,hero_section,Hero banner,Matched with AEM Hero block.
VUITY® FAQs for HCP and Patients | ECP Allergan,FAQ Section,Accordion-style FAQ section for detailed question-and-answer display.,C,1,Interactive accordion requiring accessibility and dynamic content handling.,https://www.vuitypro.com/faqs,faq_section,Accordion,Matched with AEM Accordion block.
VUITY® FAQs for HCP and Patients | ECP Allergan,Important Safety Information,Displays critical safety and prescribing information.,M,1,Requires precise formatting and integration of legal content.,https://www.vuitypro.com/faqs,important_safety_information,Safety information,No direct match in AEM catalog.
VUITY® FAQs for HCP and Patients | ECP Allergan,Footer,Footer section with links to legal and informational resources.,S,1,Static content with simple layout.,https://www.vuitypro.com/faqs,footer,Footer,Matched with AEM Footer block.
sitemap,Global Utility Navigation,Provides quick access to utility links for healthcare professionals and patients.,S,1,Simple navigation links with no additional interactive elements.,https://www.vuitypro.com/sitemap,global_utility_navigation,Utility strip,No direct match in the AEM catalog.
sitemap,Primary Navigation,Main navigation bar linking to key site sections.,M,1,Includes hierarchical navigation and accessibility considerations.,https://www.vuitypro.com/sitemap,primary_navigation,Main navigation,No direct match in the AEM catalog.
sitemap,Hero Section,Prominent section for branding and site logo.,M,1,Requires responsive design and visual prominence.,https://www.vuitypro.com/sitemap,hero_section,Hero area,No direct match in the AEM catalog.
sitemap,Important Safety Information,Displays critical product safety and prescribing information.,C,1,Includes structured text and legal compliance requirements.,https://www.vuitypro.com/sitemap,important_safety_information,Safety information,No direct match in the AEM catalog.
sitemap,Footer,Provides site-wide links and legal information.,M,1,Includes multiple links and structured layout.,https://www.vuitypro.com/sitemap,footer,Footer section,Mapped to Footer block in the AEM catalog.
sitemap,Safety Bar,Expandable section for product warnings and safety information.,C,1,Interactive expandable component with legal compliance.,https://www.vuitypro.com/sitemap,safety_bar,Expandable safety bar,No direct match in the AEM catalog.
