Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Sitemap,Utility Navigation,Provides utility navigation and branding elements.,S,2,Simple navigation without deep interactivity.,https://www.burdenofad.com/sitemap,global_utility_strip,Utility strip,No additional complexity identified.,screenshots/blocks/global_utility_strip__default.png
Sitemap,Primary Navigation,Main site navigation menu.,M,3,Includes structured navigation with multiple levels.,https://www.burdenofad.com/sitemap,primary_navigation,Main navigation,Potential for accessibility enhancements.,screenshots/blocks/primary_navigation__default.png
Sitemap,Main Content,Primary content section of the page.,M,1,Requires dynamic content rendering and layout management.,https://www.burdenofad.com/sitemap,main_content_area,Content area,Dynamic content integration required.,screenshots/blocks/main_content_area__default.png
Sitemap,Footer Links,"Contains links to important pages like Contact Us, Terms of Use, etc.",S,1,Static links presented in a footer layout.,https://www.burdenofad.com/sitemap,footer_links,Link list,Accessibility considerations for external links.,screenshots/blocks/footer_links__default.png
Sitemap,Footer Legal Text,Displays legal and copyright information.,S,1,Static text with minimal interaction.,https://www.burdenofad.com/sitemap,footer_legal_text,Legal text,Ensure compliance with legal standards.,screenshots/blocks/footer_legal_text__default.png
Sitemap,Back to Top,Button to quickly scroll back to the top of the page.,S,2,Simple button functionality with scroll behavior.,https://www.burdenofad.com/sitemap,back_to_top_button,Utility button,Ensure smooth scrolling and accessibility.,screenshots/blocks/back_to_top_button__default.png
Sitemap,Modal Component,Popup modal for additional information or actions.,C,1,Interactive modal requiring accessibility and responsive design.,https://www.burdenofad.com/sitemap,modal_component,Popup modal,Focus management and keyboard navigation required.,screenshots/blocks/modal_component__default.png
The Burden of Atopic Dermatitis,Global Utility Navigation,"Provides quick access to utility links such as contact, terms, and privacy settings.",M,3,Requires dynamic link handling and styling for accessibility.,https://www.burdenofad.com/,global_utility_navigation,Utility strip,No direct match in the catalog; custom implementation likely.,screenshots/blocks/global_utility_navigation__default.png
The Burden of Atopic Dermatitis,Primary Header,"Displays the main branding, logo, and primary navigation menu.",C,3,Includes dynamic navigation and branding elements.,https://www.burdenofad.com/,primary_header,Main navigation,Mapped to 'Header' from the catalog.,screenshots/blocks/primary_header__default.png
The Burden of Atopic Dermatitis,Hero Carousel,Showcases the main hero content in a carousel format with multiple slides.,C,1,Involves dynamic content loading and user interaction elements.,https://www.burdenofad.com/,hero_carousel,Content slider,Matched to 'Carousel' in the catalog.,screenshots/blocks/hero_carousel__default.png
