Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Rheum for Dialogue: For Patients and Rheumatologists,Global Utility Navigation,Provides quick access to utility links and site navigation.,M,3,Includes navigation and utility features requiring accessibility and responsiveness.,https://www.rheumfordialogue.abbvie.com/,global_utility_navigation,Utility Navigation,No exact match found in the catalog.,screenshots/blocks/global_utility_navigation__default.png
Rheum for Dialogue: For Patients and Rheumatologists,Primary Header,Displays the main site branding and primary navigation.,C,2,Primary navigation often includes deep links and branding elements.,https://www.rheumfordialogue.abbvie.com/,primary_header,Main Navigation,No exact match found in the catalog.,screenshots/blocks/primary_header__default.png
Rheum for Dialogue: For Patients and Rheumatologists,Hero Carousel,Highlights key messages and visuals in a rotating carousel format.,C,1,Carousels require advanced accessibility and responsive design.,https://www.rheumfordialogue.abbvie.com/,hero_carousel,Hero Carousel,Mapped to Carousel from the catalog.,screenshots/blocks/hero_carousel__default.png
Rheum for Dialogue: For Patients and Rheumatologists,Introduction Section,Introduces the initiative and its purpose with supporting visuals.,M,1,Includes visuals and introductory content requiring responsive design.,https://www.rheumfordialogue.abbvie.com/,introduce_section,Introduction,No exact match found in the catalog.,screenshots/blocks/introduce_section__default.png
Rheum for Dialogue: For Patients and Rheumatologists,Tabs Section,Provides tabbed content for exploring different topics.,M,1,Tabbed interfaces require accessibility and dynamic content management.,https://www.rheumfordialogue.abbvie.com/,tabs_section,Tabbed Interface,Mapped to Tabs from the catalog.,screenshots/blocks/tabs_section__default.png
Rheum for Dialogue: For Patients and Rheumatologists,Joint Discussion Section,Features a video and content about patient-doctor communication.,M,1,Integrates multimedia content with descriptive text.,https://www.rheumfordialogue.abbvie.com/,joint_discussion,Video and Content,No exact match found in the catalog.,screenshots/blocks/joint_discussion__default.png
Rheum for Dialogue: For Patients and Rheumatologists,Resource Hub,Offers resources and tools for patients to manage their care.,M,1,Resource hubs require structured content and user-friendly navigation.,https://www.rheumfordialogue.abbvie.com/,resource_hub,Resource Section,No exact match found in the catalog.,screenshots/blocks/resource_hub__default.png
Rheum for Dialogue: For Patients and Rheumatologists,Patient Assessment Tool,Promotes the patient assessment tool with a call-to-action.,C,1,Interactive tools often include forms and dynamic user feedback.,https://www.rheumfordialogue.abbvie.com/,patient_tool,Assessment Tool,No exact match found in the catalog.,screenshots/blocks/patient_tool__default.png
Rheum for Dialogue: For Patients and Rheumatologists,Footer References,Displays references and additional information in the footer.,S,1,Footer content is typically static with basic styling.,https://www.rheumfordialogue.abbvie.com/,footer_references,Footer Section,Mapped to Footer from the catalog.,screenshots/blocks/footer_references__default.png
Patient Assessment Tool,Primary Navigation,Main site navigation for accessing different sections of the site.,M,1,Includes multiple menu items and active state handling.,https://www.rheumfordialogue.abbvie.com/patient-assessment-tool,primary_navigation,Main navigation,No matching block found in catalog.,screenshots/blocks/primary_navigation__default.png
