Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
What Causes HS? | No BS About HS,Utility Navigation,Provides site-wide quick access links and icons.,S,5,Simple navigation links with minimal interactivity.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,global_utility_strip,Utility strip,No direct match found in the AEM catalog.,screenshots/blocks/global_utility_strip__default.png
What Causes HS? | No BS About HS,Primary Navigation,Enables access to main sections of the site.,M,5,Includes dropdown menus and hierarchical navigation.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,primary_navigation,Main navigation,No direct match found in the AEM catalog.,screenshots/blocks/primary_navigation__default.png
What Causes HS? | No BS About HS,Hero Section,Displays a large image and headline at the top of the page.,M,8,Requires image optimization and responsive design.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,hero_section,Hero layout,Matched to the 'Hero' block from the AEM catalog.,screenshots/blocks/hero_section__default.png
What Causes HS? | No BS About HS,Content Columns,Arranges text and images in a column-based layout.,M,1,Includes responsive design and content alignment.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,main_content_columns,Column layout,No direct match found in the AEM catalog.,screenshots/blocks/main_content_columns__default.png
What Causes HS? | No BS About HS,Video Player,Embeds and displays video content.,C,1,Involves multimedia handling and accessibility features.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,video_player,Embedded video,Matched to the 'Video' block from the AEM catalog.,screenshots/blocks/video_player__default.png
What Causes HS? | No BS About HS,Inline Callouts,Provides additional inline information or links.,M,1,Requires styling and interaction handling.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,inline_tout,Callouts,No direct match found in the AEM catalog.,screenshots/blocks/inline_tout__default.png
What Causes HS? | No BS About HS,Footer,Displays site-wide links and informational content at the bottom of the page.,M,4,Includes styling and dynamic content loading.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa/what-causes-hs,footer,Footer layout,Matched to the 'Footer' block from the AEM catalog.,screenshots/blocks/footer__default.png
HS Patient Sterling Video Transcript | No BS About HS,AdChoices Modal,Provides a modal dialog for advertising choices.,S,1,Standard modal implementation with predefined styling and functionality.,https://www.nobsabouths.com/hs-patient-stories/meetsterling-transcript,modal_adchoices,AdChoices,template tpl_1,screenshots/blocks/modal_adchoices__default.png
HS Patient Sterling Video Transcript | No BS About HS,Facebook Modal,Provides a modal dialog for Facebook-related information.,S,1,Standard modal implementation with predefined styling and functionality.,https://www.nobsabouths.com/hs-patient-stories/meetsterling-transcript,modal_facebook,Facebook,template tpl_1,screenshots/blocks/modal_facebook__default.png
HS Patient Sterling Video Transcript | No BS About HS,YouTube Modal,Provides a modal dialog for YouTube-related information.,S,1,Standard modal implementation with predefined styling and functionality.,https://www.nobsabouths.com/hs-patient-stories/meetsterling-transcript,modal_youtube,YouTube,template tpl_1,screenshots/blocks/modal_youtube__default.png
HS Patient Sterling Video Transcript | No BS About HS,Instagram Modal,Provides a modal dialog for Instagram-related information.,S,1,Standard modal implementation with predefined styling and functionality.,https://www.nobsabouths.com/hs-patient-stories/meetsterling-transcript,modal_instagram,Instagram,template tpl_1,screenshots/blocks/modal_instagram__default.png
HS Patient Sterling Video Transcript | No BS About HS,Back to Top Button,Allows users to quickly return to the top of the page.,S,8,Simple button functionality with minimal complexity.,https://www.nobsabouths.com/hs-patient-stories/meetsterling-transcript,back_to_top,Navigation,No matching block found in the AEM catalog for this component.,screenshots/blocks/back_to_top__default.png
Find a Dermatologist Near Me | No BS About HS,Utility Navigation,"Provides quick access to utility links and tools, such as search and user account options.",M,2,Requires integration with user account and search functionalities.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,global_utility_navigation,Utility strip,Focus on user experience and accessibility.,screenshots/blocks/global_utility_navigation__default.png
Find a Dermatologist Near Me | No BS About HS,Introductory Text,Provides a brief introduction and context for the page.,S,1,Static text content with minimal styling.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,rich_text_intro,Introductory text,Ensure text is clear and accessible.,screenshots/blocks/rich_text_intro__default.png
Find a Dermatologist Near Me | No BS About HS,Dermatologist Locator Tool,Interactive tool for users to find dermatologists near their location.,C,1,Requires integration with location services and database.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,locator_tool,Interactive locator,Focus on usability and accurate results.,screenshots/blocks/locator_tool__default.png
Find a Dermatologist Near Me | No BS About HS,Side Navigation,Provides additional navigation links related to the current section.,M,1,Requires responsive design and contextual relevance.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,side_navigation,Side navigation,Ensure seamless integration with main content.,screenshots/blocks/side_navigation__default.png
Find a Dermatologist Near Me | No BS About HS,Side Tout,Highlights additional content or calls to action related to the page's topic.,M,1,Includes dynamic content and visual elements.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,side_tout,Content highlight,Focus on visual appeal and relevance.,screenshots/blocks/side_tout__default.png
Find a Dermatologist Near Me | No BS About HS,Footer Links,Contains links to additional site resources and legal information.,M,4,Includes multiple link groups and accessibility considerations.,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me,footer_links,Footer links,Ensure links are clear and functional.,screenshots/blocks/footer_links__default.png
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Primary Header,"Contains the main branding, logo, and primary navigation menu.",M,4,Includes branding elements and navigation structure.,https://www.nobsabouths.com/,primary_header,Main navigation,No direct match in AEM catalog.,screenshots/blocks/primary_header__default.png
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Content Columns,Displays content in a multi-column layout for structured information.,M,1,Involves layout structuring and responsive design.,https://www.nobsabouths.com/,main_columns,Multi-column layout,No direct match in AEM catalog.,screenshots/blocks/main_columns__default.png
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Call to Action,"Encourages users to take specific actions, such as finding a dermatologist.",M,1,Interactive elements for user actions.,https://www.nobsabouths.com/,call_to_action,Action prompt,No direct match in AEM catalog.,screenshots/blocks/call_to_action__default.png
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Cookie Consent,Displays cookie consent options to the user.,M,1,Includes user interaction and legal compliance.,https://www.nobsabouths.com/,cookie_consent,Privacy modal,No direct match in AEM catalog.,screenshots/blocks/cookie_consent__default.png
Learn about Hidradenitis Suppurativa (HS) | No BS About HS,Search Bar,Provides a search input for users to find content on the site.,M,1,Interactive search functionality with potential autocomplete.,https://www.nobsabouths.com/,search_functionality,Search input,No direct match in AEM catalog.,screenshots/blocks/search_functionality__default.png
Personalization Features,Personalized CTAs Section,Highlights personalized call-to-action elements for the homepage.,M,1,The block includes personalized content and dynamic CTAs.,https://www.nobsabouths.com/personalization/callouts,personalized_ctas_section,Personalized Call-to-Action,No direct matches found in the AEM block catalog.,screenshots/blocks/personalized_ctas_section__default.png
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Mega Navigation Menu,Provides dropdown menus for site sections.,C,2,Complex dropdown menu functionality and styling.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,mega_navigation,Navigation,None,screenshots/blocks/mega_navigation__default.png
What is Hidradenitis Suppurativa (HS)? | No BS About HS,CTA Links,Offers call-to-action links for navigation.,S,1,Simple link functionality without dynamic elements.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,main_cta_links,CTA,None,screenshots/blocks/main_cta_links__default.png
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Page Title,Displays the main title of the page.,S,1,Static text display.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,main_title,Title,None,screenshots/blocks/main_title__default.png
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Introductory Text,Provides an introduction to the page content.,S,1,Simple text content without interactivity.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,intro_text,Text,None,screenshots/blocks/intro_text__default.png
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Image with Description,Displays an image accompanied by descriptive text.,M,1,Includes image positioning and text styling.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,image_with_description,Image and text,None,screenshots/blocks/image_with_description__default.png
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Detailed Content,Presents detailed textual information.,S,1,Static text content without interactivity.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,text_content,Text,None,screenshots/blocks/text_content__default.png
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Affected Areas,Illustrates areas affected by the condition with images and lists.,M,1,Combination of visual and textual elements with styling.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,affected_areas_section,Section,None,screenshots/blocks/affected_areas_section__default.png
What is Hidradenitis Suppurativa (HS)? | No BS About HS,Interactive Quiz,Engages users with an interactive quiz.,C,1,Interactive functionality and dynamic content.,https://www.nobsabouths.com/what-is-hidradenitis-suppurativa,quiz_section,Interactive,None,screenshots/blocks/quiz_section__default.png
Search Results,Global Header,"Contains the main navigation, logo, and utility links.",M,2,Involves multiple navigation elements and logo integration.,https://www.nobsabouths.com/search-results,global_header,Header,Could be mapped to a header-related block in the future.,screenshots/blocks/global_header__default.png
Search Results,Search Box,Search input field and related features.,C,1,Requires accessibility for search input and dynamic suggestions.,https://www.nobsabouths.com/search-results,search_box,Search Input,Mapped to the Search block for search functionality.,screenshots/blocks/search_box__default.png
Search Results,Search Results,Displays the search results and related filters.,C,1,Dynamic content display and filtering functionality.,https://www.nobsabouths.com/search-results,search_results,Results Display,Consider mapping to a search results block for consistency.,screenshots/blocks/search_results__default.png
Search Results,Modal Dialogs,Various modal dialogs for user interactions.,C,1,Dynamic content and accessibility requirements.,https://www.nobsabouths.com/search-results,modal_dialogs,Modal,Consider mapping to a modal block for consistency.,screenshots/blocks/modal_dialogs__default.png
Hidradenitis Suppurativa (HS) Glossary | No BS About HS,Glossary Content,Displays the glossary terms and their definitions.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.nobsabouths.com/glossary,content_glossary,default,templateIds: tpl_8,screenshots/blocks/content_glossary__default.png
Site Map | No BS About HS,Hero Title,Displays the main title of the page.,S,1,Simple text display with styling.,https://www.nobsabouths.com/sitemap,hero_title,Page title,"Minimal functionality, primarily visual.",screenshots/blocks/hero_title__default.png
Site Map | No BS About HS,Sitemap Columns,Organizes sitemap content into columns.,M,1,Structured layout with potential dynamic content.,https://www.nobsabouths.com/sitemap,sitemap_columns,Multi-column layout,Ensure accessibility and responsive behavior.,screenshots/blocks/sitemap_columns__default.png
Site Map | No BS About HS,Modal Overlays,Handles modal dialogs for additional content.,C,2,Requires handling for dynamic content and accessibility.,https://www.nobsabouths.com/sitemap,modal_overlays,Modal dialogs,Ensure proper focus management and keyboard accessibility.,screenshots/blocks/modal_overlays__default.png
thanks-for-the-answer,Content Columns,Arranges content into two columns with text and call-to-action elements.,M,1,Handles layout and call-to-action integration.,https://www.nobsabouths.com/thanks-for-the-answer,content_columns,Two-column layout,Consider responsive design for column adaptability.,screenshots/blocks/content_columns__default.png
thanks-for-the-answer,Call-to-Action Section,Provides a prominent call-to-action for downloading a booklet.,M,1,Focuses on user interaction and conversion optimization.,https://www.nobsabouths.com/thanks-for-the-answer,cta_section,Call-to-action,Optimize for conversion and tracking.,screenshots/blocks/cta_section__default.png
