Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Home - BOTOX® (onabotulinumtoxinA),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,header_utility_strip,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,header_primary_navigation,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),main region 0,"Major content region in main (div). Preview: Trusted support for your journey ahead Sign up for information and access to free resources, which include: Potential sa…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,main_region_0,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),carousel,Major content region in main (div).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,carousel,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),main region 2,Major content region in main (div). Preview: A legacy of trust that keeps growing 35+years of clinical experience Since FDA approval of Blepharospasm and Strabismus …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,main_region_2,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),main region 3,"Major content region in main (div). Preview: SAVINGS BOTOX® Complete offers opportunities to save Eligible, commercially insured patients could: Pay as little as $0*…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,main_region_3,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),main region 4,"Major content region in main (div). Preview: I wish BOTOX® had been recommended earlier, after the first OAB pill† didn't work well for me. †Overactive bladder (OAB)…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,main_region_4,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),main region 5,Major content region in main (div). Preview: TREATMENT Not every doctor is trained to provide BOTOX®. A BOTOX® Specialist can offer you: Expertise based on their ext…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,main_region_5,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),main region 6,Major content region in main (div). Preview: BOTOX® can help treat a variety of medical conditions Learn more about the conditions BOTOX® is approved for by clicking…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,main_region_6,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),main region 7,Major content region in main (div). Preview: COST CALCULATOR How much might BOTOX® cost? CHECK COST Account setup is not required to view cost estimations.…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,main_region_7,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,form_block_0,default,templateIds: tpl_0
Home - BOTOX® (onabotulinumtoxinA),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/,site_footer,default,templateIds: tpl_0
Log In to BOTOX® Complete - BOTOX® (onabotulinumtoxinA),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/log-in,header_utility_strip,default,templateIds: tpl_1
Log In to BOTOX® Complete - BOTOX® (onabotulinumtoxinA),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/log-in,header_primary_navigation,default,templateIds: tpl_1
Log In to BOTOX® Complete - BOTOX® (onabotulinumtoxinA),main region 0,Major content region in main (div). Preview: Log in…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/log-in,main_region_0,default,templateIds: tpl_1
Log In to BOTOX® Complete - BOTOX® (onabotulinumtoxinA),main region 1,"Major content region in main (div). Preview: // Editor evaluates this script and if the clientlib is not loaded by then, it will fail. Hence triggering an // event a…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/log-in,main_region_1,default,templateIds: tpl_1
Log In to BOTOX® Complete - BOTOX® (onabotulinumtoxinA),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/log-in,site_footer,default,templateIds: tpl_1
Sitemap - BOTOX® (onabotulinumtoxinA),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/sitemap,header_utility_strip,default,templateIds: tpl_2
Sitemap - BOTOX® (onabotulinumtoxinA),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/sitemap,header_primary_navigation,default,templateIds: tpl_2
Sitemap - BOTOX® (onabotulinumtoxinA),main region 0,Major content region in main (div). Preview: Site map…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/sitemap,main_region_0,default,templateIds: tpl_2
Sitemap - BOTOX® (onabotulinumtoxinA),main region 1,Major content region in main (div). Preview: Home Find a BOTOX® Specialist BOTOX® Complete Resources Conditions Cost and Coverage Conditions All Conditions Adult Spa…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/sitemap,main_region_1,default,templateIds: tpl_2
Sitemap - BOTOX® (onabotulinumtoxinA),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/sitemap,site_footer,default,templateIds: tpl_2
BOTOX® Complete Full T&amp;Cs - BOTOX® (onabotulinumtoxinA),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botox.com/completeterms,header_utility_strip,default,templateIds: tpl_3
