Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
CREON® (pancrelipase) Delayed­-Release Capsules - Official HCP Site,Site header,Combined header region (utility + navigation if not split).,M,33,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/,header_chrome,default,templateIds: tpl_0,screenshots/blocks/header_chrome__default.png
CREON® (pancrelipase) Delayed­-Release Capsules - Official HCP Site,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1967789142 .abbv-background-container-display { background-image : url…,M,31,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
CREON® (pancrelipase) Delayed­-Release Capsules - Official HCP Site,main region 1,Major content region in main (div). Preview: Understanding EPI Revisit the function of the exocrine pancreas and the possible causes and consequences of EPI. Take a …,M,17,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
CREON® (pancrelipase) Delayed­-Release Capsules - Official HCP Site,main region 2,"Major content region in main (div). Preview: Learn more about EPI from your peers Explore videos featuring peer insights on how they manage, diagnose, and treat EPI …",M,14,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/,main_region_2,default,templateIds: tpl_0,screenshots/blocks/main_region_2__default.png
CREON® (pancrelipase) Delayed­-Release Capsules - Official HCP Site,Site footer,"Footer links, legal, social, and ancillary navigation.",M,34,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/,site_footer,default,templateIds: tpl_0,screenshots/blocks/site_footer__default.png
Dosing &amp; Administration for CREON® - HCP Site,main region 3,Major content region in main (div). Preview: .abbv-image-text-v1-1369338282-large { display: inline-block; } CREON Treatment Tracker Encourage patients to use the Tr…,M,8,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/dosing-administration,main_region_3,default,templateIds: tpl_3,screenshots/blocks/main_region_3__default.png
Dosing &amp; Administration for CREON® - HCP Site,main region 4,Major content region in main (div). Preview: Safety and dosing considerations Fibrosing colonopathy has been reported following treatment with pancreatic enzyme prod…,M,6,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/dosing-administration,main_region_4,default,templateIds: tpl_3,screenshots/blocks/main_region_4__default.png
CREON® (pancrelipase) Mechanism of Action - HCP Site,Carousel / spotlight,"Rotating or swipeable spotlight region (announcements, hero slides, promos).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/mechanism-of-action,carousel_wrapper,default,templateIds: tpl_11,screenshots/blocks/carousel_wrapper__default.png
Search Results,search results coveo,Major content region in main (div). Preview: window.coveosearch={ coveoHostedSearchPageId:'ce267d38-0f50-4641-b519-e50d2f0232e8' }…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/search-results,search_results_coveo,default,templateIds: tpl_16,screenshots/blocks/search_results_coveo__default.png
CREON® Dosing for CP or Pancreatectomy Patients - HCP Site,main region 5,"Major content region in main (div). Preview: .abbv-image-text-v1-1743422995-large { display: inline-block; } CREON should be taken with every meal and snack, with su…",M,2,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/cp-or-pancreatectomy,main_region_5,default,templateIds: tpl_17,screenshots/blocks/main_region_5__default.png
CREON® Dosing for CP or Pancreatectomy Patients - HCP Site,main region 6,Major content region in main (div). Preview: How soon do you follow up with patients after CREON treatment initiation? Within the first month Between 1 and 6 months …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/cp-or-pancreatectomy,main_region_6,default,templateIds: tpl_17,screenshots/blocks/main_region_6__default.png
CREON® Dosing for CP or Pancreatectomy Patients - HCP Site,main region 7,Major content region in main (div). Preview: Dosing and administration considerations Fibrosing colonopathy has been reported following treatment with pancreatic enz…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/cp-or-pancreatectomy,main_region_7,default,templateIds: tpl_17,screenshots/blocks/main_region_7__default.png
CREON® Dosing for CP or Pancreatectomy Patients - HCP Site,main region 8,Major content region in main (div). Preview: Instructions for patients who have a hard time swallowing capsules If your patients have problems swallowing CREON capsu…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/cp-or-pancreatectomy,main_region_8,default,templateIds: tpl_17,screenshots/blocks/main_region_8__default.png
CREON® Dosing for CP or Pancreatectomy Patients - HCP Site,main region 9,Major content region in main (div). Preview: .abbv-image-text-v1-1607400260-large { display: inline-block; } Encourage patients to use the Treatment Tracker to recor…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/cp-or-pancreatectomy,main_region_9,default,templateIds: tpl_17,screenshots/blocks/main_region_9__default.png
About CREON® (pancrelipase) Delayed-Release Capsules - HCP Site,columns,"Major content region in main (div). Preview: Based on the FDA-approved label, CREON is the only PERT specifically studied in patients with EPI due to chronic pancrea…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/about-creon,columns,default,templateIds: tpl_23,screenshots/blocks/columns__default.png
