Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
NAPSI,Global Utility Strip,Provides utility navigation links such as contact and privacy policy.,S,2,Simple utility navigation with basic functionality.,https://www.usdermed.com/clinical-tools/napsi,global_utility_strip,Utility strip,Consider mapping to a suitable block if available in the catalog.,screenshots/blocks/global_utility_strip__default.png
NAPSI,Primary Header,"Displays the main site branding, logo, and primary navigation menu.",M,2,"Includes branding, navigation, and accessibility considerations.",https://www.usdermed.com/clinical-tools/napsi,primary_header,Main navigation,Mapped to the Header block from the AEM catalog.,screenshots/blocks/primary_header__default.png
NAPSI,Hero Section,Highlights the main topic of the page with a background image and title.,M,3,Involves background image handling and text overlay.,https://www.usdermed.com/clinical-tools/napsi,hero_section,Hero,Mapped to the Hero block from the AEM catalog.,screenshots/blocks/hero_section__default.png
NAPSI,Main Content,Contains the detailed description and references for the NAPSI tool.,M,1,Rich text content with potential for dynamic updates.,https://www.usdermed.com/clinical-tools/napsi,main_content,Rich text,No direct match found in the catalog.,screenshots/blocks/main_content__default.png
NAPSI,CTA Section,Provides call-to-action buttons for navigating to related tools or sections.,S,1,Simple button styles and links.,https://www.usdermed.com/clinical-tools/napsi,cta_section,Call-to-action,No direct match found in the catalog.,screenshots/blocks/cta_section__default.png
NAPSI,Footer,Displays site-wide footer information and links.,S,2,Static content with basic styling.,https://www.usdermed.com/clinical-tools/napsi,footer,Footer,Mapped to the Footer block from the AEM catalog.,screenshots/blocks/footer__default.png
NAPSI,Back to Top Button,Provides a button to quickly navigate back to the top of the page.,S,1,Simple button functionality with smooth scrolling.,https://www.usdermed.com/clinical-tools/napsi,back_to_top,Back to top,No direct match found in the catalog.,screenshots/blocks/back_to_top__default.png
NAPSI,Modal Overlay,Displays modal dialogs for user interactions or information.,M,1,Requires JavaScript for modal behavior and CSS for styling.,https://www.usdermed.com/clinical-tools/napsi,modal_overlay,Modal dialog,Mapped to the Modal block from the AEM catalog.,screenshots/blocks/modal_overlay__default.png
Atopic Dermatitis - USDermEd,Section Navigation,Provides navigation links to different sections of the page.,M,1,Involves dynamic section links.,https://www.usdermed.com/atopic-dermatitis,section_navigation,Section navigation,Requires further review to map accurately.,screenshots/blocks/section_navigation__default.png
Atopic Dermatitis - USDermEd,Disease Education Section,Contains content and media related to disease education.,M,1,Educational content with potential media assets.,https://www.usdermed.com/atopic-dermatitis,disease_education_section,Education content,Requires further review to map accurately.,screenshots/blocks/disease_education_section__default.png
Atopic Dermatitis - USDermEd,Treatment Considerations Section,Includes information and videos about treatment options for atopic dermatitis.,C,1,Combines text and video resources.,https://www.usdermed.com/atopic-dermatitis,treatment_considerations_section,Treatment options,Requires further review to map accurately.,screenshots/blocks/treatment_considerations_section__default.png
Atopic Dermatitis - USDermEd,Video Playlist,Displays a list of videos related to the topic.,M,1,Video embedding and playlist functionality.,https://www.usdermed.com/atopic-dermatitis,video_playlist,Video playlist,Mapped to 'Video' from the catalog.,screenshots/blocks/video_playlist__default.png
USDermEd - AbbVie US Medical Affairs,Utility Navigation,Provides quick access to utility links and global navigation options.,S,1,Simple navigation links structure.,https://www.usdermed.com/,global_utility_navigation,Utility strip,May require slight adjustments for accessibility.,screenshots/blocks/global_utility_navigation__default.png
USDermEd - AbbVie US Medical Affairs,Primary Navigation,The main site navigation menu for accessing primary sections.,M,1,Includes hierarchical navigation and potential dropdowns.,https://www.usdermed.com/,primary_navigation,Main navigation,Ensure responsive behavior and accessibility compliance.,screenshots/blocks/primary_navigation__default.png
USDermEd - AbbVie US Medical Affairs,Introductory Columns,Provides an introduction and supporting text for the page.,S,1,Simple text layout in a column structure.,https://www.usdermed.com/,intro_columns,Text columns,Ensure proper alignment and spacing between columns.,screenshots/blocks/intro_columns__default.png
USDermEd - AbbVie US Medical Affairs,Call-to-Action Buttons,Buttons for navigating to specific topics or actions.,S,1,Basic button components with interactive behavior.,https://www.usdermed.com/,cta_buttons,Button grid,Ensure button accessibility and hover states.,screenshots/blocks/cta_buttons__default.png
USDermEd - AbbVie US Medical Affairs,Skin Tout Section,Highlights dermatologic care for patients of color.,M,1,Prominent visual section with text and graphics.,https://www.usdermed.com/,skin_tout_section,Promotional hero,Focus on inclusive representation and clear messaging.,screenshots/blocks/skin_tout_section__default.png
USDermEd - AbbVie US Medical Affairs,Footer Links,Contains footer navigation links and legal information.,S,1,Standard footer with links and text.,https://www.usdermed.com/,footer_links,Footer navigation,Ensure legal text visibility and link functionality.,screenshots/blocks/footer_links__default.png
USDermEd - AbbVie US Medical Affairs,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Single interactive component for page navigation.,https://www.usdermed.com/,back_to_top_button,Scroll utility,Verify smooth scrolling behavior and visibility.,screenshots/blocks/back_to_top_button__default.png
