Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Global Utility Navigation,Provides quick access to utility links such as 'For Healthcare Professionals'.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,global_utility_navigation,default,templateIds: tpl_0
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Primary Header,"Displays the main branding and navigation for the site, including the logo and primary menu.",M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,primary_header,default,templateIds: tpl_0
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Hero Section,Highlights the main message and imagery of the homepage.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,hero_section,default,templateIds: tpl_0
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Image Grid CTAs,Displays a grid of images with associated calls to action.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,image_grid_ctas,default,templateIds: tpl_0
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Why Choose Section,Explains the benefits of the product with supporting images and text.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,why_choose_section,default,templateIds: tpl_0
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Testimonials Carousel,Showcases customer testimonials in a carousel format.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,testimonials_carousel,default,templateIds: tpl_0
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Savings Section,Promotes savings opportunities with associated imagery and CTAs.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,savings_section,default,templateIds: tpl_0
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,FAQs Section,Provides answers to frequently asked questions in an accordion format.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,faqs_section,default,templateIds: tpl_0
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Footer Section,Contains site-wide footer links and legal information.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,footer_section,default,templateIds: tpl_0
LASTACAFT® Once Daily Eye Allergy Itch Relief Drops,Back to Top Button,Allows users to quickly navigate back to the top of the page.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.lastacaft.com/,back_to_top_button,default,templateIds: tpl_0
Frequently Asked Questions | LASTACAFT®,Global Utility Navigation,Provides quick access to utility links for healthcare professionals.,M,1,Utility navigation with potential accessibility and responsive design considerations.,https://www.lastacaft.com/frequently-asked-questions,global_utility_navigation,Utility strip,No direct match in catalog; custom implementation likely.
Frequently Asked Questions | LASTACAFT®,Primary Navigation,Main navigation menu for the site.,C,1,Primary navigation with deep hierarchy and potential accessibility requirements.,https://www.lastacaft.com/frequently-asked-questions,primary_navigation,Main navigation,No direct match in catalog; involves hierarchical menu structure.
Frequently Asked Questions | LASTACAFT®,Hero Section,Prominent section introducing the page content with a title.,S,1,Simple hero block with title and background styling.,https://www.lastacaft.com/frequently-asked-questions,hero_section,Hero banner,Matches Hero block from catalog.
Frequently Asked Questions | LASTACAFT®,FAQ Accordion,Interactive accordion displaying frequently asked questions and answers.,M,1,Accordion functionality with expandable and collapsible sections.,https://www.lastacaft.com/frequently-asked-questions,faq_accordion,FAQ accordion,Matches Accordion block from catalog.
Frequently Asked Questions | LASTACAFT®,Still Have Questions Section,Provides contact information for further inquiries.,S,1,Simple text-based section with contact details.,https://www.lastacaft.com/frequently-asked-questions,still_have_questions,Contact information,No direct match in catalog; straightforward implementation.
Frequently Asked Questions | LASTACAFT®,Footer,Footer section containing site links and legal information.,M,1,Footer with potential legal and navigational elements.,https://www.lastacaft.com/frequently-asked-questions,footer,Footer,Matches Footer block from catalog.
Understanding Eye Allergies with LASTACAFT®,Utility Navigation,Provides quick access to utility links such as healthcare professionals' resources.,S,1,Simple links for navigation.,https://www.lastacaft.com/understanding-eye-allergies,global_utility_navigation,Utility strip,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Primary Navigation,Main site navigation for accessing key sections.,M,1,Includes multiple links and hierarchical navigation.,https://www.lastacaft.com/understanding-eye-allergies,primary_navigation,Main navigation,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Hero Section,Highlights the main topic of the page with a prominent title and visual design.,M,1,Requires visual styling and positioning.,https://www.lastacaft.com/understanding-eye-allergies,hero_section,Hero banner,Catalog match found for 'Hero'.
Understanding Eye Allergies with LASTACAFT®,Introduction Text,Provides an introductory explanation about eye allergies.,S,1,Simple text content.,https://www.lastacaft.com/understanding-eye-allergies,rich_text_intro,Introductory text,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Allergens Overview,Details various allergens and their effects.,M,1,Structured content with multiple subsections.,https://www.lastacaft.com/understanding-eye-allergies,allergens_section,Content overview,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Pollen Details,Information about pollen and its impact on allergies.,S,1,Simple content section.,https://www.lastacaft.com/understanding-eye-allergies,pollen_details,Content detail,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Grass Details,Information about grass allergens and their seasonal impact.,S,1,Simple content section.,https://www.lastacaft.com/understanding-eye-allergies,grass_details,Content detail,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Ragweed Details,Information about ragweed allergens and their effects.,S,1,Simple content section.,https://www.lastacaft.com/understanding-eye-allergies,ragweed_details,Content detail,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Pet Dander Details,Information about pet dander and its impact on allergies.,S,1,Simple content section.,https://www.lastacaft.com/understanding-eye-allergies,pet_dander_details,Content detail,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Tips Section,Provides actionable tips for managing eye allergies.,M,1,Contains structured content with actionable items.,https://www.lastacaft.com/understanding-eye-allergies,tips_section,Tips and advice,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Mobile Tips Section,Tips for managing allergies optimized for mobile view.,M,1,Optimized for mobile devices.,https://www.lastacaft.com/understanding-eye-allergies,mobile_tips_section,Mobile tips,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Pollen Tracker,Interactive tool for tracking pollen levels by ZIP code.,C,1,Interactive functionality and data integration.,https://www.lastacaft.com/understanding-eye-allergies,pollen_tracker,Interactive tracker,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Offer Section,Promotes a coupon for LASTACAFT® product.,S,1,Simple promotional content.,https://www.lastacaft.com/understanding-eye-allergies,offer_section,Coupon offer,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Footer Section,Contains site-wide footer links and legal information.,M,1,Includes multiple links and structured layout.,https://www.lastacaft.com/understanding-eye-allergies,footer_section,Footer navigation,No matching catalog block found.
Understanding Eye Allergies with LASTACAFT®,Back to Top Button,Provides a button to quickly return to the top of the page.,S,1,Simple button functionality.,https://www.lastacaft.com/understanding-eye-allergies,back_to_top,Utility button,No matching catalog block found.
