Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Reimbursement,Global Utility Navigation,Provides quick access to utility links and navigation options.,M,2,The block involves navigation structure and potential accessibility considerations.,https://hcp.xengelstent.com/reimbursement,global_utility_navigation,Utility strip,Ensure alignment with accessibility standards for navigation.,screenshots/blocks/global_utility_navigation__default.png
Reimbursement,Primary Navigation,Main site navigation with links to primary sections.,C,2,Deep navigation structure with submenus and potential accessibility enhancements required.,https://hcp.xengelstent.com/reimbursement,primary_navigation,Main navigation,Verify adherence to WCAG for nested navigation.,screenshots/blocks/primary_navigation__default.png
Reimbursement,Hero Section,Prominent section with background image and title to introduce the page.,M,3,Requires background image handling and responsive design.,https://hcp.xengelstent.com/reimbursement,hero_section,Hero,Ensure responsiveness and proper alt text for accessibility.,screenshots/blocks/hero_section__default.png
Reimbursement,Reimbursement Information,Provides detailed information and resources related to reimbursement.,M,1,Content-heavy block requiring structured data presentation.,https://hcp.xengelstent.com/reimbursement,reimbursement_information,Content section,Review for clarity and user engagement.,screenshots/blocks/reimbursement_information__default.png
Reimbursement,Important Safety Information,Displays critical safety and usage information for the product.,M,3,Critical content with legal and accessibility implications.,https://hcp.xengelstent.com/reimbursement,important_safety_information,Content section,Ensure compliance with legal requirements and accessibility standards.,screenshots/blocks/important_safety_information__default.png
Reimbursement,Footer,"Contains site-wide links, legal information, and branding.",M,2,Footer block requires dynamic content loading and styling.,https://hcp.xengelstent.com/reimbursement,footer,Footer,Ensure consistent appearance across pages.,screenshots/blocks/footer__default.png
Home Page,Utility Navigation,Provides quick access to utility links such as contact and updates.,S,1,Basic navigation links with minimal interactivity.,https://hcp.xengelstent.com/,global_utility_strip,Utility strip,Requires further investigation for specific catalog match.,screenshots/blocks/global_utility_strip__default.png
Home Page,Primary Header,Contains branding and primary navigation for the site.,M,1,"Includes branding, navigation, and potential interactivity.",https://hcp.xengelstent.com/,primary_header,Main navigation,Mapped to Header block from catalog.,screenshots/blocks/primary_header__default.png
Home Page,Main Navigation,Provides the primary menu for navigating the site.,M,1,Complex menu structure with potential submenus.,https://hcp.xengelstent.com/,main_navigation,Primary navigation,Requires further investigation for specific catalog match.,screenshots/blocks/main_navigation__default.png
Home Page,Home Characteristics,Showcases key features or benefits of the product.,S,1,Static content presentation.,https://hcp.xengelstent.com/,home_characteristics,Feature showcase,No direct match in catalog.,screenshots/blocks/home_characteristics__default.png
Home Page,Designed for Efficacy,Details the product's design and efficacy.,S,1,Content-focused with minimal interactivity.,https://hcp.xengelstent.com/,designed_for_efficacy,Informational section,No direct match in catalog.,screenshots/blocks/designed_for_efficacy__default.png
Home Page,Patient Selection,Outlines criteria for selecting patients for the product.,S,1,Static informational content.,https://hcp.xengelstent.com/,patient_selection,Criteria outline,No direct match in catalog.,screenshots/blocks/patient_selection__default.png
Home Page,Documented Outcomes,Presents data and statistics about the product's outcomes.,M,1,Includes data visualization or tabular content.,https://hcp.xengelstent.com/,documented_outcomes,Data presentation,No direct match in catalog.,screenshots/blocks/documented_outcomes__default.png
Home Page,Proven Safety Data,Provides information about the safety and studies of the product.,S,1,Static content presentation.,https://hcp.xengelstent.com/,proven_safety,Safety information,No direct match in catalog.,screenshots/blocks/proven_safety__default.png
Home Page,Request Updates,"Allows users to request updates, resources, or follow-ups.",M,1,Includes form submission functionality.,https://hcp.xengelstent.com/,request_updates,Form section,No direct match in catalog.,screenshots/blocks/request_updates__default.png
Register for Updates,Request Updates,Allows users to request updates and resources.,M,1,Form interactions and data handling.,https://hcp.xengelstent.com/healthcare-professionals,request_updates_section,Subscribe,No exact match in the AEM catalog.,screenshots/blocks/request_updates_section__default.png
Register for Updates,User Form,Embedded form for user interactions.,C,1,"Includes form validation, submission handling, and accessibility features.",https://hcp.xengelstent.com/healthcare-professionals,form_section,Form,Mapped to 'Form' block from the AEM catalog.,screenshots/blocks/form_section__default.png
Register for Updates,Footer,Contains links to important resources and legal information.,M,1,Requires dynamic content loading and styling.,https://hcp.xengelstent.com/healthcare-professionals,footer_section,Standard footer,Mapped to 'Footer' block from the AEM catalog.,screenshots/blocks/footer_section__default.png
Register for Updates,Expandable Safety Bar,Expandable bar with safety information.,M,1,Interactive expandable component.,https://hcp.xengelstent.com/healthcare-professionals,safety_bar,Safety expandable,No exact match in the AEM catalog.,screenshots/blocks/safety_bar__default.png
