Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,Utility Navigation,"Provides quick access to important links such as safety information, prescribing information, and professional site.",S,1,Simple navigation links without dynamic features.,https://www.vuity.com/about-vuity,utility_navigation,Utility strip,Identified as part of the header structure.
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,Primary Navigation,"Main site navigation for accessing key sections like About VUITY, FAQs, and more.",M,1,Includes dynamic navigation features and potential dropdown menus.,https://www.vuity.com/about-vuity,primary_navigation,Main navigation,Central navigation for the site.
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,Hero Section,Prominent section introducing VUITY with a background image and headline text.,M,1,Includes large image handling and responsive design.,https://www.vuity.com/about-vuity,hero_section,Hero banner,Prominent visual introduction.
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,About VUITY Content,Details about VUITY's benefits and usage.,S,1,Static content presentation.,https://www.vuity.com/about-vuity,about_section,Content fragment,Informational section.
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,Getting Started Section,"Information on how to start using VUITY, including instructions and tips.",S,1,Static content presentation.,https://www.vuity.com/about-vuity,getting_started_section,Content fragment,Instructional section.
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,How It Works Section,Explains the mechanism of action of VUITY and its effects.,S,1,Static content presentation.,https://www.vuity.com/about-vuity,how_it_works_section,Content fragment,Educational section.
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,Results Section,Highlights the expected results and timeline for VUITY usage.,S,1,Static content presentation.,https://www.vuity.com/about-vuity,results_section,Content fragment,Outcome-focused section.
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,FAQs Call-to-Action,Encourages users to read more FAQs about VUITY.,S,1,Expandable content sections.,https://www.vuity.com/about-vuity,faq_cta,Accordion,Interactive FAQ display.
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,Important Safety Information,Contains safety information and usage guidelines for VUITY.,S,1,Static content presentation.,https://www.vuity.com/about-vuity,important_safety_information,Content fragment,Legal and safety information.
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,Footer Section,"Footer section with site links, legal information, and company branding.",S,1,Simple link-based navigation and branding.,https://www.vuity.com/about-vuity,footer,Footer navigation,Final site section.
About VUITY® (pilocarpine HCI ophthalmic solution) 1.25%,Back to Top Button,Button to quickly scroll back to the top of the page.,S,1,Simple scroll functionality.,https://www.vuity.com/about-vuity,back_to_top,Utility button,Enhances user navigation.
What is Age-related blurry near vision? | VUITY®,Utility Navigation,Provides quick links for essential information and navigation.,S,1,Simple menu with links; no complex interactions.,https://www.vuity.com/what-is-presbyopia,global_utility_navigation,Utility strip,No exact match in catalog.
What is Age-related blurry near vision? | VUITY®,Primary Header,Displays branding and primary navigation elements.,M,1,Includes logo and navigation; moderate complexity.,https://www.vuity.com/what-is-presbyopia,primary_header,Main navigation,No exact match in catalog.
What is Age-related blurry near vision? | VUITY®,Hero Section,Highlights main topic with image and headline.,S,1,Static content with minimal interactivity.,https://www.vuity.com/what-is-presbyopia,hero_section,Hero layout,Matched to catalog entry for Hero block.
What is Age-related blurry near vision? | VUITY®,Introduction Paragraph,Provides an overview of the page's topic.,S,1,Simple text content; no interactive elements.,https://www.vuity.com/what-is-presbyopia,intro_paragraph,Static text,No exact match in catalog.
What is Age-related blurry near vision? | VUITY®,Call-to-Action Flexbox,Encourages user engagement with visually appealing layout.,M,1,Flexbox layout with multiple interactive elements.,https://www.vuity.com/what-is-presbyopia,cta_flexbox,Interactive layout,No exact match in catalog.
What is Age-related blurry near vision? | VUITY®,Columns Section,Arranges content into responsive columns.,M,1,Responsive design with flexbox; moderate complexity.,https://www.vuity.com/what-is-presbyopia,columns_section,Multi-column layout,Matched to catalog entry for Columns block.
What is Age-related blurry near vision? | VUITY®,Progression Section,Explains condition progression with visuals.,M,1,Includes visual elements and explanatory content.,https://www.vuity.com/what-is-presbyopia,progression_section,Visual progression,No exact match in catalog.
