Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
BOTOX® (onabotulinumtoxinA) Treatment for Cervical Dystonia,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,8,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/,header_utility_strip,default,templateIds: tpl_0,screenshots/blocks/header_utility_strip__default.png
BOTOX® (onabotulinumtoxinA) Treatment for Cervical Dystonia,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,8,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/,header_primary_navigation,default,templateIds: tpl_0,screenshots/blocks/header_primary_navigation__default.png
BOTOX® (onabotulinumtoxinA) Treatment for Cervical Dystonia,main region 0,Major content region in main (div). Preview: IMPROVE HEAD POSITION AND REDUCE NECK PAIN WITH BOTOX® FOR CERVICAL DYSTONIA Talk to your doctor today to see if BOTOX® …,M,6,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
BOTOX® (onabotulinumtoxinA) Treatment for Cervical Dystonia,main region 1,"Major content region in main (div). Preview: BOTOX® has been FDA approved to treat Cervical Dystonia since 2000 In the Cervical Dystonia clinical study, patients tre…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
BOTOX® (onabotulinumtoxinA) Treatment for Cervical Dystonia,main region 2,"Major content region in main (div). Preview: Real Patient Stories Hear from Gina and MaryRae, who are treating their Cervical Dystonia with BOTOX®. .abbv-image-text-…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/,main_region_2,default,templateIds: tpl_0,screenshots/blocks/main_region_2__default.png
BOTOX® (onabotulinumtoxinA) Treatment for Cervical Dystonia,main region 3,Major content region in main (div). Preview: Find a BOTOX® Specialist Find a doctor near you who is experienced with BOTOX® therapy and can help treat your Cervical …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/,main_region_3,default,templateIds: tpl_0,screenshots/blocks/main_region_3__default.png
BOTOX® (onabotulinumtoxinA) Treatment for Cervical Dystonia,main region 4,"Major content region in main (div). Preview: /* Media Query - Large Devices - iPad Pro (Large`), Desktop */ @media (min-width: 985px) { .abbv-image-text-v1-128187528…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/,main_region_4,default,templateIds: tpl_0,screenshots/blocks/main_region_4__default.png
BOTOX® (onabotulinumtoxinA) Treatment for Cervical Dystonia,Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,5,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/,form_block_0,default,templateIds: tpl_0,screenshots/blocks/form_block_0__default.png
BOTOX® (onabotulinumtoxinA) Treatment for Cervical Dystonia,Site footer,"Footer links, legal, social, and ancillary navigation.",M,8,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/,site_footer,default,templateIds: tpl_0,screenshots/blocks/site_footer__default.png
Sitemap - BOTOX® (onabotulinumtoxinA),columns,Major content region in main (div). Preview: Sitemap Home Why BOTOX®? BOTOX® Reviews and Stories Cost & Savings About Cervical Dystonia…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/sitemap,columns,default,templateIds: tpl_1,screenshots/blocks/columns__default.png
