Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Home,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,26,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,header_utility_strip,default,templateIds: tpl_0,screenshots/blocks/header_utility_strip__default.png
Home,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,26,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,header_primary_navigation,default,templateIds: tpl_0,screenshots/blocks/header_primary_navigation__default.png
Home,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1554095523 .abbv-background-container-display { background-image : url…,M,26,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
Home,main region 1,"Major content region in main (div). Preview: UBRELVY IS PROVEN TO TREAT MIGRAINE ATTACKS When migraine strikes, do you ask yourself if the tradeoffs of treating are …",M,10,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
Home,main region 2,Major content region in main (div). Preview: be in the know Get the latest UBRELVY updates sent straight to your inbox. sign up Why UBRELVY? Discover why UBRELVY is …,M,8,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,main_region_2,default,templateIds: tpl_0,screenshots/blocks/main_region_2__default.png
Home,Site footer,"Footer links, legal, social, and ancillary navigation.",M,26,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,site_footer,default,templateIds: tpl_0,screenshots/blocks/site_footer__default.png
Register for the UBRELVY Challenge,main region 3,Major content region in main (div). Preview: BE IN THE KNOW Get the latest UBRELVY updates sent straight to your inbox. SIGN UP what’s next Resources…,M,7,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/challenge,main_region_3,default,templateIds: tpl_3,screenshots/blocks/main_region_3__default.png
How to Treat Migraine with UBRELVY® (ubrogepant),main region 4,Major content region in main (div). Preview: Ask your healthcare provider about UBRELVY Find a healthcare provider near you and schedule an appointment to discuss ad…,M,5,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/treating-migraine,main_region_4,default,templateIds: tpl_4,screenshots/blocks/main_region_4__default.png
How to Treat Migraine with UBRELVY® (ubrogepant),main region 5,Major content region in main (div). Preview: Browsing with your symptoms in mind Turn on to enjoy a more migraine-friendly experience. TRY MIGRAINE MODETM HERE Turn …,M,4,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/treating-migraine,main_region_5,default,templateIds: tpl_4,screenshots/blocks/main_region_5__default.png
How to Treat Migraine with UBRELVY® (ubrogepant),main region 6,Major content region in main (div). Preview: BE IN THE KNOW Get the latest UBRELVY updates sent straight to your inbox. SIGN UP what’s next REAL PATIENT STORIES…,M,3,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/treating-migraine,main_region_6,default,templateIds: tpl_4,screenshots/blocks/main_region_6__default.png
UBRELVY® (ubrogepant) Patient Stories | UBRELVY®,Carousel / spotlight,"Rotating or swipeable spotlight region (announcements, hero slides, promos).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/real-patient-stories,background_container_1715847909,default,templateIds: tpl_7,screenshots/blocks/background_container_1715847909__default.png
How Does UBRELVY® Work?,Carousel / spotlight,"Rotating or swipeable spotlight region (announcements, hero slides, promos).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/why-ubrelvy,slider_text,default,templateIds: tpl_24,screenshots/blocks/slider_text__default.png
