Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
What Is Psoriatic Arthritis (PsA)?,Global Utility Strip,"Provides utility navigation for contact, subscription, and group sites.",M,2,Includes utility navigation features and potential integration with other site systems.,https://www.psoriaticarthritisinfo.com/what-is-psoriatic-arthritis,global_utility_strip,Utility strip,No exact match found in the AEM blocks catalog.,screenshots/blocks/global_utility_strip__default.png
What Is Psoriatic Arthritis (PsA)?,Primary Navigation,Main site navigation with links to key sections.,C,5,Complex navigation structure with multiple levels and dynamic elements.,https://www.psoriaticarthritisinfo.com/what-is-psoriatic-arthritis,primary_navigation,Main navigation,No exact match found in the AEM blocks catalog.,screenshots/blocks/primary_navigation__default.png
What Is Psoriatic Arthritis (PsA)?,Footer Section,Displays footer navigation and links to other sections of the site.,M,3,Requires integration of footer content as fragments with specific styling.,https://www.psoriaticarthritisinfo.com/what-is-psoriatic-arthritis,footer_section,Footer,Exact match found in the AEM blocks catalog.,screenshots/blocks/footer_section__default.png
Savings Card Email Setup,Global Utility Navigation,Provides quick access to global utilities like search and account management.,S,3,Standard navigation utility without complex interactions.,https://www.psoriaticarthritisinfo.com/emailsetup,global_utility_navigation,Utility strip,Catalog search yielded no direct match.,screenshots/blocks/global_utility_navigation__default.png
Savings Card Email Setup,Hero Section,Main visual and introductory section of the page.,M,4,Hero sections often involve large images and text with accessibility considerations.,https://www.psoriaticarthritisinfo.com/emailsetup,hero_section,Hero banner,Matched to 'Hero' block in catalog.,screenshots/blocks/hero_section__default.png
Savings Card Email Setup,Main Content,The primary content area of the page.,M,1,General content area with potential for varied content types.,https://www.psoriaticarthritisinfo.com/emailsetup,main_content,Content container,Catalog search yielded no direct match.,screenshots/blocks/main_content__default.png
Savings Card Email Setup,Important Safety Information,Provides critical safety information about the product.,M,1,Requires compliance with legal and accessibility standards.,https://www.psoriaticarthritisinfo.com/emailsetup,important_safety_information,Safety notice,Catalog search yielded no direct match.,screenshots/blocks/important_safety_information__default.png
Savings Card Email Setup,Footer Navigation,Navigation links located in the footer for site-wide access.,S,1,Footer navigation with standard links.,https://www.psoriaticarthritisinfo.com/emailsetup,footer_navigation,Footer links,Matched to 'Footer' block in catalog.,screenshots/blocks/footer_navigation__default.png
Find Psoriatic Arthritis Info,Call-to-Action Section,Encourages user interaction with highlighted actions.,M,1,Interactive section requiring responsive design and accessibility.,https://www.psoriaticarthritisinfo.com/,cta_section,Call-to-action,No direct catalog match found.,screenshots/blocks/cta_section__default.png
Find Psoriatic Arthritis Info,Quick Poll,Interactive poll for user engagement and feedback.,M,1,Requires backend integration for data handling.,https://www.psoriaticarthritisinfo.com/,quick_poll,Poll,No direct catalog match found.,screenshots/blocks/quick_poll__default.png
Find Psoriatic Arthritis Info,Footer,Provides site-wide links and additional information.,M,1,Includes fragments and styling for background and typography.,https://www.psoriaticarthritisinfo.com/,footer,Footer,Matched to 'Footer' in catalog.,screenshots/blocks/footer__default.png
Site Map,Breadcrumb Navigation,Provides hierarchical site navigation links.,S,1,Simple linear navigation structure.,https://www.psoriaticarthritisinfo.com/sitemap,breadcrumb_navigation,Breadcrumbs,No exact match found in AEM catalog.,screenshots/blocks/breadcrumb_navigation__default.png
Site Map,Sitemap Links,Lists site structure links for sitemap.,S,1,Static list of links with minimal interactivity.,https://www.psoriaticarthritisinfo.com/sitemap,sitemap_links,Sitemap links,No exact match found in AEM catalog.,screenshots/blocks/sitemap_links__default.png
Have PsA symptoms? Take the Quiz,Quiz Description,Descriptive text about the quiz's purpose.,S,1,Simple text content block.,https://www.psoriaticarthritisinfo.com/psoriatic-arthritis-symptoms-quiz,quiz_description,Text content,No matching catalog entry found.,screenshots/blocks/quiz_description__default.png
Have PsA symptoms? Take the Quiz,Quiz Disclaimer,Provides disclaimer regarding the quiz's intent.,S,1,Static text block with legal content.,https://www.psoriaticarthritisinfo.com/psoriatic-arthritis-symptoms-quiz,quiz_disclaimer,Disclaimer,No matching catalog entry found.,screenshots/blocks/quiz_disclaimer__default.png
Have PsA symptoms? Take the Quiz,Quiz Form,Interactive form for quiz participation.,C,1,Embedded form with potential validation and interactivity.,https://www.psoriaticarthritisinfo.com/psoriatic-arthritis-symptoms-quiz,quiz_form,Form,No matching catalog entry found.,screenshots/blocks/quiz_form__default.png
Have PsA symptoms? Take the Quiz,Fact Callout,Highlights a fact about Psoriatic Arthritis.,S,1,Single fact display with styling.,https://www.psoriaticarthritisinfo.com/psoriatic-arthritis-symptoms-quiz,psa_fact_callout,Content callout,No matching catalog entry found.,screenshots/blocks/psa_fact_callout__default.png
Have PsA symptoms? Take the Quiz,Doctor Guide CTA,Encourages users to download a discussion guide.,S,1,Static CTA link.,https://www.psoriaticarthritisinfo.com/psoriatic-arthritis-symptoms-quiz,cta_doctor_guide,Call-to-action,No matching catalog entry found.,screenshots/blocks/cta_doctor_guide__default.png
Have PsA symptoms? Take the Quiz,Find Doctor Callout,Encourages users to find a Psoriatic Arthritis doctor.,S,1,Simple callout with link.,https://www.psoriaticarthritisinfo.com/psoriatic-arthritis-symptoms-quiz,find_doctor_callout,Call-to-action,No matching catalog entry found.,screenshots/blocks/find_doctor_callout__default.png
