Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
OZURDEX® Savings Program | HCP Website,Utility Navigation,Provides quick access to important links.,S,3,Simple navigation links.,https://www.ozurdexsavingsprogram.com/,utility_navigation,Utility strip,Could be mapped to 'Header' with variation if needed.,screenshots/blocks/utility_navigation__default.png
OZURDEX® Savings Program | HCP Website,Primary Header,Displays the main branding and navigation elements.,M,2,Includes logo and main navigation.,https://www.ozurdexsavingsprogram.com/,primary_header,Main navigation,Matches 'Header' block.,screenshots/blocks/primary_header__default.png
OZURDEX® Savings Program | HCP Website,Hero Section,Highlights the main message and visual for the homepage.,M,3,Involves visual and content layout.,https://www.ozurdexsavingsprogram.com/,hero_section,Homepage hero,Matches 'Hero' block.,screenshots/blocks/hero_section__default.png
OZURDEX® Savings Program | HCP Website,Eligibility Requirements,Details the eligibility criteria for the savings program.,S,1,Static content layout.,https://www.ozurdexsavingsprogram.com/,eligibility_requirements,Text content,Does not match existing catalog blocks.,screenshots/blocks/eligibility_requirements__default.png
OZURDEX® Savings Program | HCP Website,Patients Section,Provides information and resources for patients.,S,1,Static content layout.,https://www.ozurdexsavingsprogram.com/,patients_section,Text content,Does not match existing catalog blocks.,screenshots/blocks/patients_section__default.png
OZURDEX® Savings Program | HCP Website,Physicians Section,Offers resources and enrollment options for physicians.,S,1,Static content layout.,https://www.ozurdexsavingsprogram.com/,physicians_section,Text content,Does not match existing catalog blocks.,screenshots/blocks/physicians_section__default.png
OZURDEX® Savings Program | HCP Website,Important Safety Information,Displays critical safety and usage information for the product.,S,6,Static content layout.,https://www.ozurdexsavingsprogram.com/,important_safety_information,Text content,Does not match existing catalog blocks.,screenshots/blocks/important_safety_information__default.png
OZURDEX® Savings Program | HCP Website,Footer,Contains links to resources and legal information.,S,3,Simple footer layout.,https://www.ozurdexsavingsprogram.com/,footer,Footer,Matches 'Footer' block.,screenshots/blocks/footer__default.png
OZURDEX® Savings Program | HCP Website,Back to Top Button,Provides a button to scroll back to the top.,S,3,Single interactive element.,https://www.ozurdexsavingsprogram.com/,back_to_top,Utility button,Does not match existing catalog blocks.,screenshots/blocks/back_to_top__default.png
OZURDEX® Savings Program | HCP Website,Safety Bar,Provides a collapsible bar with safety information.,M,4,Interactive collapsible element.,https://www.ozurdexsavingsprogram.com/,safety_bar,Collapsible bar,Does not match existing catalog blocks.,screenshots/blocks/safety_bar__default.png
OZURDEX® Savings Program | Terms And Conditions,Header Navigation,Displays the header with utility and primary navigation.,M,1,Includes accessibility features and multi-level navigation.,https://www.ozurdexsavingsprogram.com/termsandconditions,header_navigation,Utility and Primary Navigation,Requires careful integration with site-wide navigation standards.,screenshots/blocks/header_navigation__default.png
OZURDEX® Savings Program | Terms And Conditions,Terms and Conditions Content,Displays detailed terms and conditions for the savings program.,M,1,Includes structured content and legal text.,https://www.ozurdexsavingsprogram.com/termsandconditions,terms_conditions_content,Rich Text Content,Must adhere to legal formatting requirements.,screenshots/blocks/terms_conditions_content__default.png
OZURDEX® Savings Program | Terms And Conditions,Footer Links,Displays footer links and resources.,M,3,Includes site-wide navigation and legal disclaimers.,https://www.ozurdexsavingsprogram.com/termsandconditions,footer_links,Footer with Links,Ensure accessibility and compliance with privacy standards.,screenshots/blocks/footer_links__default.png
OZURDEX® Savings Program | Terms And Conditions,Back to Top Button,Provides a button to return to the top of the page.,S,2,Simple functionality with minimal styling.,https://www.ozurdexsavingsprogram.com/termsandconditions,back_to_top_button,Utility Button,Ensure smooth scrolling and responsiveness.,screenshots/blocks/back_to_top_button__default.png
OZURDEX® Savings Program | Resources and Forms,Utility Navigation,Provides quick access links for healthcare professionals and important safety information.,M,2,Includes accessibility considerations and dynamic link management.,https://www.ozurdexsavingsprogram.com/program-resources-and-forms,global_utility_navigation,Utility strip,Requires further analysis for custom implementation.,screenshots/blocks/global_utility_navigation__default.png
