Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Beyond A Gut Feeling,Utility Navigation,Displays links for utility functions like contact and subscribe.,S,1,"Limited functionality, primarily link navigation.",https://www.beyondagutfeeling.com/,global_utility_strip,Utility strip,No direct mapping found in AEM catalog.
Beyond A Gut Feeling,Primary Navigation,Main navigation menu with branding/logo.,M,1,Includes navigation logic and branding integration.,https://www.beyondagutfeeling.com/,primary_header,Main navigation,No direct mapping found in AEM catalog.
Beyond A Gut Feeling,Hero Banner,Displays a prominent image and introductory text.,M,1,High visibility element with image and text alignment.,https://www.beyondagutfeeling.com/,hero_section,Hero section,No direct mapping found in AEM catalog.
Beyond A Gut Feeling,Introduction Text,Provides overview and key messaging.,S,1,Static text area without interactive components.,https://www.beyondagutfeeling.com/,intro_text,Introductory text,No direct mapping found in AEM catalog.
Beyond A Gut Feeling,Video Content,Embeds a video player for multimedia engagement.,M,1,Requires integration with video hosting and playback features.,https://www.beyondagutfeeling.com/,video_player,Video player,No direct mapping found in AEM catalog.
Beyond A Gut Feeling,Accordion Component,Expandable sections for detailed content.,M,1,Interactive UI with expand/collapse functionality.,https://www.beyondagutfeeling.com/,accordion_section,Accordion section,No direct mapping found in AEM catalog.
Beyond A Gut Feeling,Call-To-Action Grid,Displays multiple call-to-action prompts in a grid.,M,1,Grid layout with interactive links.,https://www.beyondagutfeeling.com/,three_column_cta,Three-column layout,No direct mapping found in AEM catalog.
Beyond A Gut Feeling,Goals Highlight,Showcases long-term goals and their importance.,S,1,Static content with visual emphasis.,https://www.beyondagutfeeling.com/,goals_section,Goals section,No direct mapping found in AEM catalog.
Beyond A Gut Feeling,Understanding Content,Provides educational material about IBD.,S,1,Informational section with static content.,https://www.beyondagutfeeling.com/,understanding_section,Understanding section,No direct mapping found in AEM catalog.
Beyond A Gut Feeling,Page Footer,Displays footer content and links.,S,1,Basic footer with links and styling.,https://www.beyondagutfeeling.com/,footer,Footer,Mapped directly to AEM catalog.
