Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
DUOPA™ (carbidopa/levodopa) | Official HCP Site,Site header,Combined header region (utility + navigation if not split).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/,header_chrome,default,templateIds: tpl_0
DUOPA™ (carbidopa/levodopa) | Official HCP Site,carousel,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-892678723 .abbv-background-container-display { background-image : url(…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/,carousel,default,templateIds: tpl_0
DUOPA™ (carbidopa/levodopa) | Official HCP Site,main region 1,Major content region in main (div). Preview: Transcript TELEMEDICINE BRINGS NEW MEANING TO “HOUSE CALL” TELEMEDICINE BRINGS NEW MEANING TO “HOUSE CALL” Listen to a D…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/,main_region_1,default,templateIds: tpl_0
DUOPA™ (carbidopa/levodopa) | Official HCP Site,main region 2,Major content region in main (div). Preview: .abbv-image-text-v1-1447545662-large { display: inline-block; } LEARN MORE AT PEER-LED PRESENTATIONS Please join us for …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/,main_region_2,default,templateIds: tpl_0
DUOPA™ (carbidopa/levodopa) | Official HCP Site,main region 3,Major content region in main (div). Preview: .abbv-image-text-v1-1581444372-large { display: inline-block; } PATIENT RESOURCES FOR DISCUSSING DUOPA A range of resour…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/,main_region_3,default,templateIds: tpl_0
DUOPA™ (carbidopa/levodopa) | Official HCP Site,main region 4,Major content region in main (div). Preview: .abbv-image-text-v1-1610853979-large { display: inline-block; } .abbv-image-text-v1-55660903-large { display: inline-blo…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/,main_region_4,default,templateIds: tpl_0
DUOPA™ (carbidopa/levodopa) | Official HCP Site,main region 5,Major content region in main (div). Preview: .abbv-image-text-v1-121763314-large { display: inline-block; } PATIENT START FORMS DUOPA™ (carbidopa/levodopa) | Officia…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/,main_region_5,default,templateIds: tpl_0
DUOPA™ (carbidopa/levodopa) | Official HCP Site,main region 6,"Major content region in main (div). Preview: .abbv-image-text-v1-596009387-large { display: inline-block; } PATIENT START FORMS Access the DuoConnect Start Form, whi…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/,main_region_6,default,templateIds: tpl_0
DUOPA™ (carbidopa/levodopa) | Official HCP Site,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/,site_footer,default,templateIds: tpl_0
sitemap,Site header,Combined header region (utility + navigation if not split).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/sitemap,header_chrome,default,templateIds: tpl_1
sitemap,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/sitemap,site_footer,default,templateIds: tpl_1
Telemedicine Resources| DUOPA™ (carbidopa/levodopa),Site header,Combined header region (utility + navigation if not split).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/telemedicine-resources,header_chrome,default,templateIds: tpl_2
Telemedicine Resources| DUOPA™ (carbidopa/levodopa),main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-643210643 .abbv-background-container-display { background-image : url(…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopahcp.com/telemedicine-resources,main_region_0,default,templateIds: tpl_2
