Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Utility Navigation,Provides quick access links and options for utility navigation.,S,21,Simple navigation links without complex interactions.,https://www.abbviecfcommitment.com/,global_utility_strip,Utility strip,No direct match in catalog.,screenshots/blocks/global_utility_strip__default.png
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Main Header,Displays branding and primary navigation elements.,M,10,Includes branding and navigation with dropdowns.,https://www.abbviecfcommitment.com/,primary_header,Primary navigation,Mapped to Header block from catalog.,screenshots/blocks/primary_header__default.png
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Hero Section,Highlights main page message with visual emphasis.,S,46,Simple hero layout with image and text.,https://www.abbviecfcommitment.com/,hero_section,Hero banner,Mapped to Hero block from catalog.,screenshots/blocks/hero_section__default.png
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Healthy Routines Call-to-Action,Encourages engagement with healthy routines content.,S,1,Basic call-to-action functionality.,https://www.abbviecfcommitment.com/,healthy_routines_cta,CTA,No direct match in catalog.,screenshots/blocks/healthy_routines_cta__default.png
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Recipe Cards,Displays recipes in a card format for user browsing.,M,2,"Card layout with images and text, potentially interactive.",https://www.abbviecfcommitment.com/,recipe_cards,Card grid,Mapped to Cards block from catalog.,screenshots/blocks/recipe_cards__default.png
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,CF Scholarship Section,Provides information about the CF Scholarship program.,S,1,Informational content without advanced features.,https://www.abbviecfcommitment.com/,cf_scholarship_section,Informational section,No direct match in catalog.,screenshots/blocks/cf_scholarship_section__default.png
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Get Involved Section,Encourages participation in community activities.,S,1,Simple engagement-focused content.,https://www.abbviecfcommitment.com/,get_involved_section,Engagement section,No direct match in catalog.,screenshots/blocks/get_involved_section__default.png
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Footer,Contains site-wide footer links and legal information.,S,10,Standard footer functionality with links.,https://www.abbviecfcommitment.com/,footer_section,Footer,Mapped to Footer block from catalog.,screenshots/blocks/footer_section__default.png
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Back to Top Button,Provides quick navigation back to the top of the page.,S,14,Simple button functionality.,https://www.abbviecfcommitment.com/,back_to_top_button,Utility button,No direct match in catalog.,screenshots/blocks/back_to_top_button__default.png
Nutritional Information for Cystic Fibrosis,Utility Navigation,"Provides access to utility links such as contact, subscribe, and group sites.",S,23,Simple navigation links with minimal interactivity.,https://www.abbviecfcommitment.com/nutrition-guide,global_utility_navigation,Utility strip,No matching block found in catalog.,screenshots/blocks/global_utility_navigation__default.png
Nutritional Information for Cystic Fibrosis,Primary Navigation,Main site navigation with links to key sections.,M,38,Includes dropdowns and nested menus for navigation.,https://www.abbviecfcommitment.com/nutrition-guide,primary_navigation,Main navigation,No matching block found in catalog.,screenshots/blocks/primary_navigation__default.png
Nutritional Information for Cystic Fibrosis,EPI Information Section,Details about EPI and its impact on nutrition.,M,1,Content-heavy section with specialized information.,https://www.abbviecfcommitment.com/nutrition-guide,content_section_epi,Informational content,No matching block found in catalog.,screenshots/blocks/content_section_epi__default.png
Nutritional Information for Cystic Fibrosis,Columns Layout,Two-column layout highlighting vitamins and healthy eating.,M,1,Requires layout management and content alignment.,https://www.abbviecfcommitment.com/nutrition-guide,columns_vitamins_and_healthy_eating,Columns,No matching block found in catalog.,screenshots/blocks/columns_vitamins_and_healthy_eating__default.png
Nutritional Information for Cystic Fibrosis,Footer,"Contains site-wide links, legal information, and branding.",S,18,Simple content display with basic styling.,https://www.abbviecfcommitment.com/nutrition-guide,footer,Footer,Mapped to catalog block.,screenshots/blocks/footer__default.png
Nutritional Information for Cystic Fibrosis,Back to Top Button,Allows users to quickly return to the top of the page.,S,29,Simple button functionality for page navigation.,https://www.abbviecfcommitment.com/nutrition-guide,back_to_top,Utility button,No matching block found in catalog.,screenshots/blocks/back_to_top__default.png
Cystic Fibrosis and Dietary Needs According to Age,Content Introduction,Introduces the main content of the page.,S,2,Static content with no interactive elements.,https://www.abbviecfcommitment.com/nutrition-guide/healthy-eating,main_content_intro,Introductory content,Not matched to any catalog entry.,screenshots/blocks/main_content_intro__default.png
Cystic Fibrosis and Dietary Needs According to Age,Image-Text Section,Combines image and text for visual and informational purposes.,M,1,Requires styling for layout and responsiveness.,https://www.abbviecfcommitment.com/nutrition-guide/healthy-eating,image_text_block,Image and text combination,Not matched to any catalog entry.,screenshots/blocks/image_text_block__default.png
Cystic Fibrosis and Dietary Needs According to Age,Expandable Content,Provides collapsible sections for detailed content.,M,1,Interactive elements with expand/collapse functionality.,https://www.abbviecfcommitment.com/nutrition-guide/healthy-eating,accordion_section,Accordion,Matched to catalog entry 'Accordion'.,screenshots/blocks/accordion_section__default.png
CF Scoop: Tips For Maintaining A Healthy Diet In College,Introduction Text,Provides introductory text for the page.,S,3,Static content without interactive elements.,https://www.abbviecfcommitment.com/nutrition-tips/college-and-cystic-fibrosis,intro_text,Text block,Consider typography adjustments for readability.,screenshots/blocks/intro_text__default.png
CF Scoop: Tips For Maintaining A Healthy Diet In College,Tips List,Displays actionable tips in a list format.,S,2,Straightforward list rendering.,https://www.abbviecfcommitment.com/nutrition-tips/college-and-cystic-fibrosis,tips_list,List of tips,Ensure bullet points are styled clearly.,screenshots/blocks/tips_list__default.png
CF Scoop: Tips For Maintaining A Healthy Diet In College,Meal Prep Steps,Provides meal preparation steps in a structured format.,M,1,May involve numbered steps and layout adjustments.,https://www.abbviecfcommitment.com/nutrition-tips/college-and-cystic-fibrosis,meal_prep_suggestions,Step-by-step guide,Consider usability for mobile users.,screenshots/blocks/meal_prep_suggestions__default.png
CF Scoop: Tips For Maintaining A Healthy Diet In College,Recipe Spotlight,Showcases featured recipes with a call-to-action button.,M,1,Includes interactive elements and visual styling.,https://www.abbviecfcommitment.com/nutrition-tips/college-and-cystic-fibrosis,recipe_spotlight,Featured recipe,Optimize for engagement and accessibility.,screenshots/blocks/recipe_spotlight__default.png
CF Scoop: Tips For Maintaining A Healthy Diet In College,Footer Navigation,Provides links to legal and additional site sections.,S,16,Static links with minimal styling.,https://www.abbviecfcommitment.com/nutrition-tips/college-and-cystic-fibrosis,footer_links,Footer links,Ensure links are well-organized and accessible.,screenshots/blocks/footer_links__default.png
CF Scoop: Tips For Maintaining A Healthy Diet In College,Legal Footer,Displays legal disclaimers and copyright information.,S,10,Simple text content without interactive elements.,https://www.abbviecfcommitment.com/nutrition-tips/college-and-cystic-fibrosis,footer_legal,Legal text,Ensure compliance with legal standards.,screenshots/blocks/footer_legal__default.png
