Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Utility Navigation,"Provides quick access to utility links, such as prescribing information and sign-up options.",M,1,Includes dropdown menus and accessibility considerations.,https://www.synthroid.com/what-is-synthroid,global_utility_navigation,Utility strip,Potential for enhancement in accessibility features.
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Primary Navigation,Main site navigation allowing users to explore different sections of the website.,C,1,Deep navigation structure with multiple levels.,https://www.synthroid.com/what-is-synthroid,primary_navigation,Main navigation,Requires careful consideration of responsive design and accessibility.
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Hero Section,Prominent section introducing the main topic of the page with a title and subtitle.,M,1,Includes large images and headings with styling.,https://www.synthroid.com/what-is-synthroid,hero_section,Hero banner,May require optimization for various screen sizes.
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Cards Section,Displays key information in a card format with icons and text.,M,1,Responsive grid layout and visual styling.,https://www.synthroid.com/what-is-synthroid,cards_section,Information cards,Considerations for accessibility and mobile responsiveness.
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Video Section,Provides a video explaining how Synthroid works.,M,1,Includes video embedding and lazy loading.,https://www.synthroid.com/what-is-synthroid,video_section,Video content,Ensure compatibility with various video sources.
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Accordion Section,Contains expandable content for detailed information such as transcripts.,M,1,Expandable content with transitions and accessibility features.,https://www.synthroid.com/what-is-synthroid,accordion_section,Content accordion,May require optimization for keyboard navigation.
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Call to Action Section,Encourages users to explore additional resources or actions.,S,1,Simple UI with minimal interactions.,https://www.synthroid.com/what-is-synthroid,cta_section,Subscribe,May benefit from enhanced styling to improve visibility.
"What is Synthroid® (levothyroxine sodium tablets,USP)?",Footer Section,"Contains links to additional resources, policies, and contact information.",M,1,Includes multiple links and styling for layout.,https://www.synthroid.com/what-is-synthroid,footer_section,Footer,Ensure consistent styling and accessibility across pages.
Synthroid Official Website,Global Utility Navigation,Provides quick access to links like prescribing information and language options.,M,1,Requires accessibility and responsive design for various user needs.,https://www.synthroid.com/,global_utility_navigation,Utility strip,Consider mapping to a navigation-specific block if available.
Synthroid Official Website,Primary Navigation,Main site navigation for accessing website sections.,C,1,Deep navigation structure with multiple levels and accessibility considerations.,https://www.synthroid.com/,primary_navigation,Main navigation,Check for compatibility with existing navigation blocks.
Synthroid Official Website,Hero Section (Desktop),Introductory section with video background and key messaging for desktop users.,C,1,Includes multimedia elements and responsive design for desktop users.,https://www.synthroid.com/,hero_section_desktop,Hero with video,Ensure video elements are optimized for performance.
Synthroid Official Website,Hero Section (Mobile),Introductory section with video background and key messaging for mobile users.,C,1,Includes multimedia elements and responsive design for mobile users.,https://www.synthroid.com/,hero_section_mobile,Hero with video,Optimize for mobile performance and accessibility.
Synthroid Official Website,Call-to-Action Cards,Highlights key features and actions for users.,M,1,Responsive grid layout with interactive elements.,https://www.synthroid.com/,cta_cards,Grid cards,Verify compatibility with AEM Cards block.
Synthroid Official Website,Interactive Info Tree,Guides users through a personalized journey based on their responses.,C,1,Interactive and dynamic content requiring user input and response handling.,https://www.synthroid.com/,info_tree,Decision tree,Consider custom implementation or mapping to a similar AEM block.
Synthroid Official Website,Video Story Section,Features a video story about a real user's experience with Synthroid.,M,1,Includes video embedding and lazy loading for performance.,https://www.synthroid.com/,video_story,Embedded video,Ensure video accessibility and compatibility with AEM Video block.
Synthroid Official Website,Footer,"Contains site-wide links, legal information, and other resources.",S,1,Basic styling for background and font size.,https://www.synthroid.com/,footer,Site-wide footer,Map to AEM Footer block for standardized implementation.
Stay Connected with Synthroid®,Utility Navigation,Facilitates access to critical links and resources.,S,1,Basic navigation links without advanced features.,https://www.synthroid.com/sign-up,global_utility_navigation,Utility strip,No matching catalog entry found.
Stay Connected with Synthroid®,Primary Header,Provides branding and primary navigation for the site.,M,1,Includes navigation with potential dropdowns.,https://www.synthroid.com/sign-up,primary_header,Main navigation,No matching catalog entry found.
Stay Connected with Synthroid®,Hero Section,Highlights the page's main focus with a prominent visual and title.,M,1,Requires responsive design and prominent visual elements.,https://www.synthroid.com/sign-up,hero_section,Hero banner,Catalog entry matched to 'Hero'.
Stay Connected with Synthroid®,Signup Form,Enables user registration with field validations.,C,1,"Includes form handling, validation, and potential integrations.",https://www.synthroid.com/sign-up,signup_form,Form,Catalog entry matched to 'Form'.
Stay Connected with Synthroid®,Safety Information,Displays crucial safety and usage information.,M,1,Content-heavy section with potential legal implications.,https://www.synthroid.com/sign-up,important_safety_information,Informational content,No matching catalog entry found.
Stay Connected with Synthroid®,Footer,Provides additional resources and legal links.,M,1,Includes dynamic links and styling.,https://www.synthroid.com/sign-up,footer_section,Footer,Catalog entry matched to 'Footer'.
Stay Connected with Synthroid®,Back to Top,Allows users to quickly navigate to the top of the page.,S,1,Simple button functionality with scroll interaction.,https://www.synthroid.com/sign-up,back_to_top_button,Utility button,No matching catalog entry found.
