Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
EPKINLY® for 3L+ DLBCL and 2L FL or 3L FL,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/,header_utility_strip,default,templateIds: tpl_0
EPKINLY® for 3L+ DLBCL and 2L FL or 3L FL,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/,header_primary_navigation,default,templateIds: tpl_0
EPKINLY® for 3L+ DLBCL and 2L FL or 3L FL,main region 0,Major content region in main (div). Preview: Discover what's possible with the power of EPKINLY EPKINLY is the only bispecific approved for both DLBCL and FL EPKINLY…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/,main_region_0,default,templateIds: tpl_0
EPKINLY® for 3L+ DLBCL and 2L FL or 3L FL,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/,site_footer,default,templateIds: tpl_0
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,header_utility_strip,default,templateIds: tpl_1
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,header_primary_navigation,default,templateIds: tpl_1
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),main region 0,"Major content region in main (div). Preview: Patient support and resources During your treatment with EPKINLY, we are here for you. MyNavCare Patient Support™ is com…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,main_region_0,default,templateIds: tpl_1
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),main region 1,"Major content region in main (div). Preview: MyNavCare MyNavCare Patient Support™ is here to support you With MyNavCare, you can receive personalized support through…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,main_region_1,default,templateIds: tpl_1
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),main region 2,Major content region in main (div). Preview: A partner on your treatment journey with EPKINLY Your healthcare provider is your main source for treatment information.…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,main_region_2,default,templateIds: tpl_1
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),main region 3,Major content region in main (div). Preview: Downloadable resources Patient brochure Learn about EPKINLY. Download the patient brochure Treatment consideration guide…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,main_region_3,default,templateIds: tpl_1
