Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Site Header,Displays the header area including navigation and branding.,M,1,Includes navigation and potential dynamic elements.,https://www.durysta.com/,header_chrome,Combined header,Ensure proper alignment with site branding guidelines.
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Main Content Area,Displays primary content for the page.,M,1,Contains structured text and images.,https://www.durysta.com/,main_region_0,Hero banner,Consider accessibility for text overlay on images.
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Secondary Content Area,Provides additional content and links.,M,1,Includes interactive elements like links.,https://www.durysta.com/,main_region_1,Action cards,Ensure responsive behavior for card layouts.
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Savings Program Section,Highlights savings programs and eligibility.,M,1,Includes links and structured program details.,https://www.durysta.com/,main_region_2,Information section,Ensure clarity in eligibility criteria presentation.
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Eligibility Criteria Section,Lists criteria for program qualification.,M,1,Structured content with potential interactivity.,https://www.durysta.com/,main_region_3,List section,Ensure content is easy to scan and understand.
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Terms and Conditions Section,Displays terms and conditions for programs.,M,1,Contains legal and detailed information.,https://www.durysta.com/,main_region_4,Legal section,Ensure compliance with legal presentation standards.
About Durysta,Page Header,Displays site-wide navigation and branding.,S,1,Standard header implementation with navigation links.,https://www.durysta.com/about,header,Main navigation,Uses fragment for dynamic content.
About Durysta,Hero Section,Highlights the main page message with a large image and headline.,M,1,"Requires CSS for positioning and styling, and JS for potential animations.",https://www.durysta.com/about,hero_section,Page introduction,Focuses on visual appeal and engagement.
About Durysta,Non-Drop Treatment,Provides details about the non-drop treatment option with visual support.,M,1,"Combines text, images, and layout adjustments.",https://www.durysta.com/about,non_drop_section,Informational section,Potential for custom styling.
About Durysta,Testimonials Section,Showcases user testimonials in a structured format.,M,1,Includes table layout and potential multimedia integration.,https://www.durysta.com/about,testimonial_section,User feedback,Could involve dynamic content fetching.
About Durysta,Why Consider DURYSTA,Details benefits and reasons to consider the product.,M,1,Combines multimedia and text for persuasive content.,https://www.durysta.com/about,why_consider_section,Informational section,Requires careful layout and styling.
About Durysta,Action Cards,Provides actionable links for further exploration.,M,1,Uses card layout for responsiveness and interactivity.,https://www.durysta.com/about,action_cards_section,Call-to-action,Encourages user engagement with product-related actions.
About Durysta,ISI Fragment,Displays Important Safety Information dynamically.,S,1,Uses a fragment for compliance-related content.,https://www.durysta.com/about,isi_fragment,Compliance information,Ensures legal and medical adherence.
About Durysta,Page Footer,Displays additional links and information site-wide.,S,1,Standard footer implementation.,https://www.durysta.com/about,footer,Utility footer,Uses fragment for dynamic content.
Sitemap,Primary Header,Displays the primary header with navigation and branding.,M,1,"Includes navigation and branding elements, requiring integration.",https://www.durysta.com/sitemap,primary_header,Main navigation,Matches AEM Header block.
Sitemap,Sitemap Title,Displays the main title of the sitemap page.,S,1,Simple text display without additional functionality.,https://www.durysta.com/sitemap,sitemap_title,Page title,No exact match in AEM catalog.
Sitemap,Sitemap Links,Lists sitemap links for navigation.,M,1,Requires structured link rendering.,https://www.durysta.com/sitemap,sitemap_links,Link list,No exact match in AEM catalog.
Sitemap,ISI Fragment,Includes external ISI content as a fragment.,M,1,Fragment integration requires additional configuration.,https://www.durysta.com/sitemap,isi_fragment,Content fragment,Matches AEM Fragment block.
Sitemap,Primary Footer,Displays the primary footer with navigation and legal information.,M,1,Includes navigation and legal elements.,https://www.durysta.com/sitemap,primary_footer,Footer navigation,Matches AEM Footer block.
Talk With Your Doctor,Hero Section,Displays a prominent hero section with a large image and heading.,M,1,Requires integration of CSS and JS files for styling and interactivity.,https://www.durysta.com/talk-with-your-doctor,hero_section,Main Hero Section,Ensure proper accessibility for the hero image and heading.
