Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Hidradenitis Suppurativa (HS) Comorbidities,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",M,1,Includes multiple links and potential accessibility requirements.,https://www.hsdiseasesource.com/hs-comorbidities,global_utility_strip,Utility strip,No exact match found in the AEM catalog.
Hidradenitis Suppurativa (HS) Comorbidities,Primary Navigation,Main navigation menu for the site.,C,1,Deep navigation structure with multiple levels and accessibility considerations.,https://www.hsdiseasesource.com/hs-comorbidities,primary_navigation,Main navigation,No exact match found in the AEM catalog.
Hidradenitis Suppurativa (HS) Comorbidities,Hero Section,Highlights the main theme or focus of the page with a large background image and heading.,M,1,Requires responsive design and proper image handling.,https://www.hsdiseasesource.com/hs-comorbidities,hero_section,Hero,Matched to the Hero block in the AEM catalog.
Hidradenitis Suppurativa (HS) Comorbidities,Breadcrumb Navigation,Displays the current page's location within the site's hierarchy.,S,1,Straightforward breadcrumb implementation.,https://www.hsdiseasesource.com/hs-comorbidities,breadcrumb_navigation,Breadcrumb,No exact match found in the AEM catalog.
Hidradenitis Suppurativa (HS) Comorbidities,Comorbidity Overview,Provides an overview of comorbidities associated with HS.,M,1,Contains detailed text and potential links.,https://www.hsdiseasesource.com/hs-comorbidities,comorbidity_overview,Overview,No exact match found in the AEM catalog.
Hidradenitis Suppurativa (HS) Comorbidities,Comorbidity Cards,Interactive cards highlighting different comorbidity categories.,C,1,Includes interactivity and potential dynamic content.,https://www.hsdiseasesource.com/hs-comorbidities,comorbidity_cards,Cards,Matched to the Cards block in the AEM catalog.
Hidradenitis Suppurativa (HS) Comorbidities,Callout Section,Emphasizes the importance of multidisciplinary collaboration for managing HS.,M,1,May include styled text and icons.,https://www.hsdiseasesource.com/hs-comorbidities,callout_section,Callout,No exact match found in the AEM catalog.
Hidradenitis Suppurativa (HS) Comorbidities,Did You Know Section,Highlights interesting facts or statistics about HS.,M,1,Involves styled content blocks.,https://www.hsdiseasesource.com/hs-comorbidities,did_you_know_section,Fact highlight,No exact match found in the AEM catalog.
Hidradenitis Suppurativa (HS) Comorbidities,CTA Section,Encourages users to explore additional resources or related content.,M,1,Includes links and styled buttons.,https://www.hsdiseasesource.com/hs-comorbidities,cta_section,Call-to-action,No exact match found in the AEM catalog.
Hidradenitis Suppurativa (HS) Comorbidities,References Section,Lists references and citations for the information provided on the page.,S,1,Simple text listing.,https://www.hsdiseasesource.com/hs-comorbidities,references_section,References,No exact match found in the AEM catalog.
Sitemap | HS Source,Global Utility Navigation,Provides access to global utilities like search and user account.,M,1,Includes interactive elements like search and user account access.,https://www.hsdiseasesource.com/sitemap,global_utility_navigation,Utility strip,No exact match found in AEM catalog.
Sitemap | HS Source,Primary Navigation,Main site navigation menu for accessing major sections.,C,1,Includes deep navigation with potential submenus.,https://www.hsdiseasesource.com/sitemap,primary_navigation,Main navigation,No exact match found in AEM catalog.
Sitemap | HS Source,Hero Section,Prominent header area with background image and title.,M,1,Incorporates a visually prominent design requiring responsive styling.,https://www.hsdiseasesource.com/sitemap,hero_section,Hero banner,Matched to 'Hero' in AEM catalog.
Sitemap | HS Source,Sitemap Columns,Displays the sitemap links organized into columns.,M,1,Requires correct alignment and accessibility for multiple columns.,https://www.hsdiseasesource.com/sitemap,sitemap_columns,Sitemap display,No exact match found in AEM catalog.
Sitemap | HS Source,Footer Section,Contains site-wide footer links and legal information.,M,1,Includes multiple links and styling for legal compliance.,https://www.hsdiseasesource.com/sitemap,footer_section,Footer,Matched to 'Footer' in AEM catalog.
home,Utility Navigation,"Provides quick access to utility links such as contact, subscription, and group site links.",S,1,Limited scope navigation bar with links.,https://www.hsdiseasesource.com/,global_utility_strip,Utility strip,Simplistic navigation implementation.
home,Primary Header,Displays the main site logo and navigation menu.,M,1,Includes branding and primary navigation elements.,https://www.hsdiseasesource.com/,primary_header,Main navigation,Combines branding and navigation.
home,Mega Navigation,Provides dropdown navigation for site sections.,C,1,Complex menu system with multi-level dropdowns.,https://www.hsdiseasesource.com/,mega_navigation,Dropdown navigation,Requires advanced styling and interactivity.
home,Hero Section,Highlights the page's main focus with a large image and headline.,M,1,Visual focus with interactive or responsive design.,https://www.hsdiseasesource.com/,hero_section,Hero banner,Central visual feature of the page.
home,Informational Section,Provides an overview of Hidradenitis Suppurativa.,S,1,Text-based informational content.,https://www.hsdiseasesource.com/,what_is_hs_section,Static content,May include basic styling.
home,Interactive Guide,Guides users to relevant HS information interactively.,M,1,Interactive elements guiding user navigation.,https://www.hsdiseasesource.com/,info_tree_section,Interactive tree,Requires scripting for interactivity.
home,Treatment Explorer,Interactive exploration of HS treatment options.,M,1,Interactive components with user input.,https://www.hsdiseasesource.com/,treatment_options_section,Interactive module,Potential for dynamic content updates.
home,Image Gallery,Displays a gallery of images related to HS.,C,1,Image slider with navigation controls.,https://www.hsdiseasesource.com/,image_gallery,Image carousel,Requires responsive design and interactivity.
