Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Home | BOTOX® for Pediatric Spasticity,Global Utility Links,Provides quick access to important resources.,S,1,Simple link list without complex functionality.,https://www.botoxpediatricspasticity.com/,global_utility_links,Unmapped,No direct match found in the catalog.
Home | BOTOX® for Pediatric Spasticity,Primary Navigation,Main navigation menu for site sections.,M,1,Navigation menus often include dropdowns and accessibility requirements.,https://www.botoxpediatricspasticity.com/,primary_navigation,Unmapped,No direct match found in the catalog.
Home | BOTOX® for Pediatric Spasticity,Hero Section,Highlights the main page message with visuals.,C,1,Hero sections involve dynamic content and styling.,https://www.botoxpediatricspasticity.com/,hero_section,Main hero,Mapped to 'Hero' in the catalog.
Home | BOTOX® for Pediatric Spasticity,Desktop Hero Text,Detailed hero information for desktop view.,M,1,Responsive design considerations.,https://www.botoxpediatricspasticity.com/,desktop_hero_text,Desktop-specific hero text,No direct match found in the catalog.
Home | BOTOX® for Pediatric Spasticity,Mobile Hero Text,Detailed hero information for mobile view.,M,1,Responsive design considerations.,https://www.botoxpediatricspasticity.com/,mobile_hero_text,Mobile-specific hero text,No direct match found in the catalog.
Home | BOTOX® for Pediatric Spasticity,Call-to-Action Block 1,Encourages learning about the product.,S,1,Simple call-to-action with static content.,https://www.botoxpediatricspasticity.com/,cta_block_1,Product information CTA,No direct match found in the catalog.
Home | BOTOX® for Pediatric Spasticity,Thumbnail Box 1,Provides pediatric spasticity information.,S,1,Static thumbnail content.,https://www.botoxpediatricspasticity.com/,thumbnail_box_1,Pediatric spasticity info,No direct match found in the catalog.
Home | BOTOX® for Pediatric Spasticity,Thumbnail Box 2,Highlights FDA approval information.,S,1,Static thumbnail content.,https://www.botoxpediatricspasticity.com/,thumbnail_box_2,FDA approval highlight,No direct match found in the catalog.
Home | BOTOX® for Pediatric Spasticity,Thumbnail Box 3,Shares AbbVie's commitment to patients.,S,1,Static thumbnail content.,https://www.botoxpediatricspasticity.com/,thumbnail_box_3,Patient support highlight,No direct match found in the catalog.
Home | BOTOX® for Pediatric Spasticity,Call-to-Action Block 2,Encourages doctor discussions.,S,1,Simple call-to-action with static content.,https://www.botoxpediatricspasticity.com/,cta_block_2,Doctor discussion CTA,No direct match found in the catalog.
Home | BOTOX® for Pediatric Spasticity,Exit Interstitial Modal,Displays modal with additional information.,M,1,Modal dialogs often include dynamic content and interaction.,https://www.botoxpediatricspasticity.com/,modal_exit_interstitial,Exit interstitial,Mapped to 'Modal' in the catalog.
Home | BOTOX® for Pediatric Spasticity,Important Safety Information Bar,Displays critical safety information.,M,1,Persistent display and accessibility considerations.,https://www.botoxpediatricspasticity.com/,isi_bar,Safety information bar,No direct match found in the catalog.
Home | BOTOX® for Pediatric Spasticity,Footer,Displays site-wide links and legal information.,S,1,Static footer content with basic styling.,https://www.botoxpediatricspasticity.com/,footer,Standard footer,Mapped to 'Footer' in the catalog.
