Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,18,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,header_utility_strip,default,templateIds: tpl_0,screenshots/blocks/header_utility_strip__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,18,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,header_primary_navigation,default,templateIds: tpl_0,screenshots/blocks/header_primary_navigation__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,main region 0,Major content region in main (div). Preview: If you have post-stroke Spasticity NO GOAL IS TOO SMALL BOTOX® is proven to help reduce muscle stiffness caused by Spast…,M,18,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,main region 1,Major content region in main (div). Preview: .abbv-image-text-v1-117061473-large { display: inline-block; } Proven efficacy and safety profile Seven separate clinica…,M,11,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,main region 2,Major content region in main (div). Preview: Answer this question so we can help you find what you’re looking for: Which of the following best describes the status o…,M,11,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,main_region_2,default,templateIds: tpl_0,screenshots/blocks/main_region_2__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,main region 3,"Major content region in main (div). Preview: Here’s what people are saying about BOTOX® for Spasticity Unlike oral treatments, BOTOX® is injected directly into speci…",M,10,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,main_region_3,default,templateIds: tpl_0,screenshots/blocks/main_region_3__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,main region 4,Major content region in main (div). Preview: .abbv-image-text-v1-1084015758-large { display: inline-block; } .abbv-image-text-v1-2134199301-large { display: inline-b…,M,9,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,main_region_4,default,templateIds: tpl_0,screenshots/blocks/main_region_4__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,main region 5,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1681506238 .abbv-background-container-display { background-image : url…,M,6,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,main_region_5,default,templateIds: tpl_0,screenshots/blocks/main_region_5__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,main region 6,Major content region in main (div). Preview: CREATE YOUR ACCOUNT CREATE YOUR ACCOUNT Have a BOTOX.COM Account? Get personalized resources for the journey ahead: trea…,M,3,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,main_region_6,default,templateIds: tpl_0,screenshots/blocks/main_region_6__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,Carousel / spotlight,"Rotating or swipeable spotlight region (announcements, hero slides, promos).",M,2,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,carousel,default,templateIds: tpl_0,screenshots/blocks/carousel__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,13,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,form_block_0,default,templateIds: tpl_0,screenshots/blocks/form_block_0__default.png
BOTOX® (onabotulinumtoxinA) Injections for Spasticity,Site footer,"Footer links, legal, social, and ancillary navigation.",M,18,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/,site_footer,default,templateIds: tpl_0,screenshots/blocks/site_footer__default.png
What to Expect During Treatment - BOTOX® (onabotulinumtoxinA),main region 7,Major content region in main (div). Preview: CREATE YOUR ACCOUNT CREATE YOUR ACCOUNT Have a BOTOX.COM Account? Get personalized resources for the journey ahead: trea…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxspasticity.com/what-to-expect,main_region_7,default,templateIds: tpl_17,screenshots/blocks/main_region_7__default.png
