Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Durysta Home,Global Utility Strip,Provides global links and utilities such as contact and privacy settings.,S,1,Simple layout with links and basic navigation.,https://www.durystasavingsprogram.com/,global_utility_strip,Utility strip,Could be mapped to a utility navigation block if available.,screenshots/blocks/global_utility_strip__default.png
Durysta Home,Primary Header,Displays primary branding and navigation elements.,M,1,Includes branding and multi-level navigation.,https://www.durystasavingsprogram.com/,primary_header,Main navigation,Matches existing 'Header' block in AEM catalog.,screenshots/blocks/primary_header__default.png
Durysta Home,Hero Section,Features a hero image and introductory text.,S,2,Basic hero functionality with static content.,https://www.durystasavingsprogram.com/,hero_section,Hero banner,Matches existing 'Hero' block in AEM catalog.,screenshots/blocks/hero_section__default.png
Durysta Home,Eligibility Section,Details eligibility criteria for the savings program.,S,1,Static content with list formatting.,https://www.durystasavingsprogram.com/,eligibility_section,Eligibility criteria,No direct match in the AEM catalog.,screenshots/blocks/eligibility_section__default.png
Durysta Home,Terms and Conditions,Outlines program terms and conditions.,S,1,Text-based content with simple formatting.,https://www.durystasavingsprogram.com/,terms_conditions,Legal terms,No direct match in the AEM catalog.,screenshots/blocks/terms_conditions__default.png
Durysta Home,Quick Links,Provides quick access to resources.,S,1,Simple list of links.,https://www.durystasavingsprogram.com/,quick_links,Quick access links,No direct match in the AEM catalog.,screenshots/blocks/quick_links__default.png
Durysta Home,Important Safety Information,Displays critical safety information.,S,2,Static content with emphasis on safety.,https://www.durystasavingsprogram.com/,important_safety_information,Safety notice,No direct match in the AEM catalog.,screenshots/blocks/important_safety_information__default.png
Durysta Home,Footer,Contains footer links and legal information.,S,2,Simple footer layout with links.,https://www.durystasavingsprogram.com/,footer,Footer section,Matches existing 'Footer' block in AEM catalog.,screenshots/blocks/footer__default.png
Durysta Home,Modals,Includes modal dialogs for additional actions.,M,1,Interactive modal functionality.,https://www.durystasavingsprogram.com/,modals,Modal dialogs,Matches existing 'Modal' block in AEM catalog.,screenshots/blocks/modals__default.png
Site Map,Global Utility Navigation,Displays utility links at the top of the page.,M,1,Includes navigation and utility functionalities.,https://www.durystasavingsprogram.com/sitemap,global_utility_navigation,Utility strip,Ensure accessibility compliance.,screenshots/blocks/global_utility_navigation__default.png
Site Map,Primary Navigation,Provides main site navigation links.,M,1,Complex navigational hierarchy and interaction.,https://www.durystasavingsprogram.com/sitemap,primary_navigation,Main navigation,Evaluate for responsive design.,screenshots/blocks/primary_navigation__default.png
Site Map,Site Map Section,Lists all site links in a structured format.,M,1,Requires structured layout and link organization.,https://www.durystasavingsprogram.com/sitemap,sitemap_section,Site map,Ensure all links are functional and accessible.,screenshots/blocks/sitemap_section__default.png
Site Map,FAQ Call-to-Action,Encourages navigation to the FAQ section.,S,1,Single element with basic functionality.,https://www.durystasavingsprogram.com/sitemap,faq_cta,Call-to-action card,Ensure button accessibility.,screenshots/blocks/faq_cta__default.png
