Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Cost &amp; Coverage - SYNTHROID® (levothyroxine sodium tablets),Global Utility Navigation,"Provides quick access to essential links such as prescribing information, safety information, and external patient site.",S,1,Simple navigation with external and internal links.,https://www.synthroidpro.com/cost-coverage#savings,global_utility_navigation,Utility strip,No direct match in AEM catalog.
Cost &amp; Coverage - SYNTHROID® (levothyroxine sodium tablets),Primary Header,"Displays the main branding and navigation for the site, including the logo and primary menu.",M,1,Includes branding and primary navigation with submenus.,https://www.synthroidpro.com/cost-coverage#savings,primary_header,Main navigation,No direct match in AEM catalog.
Cost &amp; Coverage - SYNTHROID® (levothyroxine sodium tablets),Main Navigation,"Contains the primary navigation links for the website, including submenus.",M,1,Primary navigation with submenus for detailed site structure.,https://www.synthroidpro.com/cost-coverage#savings,main_navigation,Primary menu,No direct match in AEM catalog.
Cost &amp; Coverage - SYNTHROID® (levothyroxine sodium tablets),Hero Section,Highlights the main message or content of the page with a large image and heading.,S,1,Simple hero section with image and heading.,https://www.synthroidpro.com/cost-coverage#savings,hero_section,Hero banner,Matched to AEM catalog entry.
Cost &amp; Coverage - SYNTHROID® (levothyroxine sodium tablets),Content Highlight,Provides detailed information about the product's accessibility and benefits.,M,1,Card-based layout for displaying detailed information.,https://www.synthroidpro.com/cost-coverage#savings,content_highlight,Content cards,Matched to AEM catalog entry.
Cost &amp; Coverage - SYNTHROID® (levothyroxine sodium tablets),Copay Card Section,Details about the Synthroid copay card and its benefits.,S,1,Simple section with informational content.,https://www.synthroidpro.com/cost-coverage#savings,copay_card_section,Informational section,No direct match in AEM catalog.
Cost &amp; Coverage - SYNTHROID® (levothyroxine sodium tablets),Cash Pay Program,Explains the cash-pay option and its benefits for patients.,S,1,Informational section detailing payment options.,https://www.synthroidpro.com/cost-coverage#savings,cash_pay_program,Payment options,No direct match in AEM catalog.
Cost &amp; Coverage - SYNTHROID® (levothyroxine sodium tablets),Program Benefits,Lists the key benefits of the Synthroid Delivers Program.,S,1,Simple listing of program benefits.,https://www.synthroidpro.com/cost-coverage#savings,program_benefits,Benefits overview,No direct match in AEM catalog.
Cost &amp; Coverage - SYNTHROID® (levothyroxine sodium tablets),Simple Start,Guides on how to start using the Synthroid Delivers Program.,S,1,Simple instructional section.,https://www.synthroidpro.com/cost-coverage#savings,simple_start,Instructional guide,No direct match in AEM catalog.
Cost &amp; Coverage - SYNTHROID® (levothyroxine sodium tablets),Enrollment Options,Provides options for patient enrollment in the Synthroid Delivers Program.,S,1,Simple section with enrollment options.,https://www.synthroidpro.com/cost-coverage#savings,enrollment_options,Enrollment guide,No direct match in AEM catalog.
Thyroid Hormone Replacement Therapy - SYNTHROID®,Global Utility Navigation,Provides quick access to utility links such as prescribing information and safety information.,S,1,Simple structure with basic navigation links.,https://www.synthroidpro.com/,global_utility_navigation,Utility strip,No direct match in the AEM blocks catalog.
Thyroid Hormone Replacement Therapy - SYNTHROID®,Primary Navigation,Main site navigation for accessing different sections of the website.,M,1,Includes submenus and hierarchical navigation.,https://www.synthroidpro.com/,primary_navigation,Main navigation,No direct match in the AEM blocks catalog.
Thyroid Hormone Replacement Therapy - SYNTHROID®,Hero Section (Desktop),Displays a prominent hero section with a video background and call-to-action.,M,1,Requires responsive design and video integration.,https://www.synthroidpro.com/,hero_section_desktop,Desktop hero,Mapped to 'Hero' in the catalog.
Thyroid Hormone Replacement Therapy - SYNTHROID®,Hero Section (Mobile),Displays a prominent hero section with a video background and call-to-action for mobile devices.,M,1,Requires responsive design and video integration.,https://www.synthroidpro.com/,hero_section_mobile,Mobile hero,Mapped to 'Hero' in the catalog.
Thyroid Hormone Replacement Therapy - SYNTHROID®,Card Grid,Displays a grid of cards with information and links to resources.,M,1,Requires grid layout and dynamic content handling.,https://www.synthroidpro.com/,card_grid,Card grid,Mapped to 'Cards' in the catalog.
Thyroid Hormone Replacement Therapy - SYNTHROID®,Important Safety Information,Displays critical safety and prescribing information.,S,1,Static content with simple styling.,https://www.synthroidpro.com/,important_safety_information,Safety information,No direct match in the AEM blocks catalog.
Thyroid Hormone Replacement Therapy - SYNTHROID®,Footer,Displays footer content with site branding and additional links.,S,1,Static content with basic styling.,https://www.synthroidpro.com/,footer,Footer,Mapped to 'Footer' in the catalog.
