Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),Site header,Combined header region (utility + navigation if not split).,M,79,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,header_chrome,default,templateIds: tpl_0,screenshots/blocks/header_chrome__default.png
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 0,Major content region in main (div). Preview: ALL IN ONE PLACE Education and resources to support your practice throughout the BOTOX® patient journey Register…,M,76,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 1,Major content region in main (div). Preview: BOTOX® PRODUCT AUTHENTICITY Is your BOTOX® authentic and FDA approved for use in the US? Here's how to be sure. LEARN MO…,M,20,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),columns,"Major content region in main (div). Preview: PERSONALIZED SUPPORT Invite all your BOTOX® patients to enroll in BOTOX® Complete BOTOX® Complete is a free, personalize…",M,62,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,columns,default,templateIds: tpl_0,screenshots/blocks/columns__default.png
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 3,Major content region in main (div). Preview: ALL IN ONE PLACE Everything your practice needs for BOTOX® therapeutic use Welcome to BOTOX® ONE®. We're committed to he…,M,25,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_3,default,templateIds: tpl_0,screenshots/blocks/main_region_3__default.png
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 4,"Major content region in main (div). Preview: Dashboard See key information in a single location Create a profile and view your practice’s BOTOX® dashboard, which con…",M,20,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_4,default,templateIds: tpl_0,screenshots/blocks/main_region_4__default.png
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 5,"Major content region in main (div). Preview: COMPREHENSIVE Made for your team Whether you're an injector or an office manager, BOTOX ONE® is your source for all thin…",M,14,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_5,default,templateIds: tpl_0,screenshots/blocks/main_region_5__default.png
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 6,"Major content region in main (div). Preview: RESOURCES Download clinical, office, and patient resources It’s never been easier to quickly access the resources you ne…",M,7,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_6,default,templateIds: tpl_0,screenshots/blocks/main_region_6__default.png
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 7,Major content region in main (div). Preview: Help Assistance from AbbVie experts Get in touch with a BOTOX® Account Specialist to answer any questions you may have. …,M,7,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_7,default,templateIds: tpl_0,screenshots/blocks/main_region_7__default.png
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 8,Major content region in main (div). Preview: INTRODUCING BOTOX® COMPLETE Introducing Personalized support for your patients on BOTOX® Support for ALL BOTOX® patients…,M,5,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_8,default,templateIds: tpl_0,screenshots/blocks/main_region_8__default.png
