Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
BCL-2 Family Proteins and Acute Myeloid Leukemia (AML),Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Simple utility strip with links and minimal styling.,https://www.bcl2familyinaml.com/,global_utility_strip,Utility strip,No direct match in catalog.,screenshots/blocks/global_utility_strip__default.png
BCL-2 Family Proteins and Acute Myeloid Leukemia (AML),Primary Navigation,Main site navigation including links to key sections.,M,1,Complexity arises from navigation depth and potential accessibility requirements.,https://www.bcl2familyinaml.com/,primary_navigation,Main navigation,No direct match in catalog.,screenshots/blocks/primary_navigation__default.png
BCL-2 Family Proteins and Acute Myeloid Leukemia (AML),Hero Section,Prominent section at the top of the page featuring a large image and headline.,M,1,Styling and responsive design considerations.,https://www.bcl2familyinaml.com/,hero_section,Hero banner,Mapped to catalog Hero block.,screenshots/blocks/hero_section__default.png
BCL-2 Family Proteins and Acute Myeloid Leukemia (AML),Multi-Column CTAs,Call-to-action elements arranged in multiple columns.,M,1,Requires layout management and potential interaction tracking.,https://www.bcl2familyinaml.com/,multi_column_cta,Multi-column layout,No direct match in catalog.,screenshots/blocks/multi_column_cta__default.png
BCL-2 Family Proteins and Acute Myeloid Leukemia (AML),AML Overview Section,Provides detailed information about AML and related research.,M,1,Content-heavy section with potential for dynamic updates.,https://www.bcl2familyinaml.com/,content_section_aml,Content section,No direct match in catalog.,screenshots/blocks/content_section_aml__default.png
BCL-2 Family Proteins and Acute Myeloid Leukemia (AML),Video Section,Embedded video content explaining key concepts.,M,1,Video embedding and playback functionality.,https://www.bcl2familyinaml.com/,video_section,Video embed,No direct match in catalog.,screenshots/blocks/video_section__default.png
BCL-2 Family Proteins and Acute Myeloid Leukemia (AML),Accordion Section,Interactive accordion elements for detailed information.,M,1,Interactive elements with accessibility requirements.,https://www.bcl2familyinaml.com/,accordion_section,Accordion,Mapped to catalog Accordion block.,screenshots/blocks/accordion_section__default.png
BCL-2 Family Proteins and Acute Myeloid Leukemia (AML),Footer,Footer section with additional links and information.,S,2,Static footer with basic styling.,https://www.bcl2familyinaml.com/,footer,Footer,Mapped to catalog Footer block.,screenshots/blocks/footer__default.png
sitemap,Section Navigation,Provides navigation links to various sections of the page.,M,1,Custom navigation logic and styling.,https://www.bcl2familyinaml.com/sitemap,section_navigation,Main navigation,No exact match found in catalog.,screenshots/blocks/section_navigation__default.png
sitemap,Main Content,Represents the main content area of the page.,M,1,Main content template and styling.,https://www.bcl2familyinaml.com/sitemap,main_content,Content area,No exact match found in catalog.,screenshots/blocks/main_content__default.png
sitemap,Back to Top Button,Allows users to return to the top of the page quickly.,S,1,Simple button functionality.,https://www.bcl2familyinaml.com/sitemap,back_to_top,Utility button,No exact match found in catalog.,screenshots/blocks/back_to_top__default.png
sitemap,Modal Component,Displays modal dialogs for additional information or actions.,C,1,Interactive modal functionality and styling.,https://www.bcl2familyinaml.com/sitemap,modal_component,Modal dialog,Matched with catalog block 'Modal'.,screenshots/blocks/modal_component__default.png
