Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
efficacy-disease-severity,Disease Severity Tabs,Provides interactive tabs for displaying disease severity subgroup data.,M,1,Interactive behavior and subgroup-specific data rendering.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,tabs_disease_severity,Disease Severity Subgroups,Supports multiple tabs for subgroup data organization.,screenshots/blocks/tabs_disease_severity__default.png
efficacy-disease-severity,Patient Demographics Tabs,Offers tabs for displaying patient demographic subgroup data.,M,1,Interactive behavior and subgroup-specific data rendering.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,tabs_patient_demographics,Patient Demographics Subgroups,Organizes demographic data into interactive sections.,screenshots/blocks/tabs_patient_demographics__default.png
efficacy-disease-severity,Fibroid Location Chart,Displays data on fibroid location and its impact on clinical outcomes.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_fibroid_location,Clinical Outcomes Visualization,Requires tailored chart implementation.,screenshots/blocks/chart_fibroid_location__default.png
efficacy-disease-severity,Primary Fibroid Volume Chart,Visualizes primary fibroid volume data and its clinical correlations.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_primary_fibroid_volume,Clinical Outcomes Visualization,Requires tailored chart implementation.,screenshots/blocks/chart_primary_fibroid_volume__default.png
efficacy-disease-severity,Uterine Volume Chart,Illustrates uterine volume data and its relation to clinical outcomes.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_uterine_volume,Clinical Outcomes Visualization,Requires tailored chart implementation.,screenshots/blocks/chart_uterine_volume__default.png
efficacy-disease-severity,MBL Volume Chart,Charts menstrual blood loss volume and its clinical impacts.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_mbl_volume,Clinical Outcomes Visualization,Requires tailored chart implementation.,screenshots/blocks/chart_mbl_volume__default.png
efficacy-disease-severity,BMI Chart,Depicts body mass index categories and their clinical correlations.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_bmi,Clinical Outcomes Visualization,Requires tailored chart implementation.,screenshots/blocks/chart_bmi__default.png
efficacy-disease-severity,Race Chart,Displays racial demographics and their clinical correlations.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_race,Clinical Outcomes Visualization,Requires tailored chart implementation.,screenshots/blocks/chart_race__default.png
efficacy-disease-severity,Ethnicity Chart,Illustrates ethnicity demographics and their clinical impacts.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_ethnicity,Clinical Outcomes Visualization,Requires tailored chart implementation.,screenshots/blocks/chart_ethnicity__default.png
efficacy-disease-severity,Age Chart,Visualizes age categories and their clinical correlations.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_age,Clinical Outcomes Visualization,Requires tailored chart implementation.,screenshots/blocks/chart_age__default.png
efficacy-flexbox-hemoglobin,Hero Section,Displays a hero section with prominent visuals and messaging.,S,9,Standard styling and layout for hero sections.,https://www.oriahnnhcp.com/efficacy/efficacy-flexbox-hemoglobin,hero_section,Main visual introduction,Mapped based on exact catalog match.,screenshots/blocks/hero_section__default.png
efficacy-flexbox-hemoglobin,Efficacy Flexbox,Presents efficacy data in a flexbox layout.,M,1,Custom flexbox layout with comparison metrics.,https://www.oriahnnhcp.com/efficacy/efficacy-flexbox-hemoglobin,efficacy_flexbox,Data presentation,No matching catalog entry found.,screenshots/blocks/efficacy_flexbox__default.png
efficacy-flexbox-hemoglobin,Important Safety Information,Provides critical safety information for product usage.,M,9,Detailed safety content requiring accessibility compliance.,https://www.oriahnnhcp.com/efficacy/efficacy-flexbox-hemoglobin,important_safety_information,Safety content,No matching catalog entry found.,screenshots/blocks/important_safety_information__default.png
efficacy-flexbox-hemoglobin,Footer Links,Displays footer navigation links.,S,8,Simple navigational links with basic styling.,https://www.oriahnnhcp.com/efficacy/efficacy-flexbox-hemoglobin,footer_links,Site navigation,Mapped based on exact catalog match.,screenshots/blocks/footer_links__default.png
efficacy-flexbox-hemoglobin,Back to Top Button,Enables users to navigate back to the top of the page.,S,2,Basic button functionality.,https://www.oriahnnhcp.com/efficacy/efficacy-flexbox-hemoglobin,back_to_top_button,Utility button,No matching catalog entry found.,screenshots/blocks/back_to_top_button__default.png
safety-adverse-reactions-flexbox,Adverse Reactions Table,Displays a table summarizing adverse reactions data.,M,1,Includes tabular data with accessibility considerations.,https://www.oriahnnhcp.com/safety-adverse-reactions/safety-adverse-reactions-flexbox,adverse_reactions_table,Adverse reactions summary,Ensure table accessibility compliance.,screenshots/blocks/adverse_reactions_table__default.png
