Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Utility Navigation,Provides quick access to utility links like contact and prescribing information.,S,9,Limited scope with basic link navigation.,https://www.mavyret.com/hcp/nurse-ambassador,global_utility_navigation,Utility strip,No direct match found in AEM catalog.,screenshots/blocks/global_utility_navigation__default.png
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Primary Navigation,Main navigation for website sections.,M,9,Involves hierarchical link structures.,https://www.mavyret.com/hcp/nurse-ambassador,primary_navigation,Main navigation,No direct match found in AEM catalog.,screenshots/blocks/primary_navigation__default.png
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Hero Section,Highlights the main message with a prominent heading and image.,M,15,Requires styling and asset integration.,https://www.mavyret.com/hcp/nurse-ambassador,hero_section,Hero banner,Mapped to catalog entry 'Hero'.,screenshots/blocks/hero_section__default.png
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Indication Information,Displays detailed indication data for MAVYRET.,M,1,Structured content with regulatory considerations.,https://www.mavyret.com/hcp/nurse-ambassador,indication_section,Information block,No direct match found in AEM catalog.,screenshots/blocks/indication_section__default.png
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Ambassador Support,Details support stages provided by Nurse Ambassadors.,M,1,Content depth and structured information.,https://www.mavyret.com/hcp/nurse-ambassador,nurse_ambassador_info,Support info,No direct match found in AEM catalog.,screenshots/blocks/nurse_ambassador_info__default.png
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Enrollment Call-to-Action,Encourages enrollment in the Nurse Ambassador Program.,S,1,Simple CTA functionality.,https://www.mavyret.com/hcp/nurse-ambassador,enrollment_cta,Subscribe,No direct match found in AEM catalog.,screenshots/blocks/enrollment_cta__default.png
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Resources Call-to-Action,Directs users to additional resources for patient support.,S,1,Basic link to resources.,https://www.mavyret.com/hcp/nurse-ambassador,resources_cta,Subscribe,No direct match found in AEM catalog.,screenshots/blocks/resources_cta__default.png
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Safety Information,Displays critical safety warnings and information.,M,11,Regulatory content with high importance.,https://www.mavyret.com/hcp/nurse-ambassador,important_safety_information,Cookie preferences,No direct match found in AEM catalog.,screenshots/blocks/important_safety_information__default.png
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Footer Links,Provides links to pages like privacy policy and contact information.,S,6,Standard footer functionality.,https://www.mavyret.com/hcp/nurse-ambassador,footer_links,Footer navigation,Mapped to catalog entry 'Footer'.,screenshots/blocks/footer_links__default.png
Liver Under Attack Transcript,Primary Header,Contains the main branding and navigation elements of the site.,M,6,Complexity involves branding and primary navigation implementation.,https://www.mavyret.com/liver-under-attack-transcript,primary_header,Main navigation,Direct match with catalog header block.,screenshots/blocks/primary_header__default.png
Liver Under Attack Transcript,Transcript Content,Displays the main transcript content with text and dialogues.,S,1,Simple text content presentation.,https://www.mavyret.com/liver-under-attack-transcript,transcript_content,Text content,No direct match found; content is straightforward.,screenshots/blocks/transcript_content__default.png
Liver Under Attack Transcript,Safety Considerations,Provides critical safety information related to the product.,M,1,Involves safety content that may require specific styling and compliance checks.,https://www.mavyret.com/liver-under-attack-transcript,safety_considerations,Safety information,No direct match found; may need a custom block.,screenshots/blocks/safety_considerations__default.png
Liver Under Attack Transcript,Legal Disclaimer,Displays copyright and legal information about the site.,S,1,Simple static content.,https://www.mavyret.com/liver-under-attack-transcript,legal_disclaimer,Legal text,No direct match found; content is straightforward.,screenshots/blocks/legal_disclaimer__default.png
"MAVYRET Cost, Savings Card and Insurance Information",Introduction Text,Provides an introductory explanation about the content and purpose of the page.,S,1,Simple text-based content.,https://www.mavyret.com/cost,intro_text,Introductory content,Ensure text styling matches design specifications.,screenshots/blocks/intro_text__default.png
"MAVYRET Cost, Savings Card and Insurance Information",Description Section,"Details about MAVYRET, including its use and benefits.",M,1,Combination of text and media elements.,https://www.mavyret.com/cost,description_section,Content description,Verify alignment with brand guidelines.,screenshots/blocks/description_section__default.png
"MAVYRET Cost, Savings Card and Insurance Information",Cost Information,Breakdown of potential costs based on different insurance types.,C,1,Dynamic content based on insurance data.,https://www.mavyret.com/cost,cost_information,Cost breakdown,Ensure accurate data integration and updates.,screenshots/blocks/cost_information__default.png
"MAVYRET Cost, Savings Card and Insurance Information",Insurance Support,Information and support options for insurance coverage and financial assistance.,M,1,Includes static and potentially interactive elements.,https://www.mavyret.com/cost,insurance_support,Support information,Confirm content accuracy and clarity.,screenshots/blocks/insurance_support__default.png
"MAVYRET Cost, Savings Card and Insurance Information",Savings Program,Details about the MAVYRET Savings Card and how it can reduce costs.,M,1,Integration of promotional and informational content.,https://www.mavyret.com/cost,savings_program,Savings details,Ensure compliance with promotional guidelines.,screenshots/blocks/savings_program__default.png
"MAVYRET Cost, Savings Card and Insurance Information",Footer,Footer section containing site-wide links and information.,S,7,Static content with basic styling.,https://www.mavyret.com/cost,footer,Footer content,Verify all links are functional and up-to-date.,screenshots/blocks/footer__default.png
MAVYRET Hep C Treatment Information ­- Official Site,Utility Navigation,Provides quick access to utility links such as contact information and resources.,S,6,Simple navigation links; no complex interactions.,https://www.mavyret.com/hep-c-treatment,global_utility_strip,Utility strip,Could benefit from accessibility enhancements for screen readers.,screenshots/blocks/global_utility_strip__default.png
MAVYRET Hep C Treatment Information ­- Official Site,Call-to-Action Area,"Encourages users to take specific actions, such as learning more or contacting support.",M,3,Includes interactive elements and variable layout configurations.,https://www.mavyret.com/hep-c-treatment,cta_section,Subscribe,Ensure buttons and links are accessible and visually distinct.,screenshots/blocks/cta_section__default.png
MAVYRET Hep C Treatment Information ­- Official Site,Routine Grid,Showcases features of the treatment in a grid format.,M,1,Dynamic content rendering in a grid layout.,https://www.mavyret.com/hep-c-treatment,routine_grid,Grid layout,Optimize for responsive design and accessibility.,screenshots/blocks/routine_grid__default.png
MAVYRET Hep C Treatment Information ­- Official Site,Missed Dose Guide,Provides guidance on what to do if a dose is missed.,S,1,Static content with minimal interactive features.,https://www.mavyret.com/hep-c-treatment,missed_dose_section,Instructional section,Ensure clarity and accessibility of text content.,screenshots/blocks/missed_dose_section__default.png
MAVYRET Hep C Treatment Information ­- Official Site,Video Player,Includes a video player showcasing patient stories.,C,4,Requires video playback functionality and controls.,https://www.mavyret.com/hep-c-treatment,video_section,Video section,Implement accessibility features for video controls.,screenshots/blocks/video_section__default.png
MAVYRET Hep C Treatment Information ­- Official Site,Support Cards,Displays cards with links to support resources and information.,M,1,Interactive card elements with responsive design.,https://www.mavyret.com/hep-c-treatment,support_cards,Card grid,Ensure proper spacing and accessibility of card links.,screenshots/blocks/support_cards__default.png
What is Hep C? Learn About the Disease,About Hep C Section,"Provides information about Hepatitis C, including causes and effects.",M,1,Content-heavy section requiring structured layout.,https://www.mavyret.com/about-hep-c,about_hep_c_section,Informational content,Ensure proper semantic HTML structure for SEO optimization.,screenshots/blocks/about_hep_c_section__default.png
What is Hep C? Learn About the Disease,Spread Information Section,Details on how Hepatitis C can and cannot be spread.,S,1,Simple content presentation.,https://www.mavyret.com/about-hep-c,spread_info_section,Informational content,Focus on clear and concise information delivery.,screenshots/blocks/spread_info_section__default.png
What is Hep C? Learn About the Disease,Testing Information Section,Information about who should get tested for Hepatitis C.,S,1,Basic content layout with minimal interactive elements.,https://www.mavyret.com/about-hep-c,testing_info_section,Informational content,Ensure accessibility for text and images.,screenshots/blocks/testing_info_section__default.png
What is Hep C? Learn About the Disease,Footer Safety Information,Displays important safety information and disclaimers about the product.,M,1,Includes dynamic content and compliance requirements.,https://www.mavyret.com/about-hep-c,footer_safety_information,Footer disclaimer,Ensure alignment with legal and regulatory standards.,screenshots/blocks/footer_safety_information__default.png
Search Results - MAVYRET (glecaprevir/pibrentasvir),Search Results,Displays search query results dynamically.,C,1,Requires dynamic data handling and search term highlighting.,https://www.mavyret.com/search-results,search_results,Search results display,Matched to 'Search' in catalog.,screenshots/blocks/search_results__default.png
Search Results - MAVYRET (glecaprevir/pibrentasvir),Back to Top Button,Allows navigation back to the page top.,S,1,Simple functionality with minimal styling.,https://www.mavyret.com/search-results,back_to_top,Utility button,No exact match in catalog.,screenshots/blocks/back_to_top__default.png
