Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Learn more about SKYRIZI® (risankizumab‐rzaa),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,104,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.skyrizi.com/,header_utility_strip,default,templateIds: tpl_0,screenshots/blocks/header_utility_strip__default.png
Learn more about SKYRIZI® (risankizumab‐rzaa),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,104,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.skyrizi.com/,header_primary_navigation,default,templateIds: tpl_0,screenshots/blocks/header_primary_navigation__default.png
Learn more about SKYRIZI® (risankizumab‐rzaa),main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-2114181513 .abbv-background-container-display { background-image : url…,M,104,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.skyrizi.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
Learn more about SKYRIZI® (risankizumab‐rzaa),main region 1,"Major content region in main (div). Preview: ABOUT SKYRIZI SKYRIZI is a biologic that has been prescribed to more than 260,000 patients in the USA.* *Includes adults…",M,63,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.skyrizi.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
Learn more about SKYRIZI® (risankizumab‐rzaa),main region 2,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-745007740 .abbv-background-container-display { background-image : url(…,M,32,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.skyrizi.com/,main_region_2,default,templateIds: tpl_0,screenshots/blocks/main_region_2__default.png
Learn more about SKYRIZI® (risankizumab‐rzaa),main region 3,"Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-2998955 .abbv-background-container-display { background-image : url(""/…",M,20,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.skyrizi.com/,main_region_3,default,templateIds: tpl_0,screenshots/blocks/main_region_3__default.png
Learn more about SKYRIZI® (risankizumab‐rzaa),main region 4,Major content region in main (div). Preview: Looking for more information on SKYRIZI? Get the information you need delivered straight to your inbox. Sign Up for SKYR…,M,18,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.skyrizi.com/,main_region_4,default,templateIds: tpl_0,screenshots/blocks/main_region_4__default.png
Learn more about SKYRIZI® (risankizumab‐rzaa),Site footer,"Footer links, legal, social, and ancillary navigation.",M,107,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.skyrizi.com/,site_footer,default,templateIds: tpl_0,screenshots/blocks/site_footer__default.png
SKYRIZI® (risankizumab-rzaa): A Biologic Treatment for Psoriasis,columns,Major content region in main (div). Preview: .abbv-image-text-v1-117132110-large { display: inline-block; } Results with SKYRIZI See if SKYRIZI is right for you .abb…,M,27,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.skyrizi.com/psoriasis,columns,default,templateIds: tpl_1,screenshots/blocks/columns__default.png
SKYRIZI® (risankizumab-rzaa): A Biologic Treatment for Psoriasis,Carousel / spotlight,"Rotating or swipeable spotlight region (announcements, hero slides, promos).",M,2,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.skyrizi.com/psoriasis,carousel_region_0,default,templateIds: tpl_1,screenshots/blocks/carousel_region_0__default.png
