Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
QULIPTA® (atogepant) for Migraine Prevention,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,22,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,header_utility_strip,default,templateIds: tpl_0,screenshots/blocks/header_utility_strip__default.png
QULIPTA® (atogepant) for Migraine Prevention,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,22,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,header_primary_navigation,default,templateIds: tpl_0,screenshots/blocks/header_primary_navigation__default.png
QULIPTA® (atogepant) for Migraine Prevention,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1660414692 .abbv-background-container-display { background-image : url…,M,22,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
QULIPTA® (atogepant) for Migraine Prevention,main region 1,Major content region in main (div).,M,21,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
QULIPTA® (atogepant) for Migraine Prevention,main region 2,"Major content region in main (div). Preview: THE FORGET-YOU-GET-MIGRAINE MEDICINE™ Not actual size. You’ll never truly forget migraine, but QULIPTA is a once-daily p…",M,15,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_2,default,templateIds: tpl_0,screenshots/blocks/main_region_2__default.png
QULIPTA® (atogepant) for Migraine Prevention,main region 3,Major content region in main (div). Preview: The Results Are In: QULIPTA vs Topiramate A head-to-head study shows how QULIPTA stacked up against topiramate. SEE THE …,M,12,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_3,default,templateIds: tpl_0,screenshots/blocks/main_region_3__default.png
QULIPTA® (atogepant) for Migraine Prevention,main region 4,Major content region in main (div). Preview: WHAT ARE YOU CURRENTLY TAKING TO PREVENT MIGRAINE ATTACKS? I'm taking QULIPTA I'm taking a different prescription oral m…,M,10,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_4,default,templateIds: tpl_0,screenshots/blocks/main_region_4__default.png
QULIPTA® (atogepant) for Migraine Prevention,main region 5,"Major content region in main (div). Preview: Not actual card. SAVINGS & SUPPORT MADE SIMPLE To save on QULIPTA, activate the QULIPTA Savings Card and show it at the …",M,7,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_5,default,templateIds: tpl_0,screenshots/blocks/main_region_5__default.png
QULIPTA® (atogepant) for Migraine Prevention,main region 6,Major content region in main (div). Preview: READY TO TAKE THE NEXT STEP? It's time to talk about migraine with your doctor and ask whether QULIPTA is right for you.…,M,6,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_6,default,templateIds: tpl_0,screenshots/blocks/main_region_6__default.png
QULIPTA® (atogepant) for Migraine Prevention,main region 7,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-633190212 .abbv-background-container-display { background-image : url(…,M,4,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_7,default,templateIds: tpl_0,screenshots/blocks/main_region_7__default.png
