Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
BOTOX&#174; for Severe Underarm Sweating - Botox,Global Navigation,Displays primary and secondary navigation links.,M,6,Includes multiple navigation layers and external link handling.,https://www.botoxseveresweating.com/,global_navigation,Primary and secondary navigation,May require custom scripts for dynamic link management.,screenshots/blocks/global_navigation__default.png
BOTOX&#174; for Severe Underarm Sweating - Botox,Hero Banner,Showcases promotional content with a carousel.,C,4,Carousel implementation and accessibility compliance.,https://www.botoxseveresweating.com/,hero_banner,Promotional carousel,Ensure responsive design and ARIA roles for accessibility.,screenshots/blocks/hero_banner__default.png
BOTOX&#174; for Severe Underarm Sweating - Botox,Main Content,Hosts primary product information and benefits.,M,1,Content depth and compliance with medical information standards.,https://www.botoxseveresweating.com/,main_content,Product information,Requires clear structuring for readability and compliance.,screenshots/blocks/main_content__default.png
BOTOX&#174; for Severe Underarm Sweating - Botox,Footer Section,Displays footer links and legal information.,S,3,Static content with minimal interactivity.,https://www.botoxseveresweating.com/,footer_section,Legal and navigation footer,Ensure consistent styling and link validation.,screenshots/blocks/footer_section__default.png
BOTOX&#174; for Severe Underarm Sweating - Botox,Floating ISI,Displays safety information in a floating section.,M,5,Requires dynamic positioning and visibility toggling.,https://www.botoxseveresweating.com/,floating_isi,Safety information display,Ensure visibility across all screen sizes.,screenshots/blocks/floating_isi__default.png
BOTOX&#174; for Severe Underarm Sweating - Botox,Modal Popup,Provides additional information via modals.,M,1,Modal functionality and accessibility compliance.,https://www.botoxseveresweating.com/,modal_popup,Information modal,Ensure focus management and keyboard navigation support.,screenshots/blocks/modal_popup__default.png
What Is Severe Underarm Sweating? - Botox,Main Navigation,Provides section-specific navigation.,M,2,Includes dropdowns and hover interactions.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/what_is,main_navigation,Primary navigation,Focus on clear hierarchy and usability.,screenshots/blocks/main_navigation__default.png
What Is Severe Underarm Sweating? - Botox,Content Introduction,Presents introductory text content.,S,2,Simple text-based content.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/what_is,content_intro,Introductory text,Ensure text is SEO-friendly.,screenshots/blocks/content_intro__default.png
What Is Severe Underarm Sweating? - Botox,Content Columns,Displays detailed information in columns.,M,2,Requires responsive column layout.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/what_is,content_columns,Informational columns,Test for readability across devices.,screenshots/blocks/content_columns__default.png
What Is Severe Underarm Sweating? - Botox,Call-to-Action Boxes,Encourages user interaction through CTAs.,M,6,Includes multiple interactive elements.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/what_is,cta_boxes,Interactive CTAs,Ensure buttons are accessible and functional.,screenshots/blocks/cta_boxes__default.png
What Is Severe Underarm Sweating? - Botox,Footer,Displays site-wide footer content.,M,9,Includes links and legal disclaimers.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/what_is,footer,Footer section,Ensure all links are functional.,screenshots/blocks/footer__default.png
What Is Severe Underarm Sweating? - Botox,Important Safety Information,Displays critical safety information.,C,6,Legal requirements for content presentation.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/what_is,isi_section,Safety information,Ensure compliance with regulations.,screenshots/blocks/isi_section__default.png
Frequently Asked Questions - Botox,FAQ Hero Banner,Displays the main banner for the FAQ page with a headline and background image.,M,1,Large image and heading require responsive styling.,https://www.botoxseveresweating.com/FAQ,faq_hero_banner,Hero section,Matched to 'Hero' in AEM blocks catalog.,screenshots/blocks/faq_hero_banner__default.png
Frequently Asked Questions - Botox,FAQ Accordion,Contains the expandable sections with questions and answers about Botox.,M,1,Accordion functionality involves interactive UI elements.,https://www.botoxseveresweating.com/FAQ,faq_accordion,Expandable content,Matched to 'Accordion' in AEM blocks catalog.,screenshots/blocks/faq_accordion__default.png
Frequently Asked Questions - Botox,Call-to-Action Columns,"Displays three columns with links to quizzes, dermatologist finder, and savings information.",M,2,Content layout adapts to screen sizes.,https://www.botoxseveresweating.com/FAQ,cta_columns,Content columns,Matched to 'Columns' in AEM blocks catalog.,screenshots/blocks/cta_columns__default.png
Frequently Asked Questions - Botox,Safety Information Section,Provides detailed safety and indication information about Botox.,M,1,Includes structured content with potential legal implications.,https://www.botoxseveresweating.com/FAQ,safety_information,Informational section,No direct match found in AEM blocks catalog.,screenshots/blocks/safety_information__default.png
Site Map - Botox,Site Header,Displays the site header with logo and navigation links.,M,2,"Includes navigation and branding elements, requiring integration and accessibility considerations.",https://www.botoxseveresweating.com/Site_map,global_header,Utility strip,Header includes logo and navigation links.,screenshots/blocks/global_header__default.png
Site Map - Botox,Primary Navigation,Provides the main site navigation links.,M,5,"Primary navigation typically involves dropdowns or submenus, requiring additional styling and functionality.",https://www.botoxseveresweating.com/Site_map,primary_navigation,Main navigation,Navigation includes submenus for detailed site navigation.,screenshots/blocks/primary_navigation__default.png
Site Map - Botox,Sitemap Section,Displays hierarchical links to all site pages.,M,1,Requires dynamic generation of links and hierarchical organization.,https://www.botoxseveresweating.com/Site_map,sitemap_section,Sitemap structure,Sitemap provides comprehensive site navigation.,screenshots/blocks/sitemap_section__default.png
BOTOX&#174; treatment results - Botox,Main Banner,Displays main promotional content with visuals.,M,1,Includes visual elements and promotional content.,https://www.botoxseveresweating.com/Can_botox_help/results,main_banner,Hero banner,No direct match in the AEM catalog.,screenshots/blocks/main_banner__default.png
BOTOX&#174; treatment results - Botox,Treatment Results Section,Highlights clinical study results and key statistics.,M,1,Requires precise data display and styling.,https://www.botoxseveresweating.com/Can_botox_help/results,treatment_results_section,Results display,No direct match in the AEM catalog.,screenshots/blocks/treatment_results_section__default.png
BOTOX&#174; treatment results - Botox,Important Safety Information,Provides critical safety and usage details.,M,3,Includes detailed and legally significant content.,https://www.botoxseveresweating.com/Can_botox_help/results,important_safety_information,Safety information,No direct match in the AEM catalog.,screenshots/blocks/important_safety_information__default.png
BOTOX&#174; Treatment Experience - Botox,Utility Strip,Displays links to external resources and programs.,S,4,Simple navigation links with no dynamic functionality.,https://www.botoxseveresweating.com/Can_botox_help/treatment_experience,global_utility_strip,Utility strip,No direct match in the catalog.,screenshots/blocks/global_utility_strip__default.png
BOTOX&#174; Treatment Experience - Botox,Hero Section,Displays the main banner with a headline and introductory text.,M,6,Includes large imagery and styled text elements.,https://www.botoxseveresweating.com/Can_botox_help/treatment_experience,hero_section,Hero banner,Matched as 'Hero' in the catalog.,screenshots/blocks/hero_section__default.png
How is severe underarm sweating diagnosed? - Botox,Consultation Information,Details about what to expect during a dermatologist consultation.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/how_diagnosed,consultation_section,default,templateIds: tpl_6,screenshots/blocks/consultation_section__default.png
How is severe underarm sweating diagnosed? - Botox,Preparation for Appointment,Guidelines on preparing for a dermatologist appointment.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/how_diagnosed,preparation_section,default,templateIds: tpl_6,screenshots/blocks/preparation_section__default.png
How is severe underarm sweating diagnosed? - Botox,Treatment Options,Information about treatment options and the role of Botox.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/how_diagnosed,treatment_options,default,templateIds: tpl_6,screenshots/blocks/treatment_options__default.png
How is severe underarm sweating diagnosed? - Botox,Popup Information,Additional details about the Hyperhidrosis Disease Severity Scale provided in a popup.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.botoxseveresweating.com/about_severe_underarm_sweating/how_diagnosed,popup_info,default,templateIds: tpl_6,screenshots/blocks/popup_info__default.png
How does BOTOX&#174; work? - Botox,How Botox Works,Explains the mechanism of Botox in reducing sweating.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.botoxseveresweating.com/Can_botox_help/how_works,how_botox_works,default,templateIds: tpl_7,screenshots/blocks/how_botox_works__default.png
How does BOTOX&#174; work? - Botox,Sweat Explanation,Describes where sweat goes after Botox treatment.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.botoxseveresweating.com/Can_botox_help/how_works,sweat_explanation,default,templateIds: tpl_7,screenshots/blocks/sweat_explanation__default.png
How does BOTOX&#174; work? - Botox,CTA Quiz,Encourages users to take a quiz to assess their condition.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.botoxseveresweating.com/Can_botox_help/how_works,cta_quiz,default,templateIds: tpl_7,screenshots/blocks/cta_quiz__default.png
How does BOTOX&#174; work? - Botox,CTA Find Doctor,Promotes finding a dermatologist for treatment.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.botoxseveresweating.com/Can_botox_help/how_works,cta_find_doctor,default,templateIds: tpl_7,screenshots/blocks/cta_find_doctor__default.png
How does BOTOX&#174; work? - Botox,CTA Results,Directs users to view treatment results.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.botoxseveresweating.com/Can_botox_help/how_works,cta_results,default,templateIds: tpl_7,screenshots/blocks/cta_results__default.png
Is BOTOX&#174; right for me? - Botox,Quiz Section,Interactive quiz for user engagement.,C,1,Includes dynamic interactions and data handling.,https://www.botoxseveresweating.com/Can_botox_help/is_botox_right_for_me,quiz_section,Interactive quiz,Custom quiz logic required.,screenshots/blocks/quiz_section__default.png
Is BOTOX&#174; right for me? - Botox,Quiz Results,Displays quiz outcomes based on user input.,C,1,Dynamic content generation based on quiz data.,https://www.botoxseveresweating.com/Can_botox_help/is_botox_right_for_me,quiz_results,Dynamic results display,Requires integration with quiz logic.,screenshots/blocks/quiz_results__default.png
Find a dermatologist in your area. - Botox,Search Form,Allows users to search for dermatologists.,C,1,Includes fields for zip code and radius with validation.,https://www.botoxseveresweating.com/find_a_dermatologist,search_form,Search functionality,Advanced search form implementation.,screenshots/blocks/search_form__default.png
Find a dermatologist in your area. - Botox,Search Results,Displays search results based on criteria.,C,1,Dynamic content display with map integration.,https://www.botoxseveresweating.com/find_a_dermatologist,search_results,Results display,Includes dynamic map and list of results.,screenshots/blocks/search_results__default.png
Find a dermatologist in your area. - Botox,Terms Modal,Shows terms and conditions in a modal popup.,M,1,Interactive modal with styled content.,https://www.botoxseveresweating.com/find_a_dermatologist,terms_modal,Information modal,Triggered by checkbox interaction.,screenshots/blocks/terms_modal__default.png
BOTOX&#174; Savings and Insurance - Botox,Primary Header,Displays logo and branding.,S,1,Simple logo and branding display.,https://www.botoxseveresweating.com/Can_botox_help/savings_insurance,primary_header,Branding header,Mapped to Header for branding purposes.,screenshots/blocks/primary_header__default.png
BOTOX&#174; Savings and Insurance - Botox,Call to Action Section,Encourages user actions like quizzes or program visits.,M,1,Interactive and linked elements.,https://www.botoxseveresweating.com/Can_botox_help/savings_insurance,cta_section,Action cards,Mapped to Cards for interactive content.,screenshots/blocks/cta_section__default.png
BOTOX&#174; Savings and Insurance - Botox,Information Section,Detailed product and benefit information.,M,1,Structured content layout.,https://www.botoxseveresweating.com/Can_botox_help/savings_insurance,information_section,Informational columns,Mapped to Columns for layout.,screenshots/blocks/information_section__default.png
