Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,161,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,header_utility_strip,default,templateIds: tpl_0,screenshots/blocks/header_utility_strip__default.png
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,161,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,header_primary_navigation,default,templateIds: tpl_0,screenshots/blocks/header_primary_navigation__default.png
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1971933672 .abbv-background-container-display { background-image : url…,M,145,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",main region 1,Major content region in main (div). Preview: Choose Your Condition Moderate to SevereEczema(Atopic Dermatitis)* Moderate to SevereRheumatoid Arthritis† ActivePsoriat…,M,49,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",Carousel / spotlight,"Rotating or swipeable spotlight region (announcements, hero slides, promos).",M,4,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,carousel,default,templateIds: tpl_0,screenshots/blocks/carousel__default.png
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",Site footer,"Footer links, legal, social, and ancillary navigation.",M,162,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,site_footer,default,templateIds: tpl_0,screenshots/blocks/site_footer__default.png
RINVOQ® (upadacitinib) for active Non-radiographic Axial Spondyloarthritis (nr- axSpA),main region 2,Major content region in main (div). Preview: For adults with active non-radiographic axial spondyloarthritis with objective signs of inflammation in whom a TNF block…,M,28,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/non-radiographic-axial-spondyloarthritis,main_region_2,default,templateIds: tpl_2,screenshots/blocks/main_region_2__default.png
RINVOQ® (upadacitinib) for active Non-radiographic Axial Spondyloarthritis (nr- axSpA),main region 3,"Major content region in main (div). Preview: Select Important Safety Information RINVOQ may cause serious side effects, including: Serious Infections, Cancer and Imm…",M,23,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/non-radiographic-axial-spondyloarthritis,main_region_3,default,templateIds: tpl_2,screenshots/blocks/main_region_3__default.png
RINVOQ® (upadacitinib) for active Non-radiographic Axial Spondyloarthritis (nr- axSpA),main region 4,Major content region in main (div).,M,24,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/non-radiographic-axial-spondyloarthritis,main_region_4,default,templateIds: tpl_2,screenshots/blocks/main_region_4__default.png
RINVOQ® (upadacitinib) for active Non-radiographic Axial Spondyloarthritis (nr- axSpA),main region 5,Major content region in main (div). Preview: QUESTION FOR YOU What best describes the status of your nr-axSpA? Pick one Diagnosed and taking an NSAID (like aspirin o…,M,20,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/non-radiographic-axial-spondyloarthritis,main_region_5,default,templateIds: tpl_2,screenshots/blocks/main_region_5__default.png
