Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,header_utility_strip,default,templateIds: tpl_0
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,header_primary_navigation,default,templateIds: tpl_0
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-727880518 .abbv-background-container-display { background-image : url(…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,main_region_0,default,templateIds: tpl_0
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,main region 1,Major content region in main (div). Preview: WE'RE HERE TO HELP. Peer Mentors are real patients on Duopa or their care partners. They volunteer to share their experi…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,main_region_1,default,templateIds: tpl_0
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,main region 2,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-244389776 .abbv-background-container-display { background-image : url(…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,main_region_2,default,templateIds: tpl_0
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,main region 3,Major content region in main (div). Preview: USE DUOPA (carbidopa and levodopa) enteral suspension is a prescription medicine used for treatment of advanced Parkinso…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,main_region_3,default,templateIds: tpl_0
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,form_block_0,default,templateIds: tpl_0
Parkinson’s Disease &amp; DUOPA™ (carbidopa/levodopa) | Official Patient Site,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/,site_footer,default,templateIds: tpl_0
How Duopa Works | DUOPA™ (carbidopa/levodopa),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/how-duopa-works,header_utility_strip,default,templateIds: tpl_1
How Duopa Works | DUOPA™ (carbidopa/levodopa),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/how-duopa-works,header_primary_navigation,default,templateIds: tpl_1
How Duopa Works | DUOPA™ (carbidopa/levodopa),main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1357965864 .abbv-background-container-display { background-image : url…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/how-duopa-works,main_region_0,default,templateIds: tpl_1
How Duopa Works | DUOPA™ (carbidopa/levodopa),main region 1,Major content region in main (div). Preview: No more setting an alarm to remind you to take your levodopa pills every few hours! Just connect the Duopa pump in the m…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/how-duopa-works,main_region_1,default,templateIds: tpl_1
How Duopa Works | DUOPA™ (carbidopa/levodopa),main region 2,"Major content region in main (div). Preview: BYPASSING THE STOMACH DELIVERS LEVODOPA WHERE YOU NEED IT Duopa is delivered right into the intestine, so your levodopa …",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/how-duopa-works,main_region_2,default,templateIds: tpl_1
How Duopa Works | DUOPA™ (carbidopa/levodopa),main region 3,"Major content region in main (div). Preview: YOUR DAILY ROUTINE Because levodopa is delivered continuously over 16 hours, you won’t need to take your levodopa pills …",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/how-duopa-works,main_region_3,default,templateIds: tpl_1
How Duopa Works | DUOPA™ (carbidopa/levodopa),main region 4,Major content region in main (div). Preview: YOU AND YOUR DOCTOR ARE IN CHARGE SINCE THE PROCEDURE IS REVERSIBLE If you need to discontinue treatment or you and your…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/how-duopa-works,main_region_4,default,templateIds: tpl_1
How Duopa Works | DUOPA™ (carbidopa/levodopa),Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/how-duopa-works,form_block_0,default,templateIds: tpl_1
How Duopa Works | DUOPA™ (carbidopa/levodopa),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/how-duopa-works,site_footer,default,templateIds: tpl_1
Peer Mentor Program - DUOPA™ (carbidopa/levodopa),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/mentor-program,header_utility_strip,default,templateIds: tpl_2
Peer Mentor Program - DUOPA™ (carbidopa/levodopa),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/mentor-program,header_primary_navigation,default,templateIds: tpl_2
Peer Mentor Program - DUOPA™ (carbidopa/levodopa),main region 0,Major content region in main (div). Preview: Duopa Mentors are real patient and care partner volunteers who have personal experience with Duopa. Register below to sc…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/mentor-program,main_region_0,default,templateIds: tpl_2
Peer Mentor Program - DUOPA™ (carbidopa/levodopa),main region 1,"Major content region in main (div). Preview: var updateElementContent = function (targetElement, newHtml) { targetElement.innerHTML = newHtml; Array.from(targetEleme…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/mentor-program,main_region_1,default,templateIds: tpl_2
Peer Mentor Program - DUOPA™ (carbidopa/levodopa),Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/mentor-program,form_block_0,default,templateIds: tpl_2
Peer Mentor Program - DUOPA™ (carbidopa/levodopa),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/mentor-program,site_footer,default,templateIds: tpl_2
What Is Duopa | DUOPA™ (carbidopa/levodopa),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/what-is-duopa,header_utility_strip,default,templateIds: tpl_3
What Is Duopa | DUOPA™ (carbidopa/levodopa),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.duopa.com/what-is-duopa,header_primary_navigation,default,templateIds: tpl_3
