Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Global Utility Navigation,Provides links for quick access to utility features.,S,9,Simple navigation links for utility functions.,https://www.cllcancer.com/,global_utility_navigation,Utility strip,No direct catalog match identified.,screenshots/blocks/global_utility_navigation__default.png
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Primary Navigation,Main site navigation with links to key sections.,M,11,Complexity due to nested menus and accessibility requirements.,https://www.cllcancer.com/,primary_navigation,Main navigation,No direct catalog match identified.,screenshots/blocks/primary_navigation__default.png
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Hero Section,Prominent section with a large image and introductory content.,M,13,Includes visual design and potential animations.,https://www.cllcancer.com/,hero_section,Hero banner,Catalog match found for 'Hero'.,screenshots/blocks/hero_section__default.png
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Interactive Info Tree,Interactive component allowing users to explore topics.,C,1,Interactive functionality and deep user engagement.,https://www.cllcancer.com/,info_tree,Interactive tree,No direct catalog match identified.,screenshots/blocks/info_tree__default.png
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,CTA Section 1,Encourages users to sign up for updates.,S,1,Straightforward call-to-action design.,https://www.cllcancer.com/,cta_section_1,Subscribe,No direct catalog match identified.,screenshots/blocks/cta_section_1__default.png
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,CTA Section 2,Provides information about treatment options.,S,1,Simple informational call-to-action.,https://www.cllcancer.com/,cta_section_2,Treatment information,No direct catalog match identified.,screenshots/blocks/cta_section_2__default.png
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Footer Links,Footer section with links to policies and contact info.,S,6,Basic footer functionality and design.,https://www.cllcancer.com/,footer_links,Footer navigation,Catalog match found for 'Footer'.,screenshots/blocks/footer_links__default.png
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Footer Legal Text,Displays legal disclaimers and copyright info.,S,1,Static legal text with styling.,https://www.cllcancer.com/,footer_legal,Legal footer,Catalog match found for 'Footer'.,screenshots/blocks/footer_legal__default.png
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Back to Top Button,Navigates back to the top of the page.,S,5,Basic button functionality.,https://www.cllcancer.com/,back_to_top,Utility button,No direct catalog match identified.,screenshots/blocks/back_to_top__default.png
Register to Receive CLL Resources | Living With CLL,Informational Text,Text block detailing registration process.,S,1,Static text content; minimal interactivity.,https://www.cllcancer.com/register,informational_text,Rich text,No matching block found in catalog.,screenshots/blocks/informational_text__default.png
Register to Receive CLL Resources | Living With CLL,Registration Form,Form for user registration and resource subscription.,C,1,"Includes validation, submission handling, and captcha.",https://www.cllcancer.com/register,registration_form,Form with fields,Mapped to 'Form' block from AEM catalog.,screenshots/blocks/registration_form__default.png
Register to Receive CLL Resources | Living With CLL,Footer Legal Text,Displays legal disclaimers and copyright information.,S,3,Static content; minimal interactivity.,https://www.cllcancer.com/register,footer_legal_text,Legal text,Mapped to 'Footer' block from AEM catalog.,screenshots/blocks/footer_legal_text__default.png
Register to Receive CLL Resources | Living With CLL,Back to Top Button,Button for scrolling back to the top of the page.,S,3,Basic scroll functionality; minimal styling.,https://www.cllcancer.com/register,back_to_top_button,Scroll button,No matching block found in catalog.,screenshots/blocks/back_to_top_button__default.png
CLL Prognosis &amp; Stages | Living With CLL,Global Utility Strip,Provides utility links and navigation options for user convenience.,S,4,Simple links and navigation without complex interactivity.,https://www.cllcancer.com/cll-prognosis,global_utility_strip,Utility strip,No direct match found in AEM catalog.,screenshots/blocks/global_utility_strip__default.png
CLL Prognosis &amp; Stages | Living With CLL,Primary Header,Displays site branding and main navigation.,M,2,Includes branding and multi-level navigation.,https://www.cllcancer.com/cll-prognosis,primary_header,Main navigation,No direct match found in AEM catalog.,screenshots/blocks/primary_header__default.png
CLL Prognosis &amp; Stages | Living With CLL,Breadcrumb Navigation,Facilitates user navigation with breadcrumb trails.,S,1,Straightforward navigation aid.,https://www.cllcancer.com/cll-prognosis,breadcrumb_navigation,Breadcrumb,No direct match found in AEM catalog.,screenshots/blocks/breadcrumb_navigation__default.png
CLL Prognosis &amp; Stages | Living With CLL,Main Content Introduction,Introduces the page content with headings and introductory text.,S,3,Simple textual content without interactive elements.,https://www.cllcancer.com/cll-prognosis,main_content_intro,Content introduction,No direct match found in AEM catalog.,screenshots/blocks/main_content_intro__default.png
CLL Prognosis &amp; Stages | Living With CLL,CTA Links,Provides call-to-action links for user engagement.,S,1,Basic links without additional functionality.,https://www.cllcancer.com/cll-prognosis,cta_links,Call-to-action,No direct match found in AEM catalog.,screenshots/blocks/cta_links__default.png
CLL Prognosis &amp; Stages | Living With CLL,Content Columns,Organizes content in a multi-column layout.,M,1,Requires styling for column layout and responsiveness.,https://www.cllcancer.com/cll-prognosis,content_columns,Multi-column content,No direct match found in AEM catalog.,screenshots/blocks/content_columns__default.png
CLL Prognosis &amp; Stages | Living With CLL,Flip Cards,Interactive cards that reveal information upon flipping.,C,1,Interactive elements with animations and dynamic content.,https://www.cllcancer.com/cll-prognosis,flip_cards,Interactive cards,No direct match found in AEM catalog.,screenshots/blocks/flip_cards__default.png
CLL Prognosis &amp; Stages | Living With CLL,Footer,Displays footer content including links and site-wide information.,S,2,Static footer with basic styling.,https://www.cllcancer.com/cll-prognosis,footer,Footer,Matched with AEM catalog entry.,screenshots/blocks/footer__default.png
Search Results | Living With CLL,Search Results,Displays the search results and related filters.,C,1,Dynamic content display with filtering and search term highlighting.,https://www.cllcancer.com/search-results,search_results,Search results display,Integrates search functionality with filtering options.,screenshots/blocks/search_results__default.png
Search Results | Living With CLL,Footer Navigation,Contains links to site-wide resources like privacy policy and terms of use.,S,1,Basic footer navigation with static links.,https://www.cllcancer.com/search-results,footer_navigation,Footer navigation,Includes horizontal navigation links.,screenshots/blocks/footer_navigation__default.png
Search Results | Living With CLL,Leaving Site Modal,Displays a modal dialog when users are leaving the site.,M,1,Interactive modal with content display and actions.,https://www.cllcancer.com/search-results,modal_leaving_site,Leaving site confirmation,Includes styling and interactivity for modal dialogs.,screenshots/blocks/modal_leaving_site__default.png
Living With Chronic Lymphocytic Leukemia (CLL),Breadcrumbs Navigation,Allows users to navigate the site hierarchy.,M,4,Interactive and hierarchical navigation structure.,https://www.cllcancer.com/living-with-cll,breadcrumbs_navigation,Breadcrumbs,No exact match in catalog.,screenshots/blocks/breadcrumbs_navigation__default.png
Living With Chronic Lymphocytic Leukemia (CLL),Health Tips,Lists actionable health tips for managing CLL.,S,1,Basic list structure with minimal styling.,https://www.cllcancer.com/living-with-cll,health_tips,Tips list,No exact match in catalog.,screenshots/blocks/health_tips__default.png
Living With Chronic Lymphocytic Leukemia (CLL),Footer Section,Provides site-wide links and legal information.,M,2,Includes multiple interactive and informational elements.,https://www.cllcancer.com/living-with-cll,footer_section,Footer links and legal,Mapped to 'Footer' in catalog.,screenshots/blocks/footer_section__default.png
sitemap,Modal Dialogs,Contains modals for various user interactions.,M,1,Requires JavaScript for modal interactions.,https://www.cllcancer.com/sitemap,modal_dialogs,Interactive modals,Matched to 'Modal' in catalog.,screenshots/blocks/modal_dialogs__default.png
CLL Treatment Options | Living With CLL,Treatment Introduction,Introduction to treatment approaches for CLL.,S,1,Static text content with basic formatting.,https://www.cllcancer.com/cll-treatments,treatment_intro,Introductory text,No direct match in catalog.,screenshots/blocks/treatment_intro__default.png
CLL Treatment Options | Living With CLL,Treatment Factors Columns,Columns detailing factors to consider for treatment.,M,1,Requires responsive design and column layout.,https://www.cllcancer.com/cll-treatments,treatment_columns,Content columns,Matched to catalog.,screenshots/blocks/treatment_columns__default.png
CLL Treatment Options | Living With CLL,Treatment Accordion,Accordion with detailed explanations of treatment options.,M,1,Interactive accordion requiring JavaScript functionality.,https://www.cllcancer.com/cll-treatments,treatment_accordion,Expandable sections,Matched to catalog.,screenshots/blocks/treatment_accordion__default.png
CLL Treatment Options | Living With CLL,Treatment Tabs,Tabbed interface for exploring treatment regimens.,M,1,Interactive tabbed navigation requiring JavaScript.,https://www.cllcancer.com/cll-treatments,treatment_tabs,Tabbed content,Matched to catalog.,screenshots/blocks/treatment_tabs__default.png
