Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Rethinking Receptors in Parkinson&#39;s Disease,Utility Navigation,Provides quick access to utility links and site-wide features.,S,1,Basic navigation links with minimal interactivity.,https://www.rethinkingreceptorsinpd.com/,global_utility_navigation,Utility Navigation,May include accessibility considerations for link focus and keyboard navigation.
Rethinking Receptors in Parkinson&#39;s Disease,Primary Navigation,Main navigation menu for accessing primary sections of the site.,M,1,Includes hierarchical navigation with potential dropdowns.,https://www.rethinkingreceptorsinpd.com/,primary_navigation,Main Navigation,Ensure deep navigation and responsive design are implemented.
Rethinking Receptors in Parkinson&#39;s Disease,Hero Section,Highlights the main message or theme of the homepage.,M,1,Includes large visual elements and interactive content.,https://www.rethinkingreceptorsinpd.com/,hero_section,Hero Banner,May require optimization for loading large images and responsive design.
Rethinking Receptors in Parkinson&#39;s Disease,Video Section,Displays a video player with supporting content.,C,1,Requires integration with video hosting and interactive features.,https://www.rethinkingreceptorsinpd.com/,video_section,Video Player,Ensure accessibility features like captions and transcripts are available.
Rethinking Receptors in Parkinson&#39;s Disease,Accordion Section,Provides expandable content for detailed information.,M,1,Interactive elements with potential deep content.,https://www.rethinkingreceptorsinpd.com/,accordion_section,Expandable Content,Accessibility considerations for keyboard navigation and ARIA roles.
Rethinking Receptors in Parkinson&#39;s Disease,Unmet Need Section,Discusses the unmet needs in Parkinson's Disease treatments.,M,1,May include complex styling and interactive elements.,https://www.rethinkingreceptorsinpd.com/,unmet_need_section,Content Highlight,Could benefit from further analysis to identify specific block type.
Rethinking Receptors in Parkinson&#39;s Disease,Footer Section,"Contains site-wide links, legal information, and branding.",S,1,Static content with minimal interactivity.,https://www.rethinkingreceptorsinpd.com/,footer_section,Footer,Ensure consistent styling and accessibility compliance.
Rethinking Receptors in Parkinson&#39;s Disease,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple functionality with basic interactivity.,https://www.rethinkingreceptorsinpd.com/,back_to_top,Utility Button,Ensure smooth scrolling and accessibility features are included.
Emerging Research for Parkinson&#39;s Disease,Utility Navigation,Provides links for utility actions such as contact and subscription.,S,1,Simple navigation links without advanced functionality.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,global_utility_strip,Utility strip,Includes basic navigation and accessibility considerations.
Emerging Research for Parkinson&#39;s Disease,Primary Navigation,Displays site branding and main navigation links.,M,1,Includes branding elements and main navigation functionality.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,primary_header,Main navigation,Requires responsive design and accessibility support.
Emerging Research for Parkinson&#39;s Disease,Hero Section,Highlights main page topics with visual emphasis.,M,1,Involves visual styling and layout considerations.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,hero_section,Hero with image and heading,Focus on visual impact and clear messaging.
Emerging Research for Parkinson&#39;s Disease,Introduction Section,Provides context and overview for the page topic.,S,1,Simple content layout without interactive elements.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,intro_section,Introductory content,Structured for clear presentation of introductory information.
Emerging Research for Parkinson&#39;s Disease,Content Highlights,Displays key points in a visually structured manner.,M,1,Requires grid layout and responsive design.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,content_highlights,Highlighted points,Focus on readability and visual organization.
Emerging Research for Parkinson&#39;s Disease,Call to Action Section,Encourages user interaction for further engagement.,M,1,Includes interactive elements and call-to-action design.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,cta_section,Call to Action,Designed to prompt user engagement effectively.
Emerging Research for Parkinson&#39;s Disease,Footer,Displays footer content with links and site information.,S,1,Simple layout and content presentation.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,footer,Footer with links and policies,Focus on accessibility and clear presentation of information.
Emerging Research for Parkinson&#39;s Disease,Back to Top Button,Provides quick navigation to the top of the page.,S,1,Simple functionality with minimal styling.,https://www.rethinkingreceptorsinpd.com/emerging-pd-research,back_to_top,Navigation button,Enhances user experience for page navigation.
Dopamine Receptor Function in Parkinson’s Disease,Utility Navigation,Provides access to auxiliary navigation links.,S,1,Simple navigation structure with minimal interactions.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,global_utility_navigation,Utility strip,No direct mapping found in the AEM catalog.
Dopamine Receptor Function in Parkinson’s Disease,Primary Header,Displays branding and main site navigation.,M,1,"Includes logo, navigation, and potential dynamic elements.",https://www.rethinkingreceptorsinpd.com/role-of-dopamine,primary_header,Main navigation,Mapped to 'Header' from AEM catalog.
Dopamine Receptor Function in Parkinson’s Disease,Main Navigation,Primary navigation links for the website.,M,1,Contains hierarchical navigation with potential dropdowns.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,main_navigation,Primary navigation,No direct mapping found in the AEM catalog.
Dopamine Receptor Function in Parkinson’s Disease,Hero Section,Highlights the main topic with imagery and text.,M,1,Includes dynamic content and styling.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,hero_section,Hero banner,Mapped to 'Hero' from AEM catalog.
Dopamine Receptor Function in Parkinson’s Disease,Content Introduction,Introduces the page topic with a title and description.,S,1,Static content with minimal interactions.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,dopamine_receptor_intro,Introduction,No direct mapping found in the AEM catalog.
Dopamine Receptor Function in Parkinson’s Disease,D1 Receptors,Details about D1-like receptors.,M,1,Includes text and image content.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,d1_receptors,Content block,No direct mapping found in the AEM catalog.
Dopamine Receptor Function in Parkinson’s Disease,D2 Receptors,Details about D2-like receptors.,M,1,Includes text and image content.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,d2_receptors,Content block,No direct mapping found in the AEM catalog.
Dopamine Receptor Function in Parkinson’s Disease,Summary Section,Summarizes the content on dopamine receptors.,S,1,Static content with minimal interactions.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,dopamine_receptor_summary,Summary,No direct mapping found in the AEM catalog.
Dopamine Receptor Function in Parkinson’s Disease,Video Section,Displays a video explaining dopamine receptor functions.,M,1,Includes media playback functionality.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,video_section,Video embed,Mapped to 'Video' from AEM catalog.
Dopamine Receptor Function in Parkinson’s Disease,Transcript Accordion,Expandable section for video transcript.,M,1,Interactive content with expand/collapse functionality.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,accordion_transcript,Accordion,Mapped to 'Accordion' from AEM catalog.
Dopamine Receptor Function in Parkinson’s Disease,Call to Action,Encourages users to explore treatment options.,M,1,Prominent interactive element with styling.,https://www.rethinkingreceptorsinpd.com/role-of-dopamine,cta_section,Callout,No direct mapping found in the AEM catalog.
