Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Global Utility Strip,"Provides quick access to important links such as safety information, prescribing information, and external resources.",S,1,Simple navigation links with no dynamic functionality.,https://www.linzesshcp.com/linzess-cic-safety,global_utility_strip,Utility strip,No exact match found in the catalog.,screenshots/blocks/global_utility_strip__default.png
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Primary Navigation,Main site navigation allowing users to access different sections of the website.,M,7,Main navigation with potential submenus and hierarchical structure.,https://www.linzesshcp.com/linzess-cic-safety,primary_navigation,Main navigation,No exact match found in the catalog.,screenshots/blocks/primary_navigation__default.png
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Hero Banner,Displays a prominent image and title to introduce the page content.,M,3,Visual and responsive design considerations for the hero banner.,https://www.linzesshcp.com/linzess-cic-safety,hero_banner,Hero banner,No exact match found in the catalog.,screenshots/blocks/hero_banner__default.png
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,CIC Safety Introduction,Introduces the safety profile of LINZESS for CIC patients with key highlights.,S,1,Static content with text and possibly a heading.,https://www.linzesshcp.com/linzess-cic-safety,cic_safety_intro,Introduction section,No exact match found in the catalog.,screenshots/blocks/cic_safety_intro__default.png
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Adverse Reactions Section,Details common adverse reactions and their frequencies.,M,1,Tabular or list representation of medical data.,https://www.linzesshcp.com/linzess-cic-safety,adverse_reactions_section,Adverse reactions,No exact match found in the catalog.,screenshots/blocks/adverse_reactions_section__default.png
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Important Safety Information,Provides critical safety warnings and usage indications for LINZESS.,S,4,Static content with legal and safety information.,https://www.linzesshcp.com/linzess-cic-safety,important_safety_information,Safety information,No exact match found in the catalog.,screenshots/blocks/important_safety_information__default.png
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Footer,"Provides links to additional resources, legal disclaimers, and company information.",S,1,Standard footer block with static links and styling.,https://www.linzesshcp.com/linzess-cic-safety,footer,Footer,Matched with the catalog entry for Footer.,screenshots/blocks/footer__default.png
Mechanism of Action in IBS-C | LINZESS® (linaclotide),Global Utility Navigation,Provides quick access links to important resources.,M,3,Requires accessibility and navigation structure compliance.,https://www.linzesshcp.com/ibs-c-moa,global_utility_navigation,Utility strip,No direct match in catalog.,screenshots/blocks/global_utility_navigation__default.png
Mechanism of Action in IBS-C | LINZESS® (linaclotide),Main Content Section,Detailed information on mechanism of action.,M,1,Contains mixed media and textual content.,https://www.linzesshcp.com/ibs-c-moa,main_content_section,Content section,No direct match in catalog.,screenshots/blocks/main_content_section__default.png
Mechanism of Action in IBS-C | LINZESS® (linaclotide),Footer Navigation,Provides additional links and legal information.,M,1,Includes structured legal and navigational links.,https://www.linzesshcp.com/ibs-c-moa,footer_navigation,Footer section,Matched to 'Footer' in catalog.,screenshots/blocks/footer_navigation__default.png
"LINZESS® (linaclotide) for IBS-C, CIC, Functional Constipation Symptoms",Indications Section,Highlights the various indications for LINZESS with links to detailed information.,M,1,Includes multiple links and detailed content.,https://www.linzesshcp.com/,indications_section,Content section,No direct match found in AEM catalog.,screenshots/blocks/indications_section__default.png
"LINZESS® (linaclotide) for IBS-C, CIC, Functional Constipation Symptoms",Footer,Contains site-wide footer content including legal disclaimers and links.,S,3,Standard footer with links and disclaimers.,https://www.linzesshcp.com/,footer_section,Footer,No direct match found in AEM catalog.,screenshots/blocks/footer_section__default.png
Dosing and Administration | LINZESS® (linaclotide) | For HCPs,Hero Section,Highlights the main message or purpose of the page with a prominent heading.,S,2,Simple layout with heading and image; minimal interactivity.,https://www.linzesshcp.com/linzess-dosing,hero_section,Hero,Direct match found in AEM catalog.,screenshots/blocks/hero_section__default.png
Dosing and Administration | LINZESS® (linaclotide) | For HCPs,Dosing Information Columns,Displays dosing information for different patient groups in a column layout.,M,1,Requires structured content presentation with responsive design.,https://www.linzesshcp.com/linzess-dosing,dosing_information_columns,Column layout,May involve custom styling and layout adjustments.,screenshots/blocks/dosing_information_columns__default.png
Dosing and Administration | LINZESS® (linaclotide) | For HCPs,Dosing Schedule,"Provides instructions on how LINZESS should be taken, presented in a column layout with icons.",M,1,Includes visual elements and structured data for instructions.,https://www.linzesshcp.com/linzess-dosing,dosing_schedule,Instructional layout,Potential for integration with icon libraries or dynamic data sources.,screenshots/blocks/dosing_schedule__default.png
Dosing and Administration | LINZESS® (linaclotide) | For HCPs,Clinical Considerations,Lists clinical considerations for healthcare providers regarding LINZESS usage.,S,1,Static content presentation with minimal interactivity.,https://www.linzesshcp.com/linzess-dosing,clinical_considerations,Content list,Straightforward implementation with basic styling.,screenshots/blocks/clinical_considerations__default.png
LINZESS® (linaclotide) Safety Profile Among IBS-C Patients | For HCPs,Utility Navigation,Provides access to essential links for quick navigation.,S,3,Simple links without advanced interactivity.,https://www.linzesshcp.com/linzess-ibs-c-safety,utility_navigation,Utility strip,No matching AEM catalog block found.,screenshots/blocks/utility_navigation__default.png
Efficacy For Patients With IBS-C | LINZESS® (linaclotide) | For HCPs,Section Navigation,Sticky navigation for section-level quick access.,S,1,Simple sticky navigation without deep functionality.,https://www.linzesshcp.com/linzess-ibs-c-efficacy,section_navigation,Sticky section navigation,Does not map to any known AEM block catalog entry.,screenshots/blocks/section_navigation__default.png
Efficacy For Patients With IBS-C | LINZESS® (linaclotide) | For HCPs,Pivotal Studies Section One,Highlights pivotal study results for LINZESS.,M,1,Content-heavy section requiring detailed styling.,https://www.linzesshcp.com/linzess-ibs-c-efficacy,pivotal_studies_section_one,Study highlights,Does not map to any known AEM block catalog entry.,screenshots/blocks/pivotal_studies_section_one__default.png
Efficacy For Patients With IBS-C | LINZESS® (linaclotide) | For HCPs,Pivotal Studies Section Two,Details improvements in CSBM frequency for LINZESS-treated patients.,M,1,Content-heavy section with detailed data presentation.,https://www.linzesshcp.com/linzess-ibs-c-efficacy,pivotal_studies_section_two,Study data,Does not map to any known AEM block catalog entry.,screenshots/blocks/pivotal_studies_section_two__default.png
Efficacy For Patients With IBS-C | LINZESS® (linaclotide) | For HCPs,Pivotal Studies Section Three,Focuses on reduced abdominal pain outcomes for LINZESS-treated patients.,M,1,Content-heavy section with detailed data presentation.,https://www.linzesshcp.com/linzess-ibs-c-efficacy,pivotal_studies_section_three,Study data,Does not map to any known AEM block catalog entry.,screenshots/blocks/pivotal_studies_section_three__default.png
Efficacy For Patients With IBS-C | LINZESS® (linaclotide) | For HCPs,Clinical Trial Design,Explains the design and methodology of LINZESS clinical trials.,M,1,Content-heavy section requiring detailed styling.,https://www.linzesshcp.com/linzess-ibs-c-efficacy,clinical_trial_design,Trial methodology,Does not map to any known AEM block catalog entry.,screenshots/blocks/clinical_trial_design__default.png
Efficacy For Patients With IBS-C | LINZESS® (linaclotide) | For HCPs,Overall Symptoms Section,Presents data on LINZESS's impact on overall symptoms.,M,1,Content-heavy section requiring detailed styling.,https://www.linzesshcp.com/linzess-ibs-c-efficacy,overall_symptoms_section,Symptoms data,Does not map to any known AEM block catalog entry.,screenshots/blocks/overall_symptoms_section__default.png
