Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Speaking with your doctor about EPI transcript,Utility Navigation,Provides quick links to important resources.,S,1,Simple list of links with minimal interaction.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,utility_navigation,Utility strip,No direct match in catalog.
Speaking with your doctor about EPI transcript,Primary Navigation,Main navigation for site sections.,M,1,Includes dropdown menus and hierarchical structure.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,primary_navigation,Main navigation,No direct match in catalog.
Speaking with your doctor about EPI transcript,Breadcrumb Navigation,Displays the user's path within the site.,S,1,Simple breadcrumb trail with links.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,breadcrumb_navigation,Breadcrumb,No direct match in catalog.
Speaking with your doctor about EPI transcript,Hero Section,Highlights the page title and key message.,M,1,Includes styling and possibly background image.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,hero_section,Hero banner,Matched to 'Hero' in catalog.
Speaking with your doctor about EPI transcript,Video Transcript,Provides text for video content.,S,1,Static text content for accessibility.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,video_transcript,Transcript,No direct match in catalog.
Speaking with your doctor about EPI transcript,Important Safety Information,Displays critical safety details.,S,1,Text content with minimal interactivity.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,important_safety_information,Safety information,No direct match in catalog.
Speaking with your doctor about EPI transcript,Footer Navigation,Provides links to additional site resources.,M,1,Includes multiple link sections and potential styling.,https://www.creoninfo.com/videos/speaking-doctor-epi-transcript,footer_navigation,Footer navigation,No direct match in catalog.
Creon Complete,Utility Navigation,Provides quick access to essential links for users.,M,1,Contains multiple links requiring accessibility and usability checks.,https://www.creoninfo.com/creon-complete,global_utility_navigation,Utility strip,Ensure compliance with accessibility standards.
Creon Complete,Header,Displays the logo and primary navigation.,M,1,Includes branding and navigation elements.,https://www.creoninfo.com/creon-complete,primary_header,Main navigation,Requires responsive design and branding alignment.
Creon Complete,Main Navigation,Provides primary links to site sections.,M,1,Deep navigation structure with submenu items.,https://www.creoninfo.com/creon-complete,main_navigation,Primary navigation,Focus on navigation hierarchy.
Creon Complete,Hero Section,Highlights the main message and visual focus.,S,1,Simple visual section with basic styling.,https://www.creoninfo.com/creon-complete,hero_section,Hero banner,Ensure compatibility with other visual elements.
Creon Complete,Breadcrumb,Displays user's current location within the site hierarchy.,S,1,Simple navigation aid.,https://www.creoninfo.com/creon-complete,breadcrumb_navigation,Breadcrumb trail,Ensure proper hierarchy representation.
Creon Complete,Resources Section,Provides tailored resources for users.,M,1,Dynamic content based on user needs.,https://www.creoninfo.com/creon-complete,personalized_resources,Resource listing,Focus on user accessibility and relevance.
Creon Complete,Support Features,Showcases tools and savings opportunities.,M,1,Includes interactive tools and user-centric features.,https://www.creoninfo.com/creon-complete,support_features,Feature showcase,Ensure interactivity and user engagement.
Creon Complete,Video Section,Displays videos for user education.,M,1,Requires video player integration and accessibility.,https://www.creoninfo.com/creon-complete,video_section,Video player,Ensure video controls are accessible.
Creon Complete,Next Best Message,Encourages adherence to treatment plans.,S,1,Simple message display.,https://www.creoninfo.com/creon-complete,next_best_message,Motivational message,Focus on user engagement.
Creon Complete,Footer,Displays footer links and additional information.,S,1,Basic footer with links and styling.,https://www.creoninfo.com/creon-complete,footer_section,Footer,Ensure compliance with site-wide styles.
Getting Started With CREON® (pancrelipase),Global Utility Navigation,Provides quick access to important links such as safety information and healthcare professional resources.,M,1,Moderate complexity due to accessibility and navigation requirements.,https://www.creoninfo.com/staying-on-track,global_utility_navigation,Utility strip,Could not map to a predefined AEM block.
Getting Started With CREON® (pancrelipase),Primary Navigation,Main site navigation with links to key sections.,C,1,High complexity due to deep navigation hierarchy and accessibility needs.,https://www.creoninfo.com/staying-on-track,primary_navigation,Main navigation,Could not map to a predefined AEM block.
Getting Started With CREON® (pancrelipase),Hero Section,Highlights the main message of the page with a title and introductory text.,M,1,Moderate complexity due to content layout and visual impact.,https://www.creoninfo.com/staying-on-track,hero_section,Hero area,Could not map to a predefined AEM block.
CREON® Official Website ­- For Exocrine Pancreatic Insufficiency,Global Utility Strip,"Provides quick access to utility links such as safety information, prescribing information, and healthcare professional resources.",M,1,Includes multiple links with accessibility requirements.,https://www.creoninfo.com/,global_utility_strip,Utility strip,Utility links are critical for user navigation and compliance.
