Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Site Header,Displays the site's header including navigation and branding.,S,1,Basic header structure with standard navigation.,https://www.orilissa.com/insurance-and-savings/co-pay-card,header_chrome,Utility navigation,Includes branding and navigation elements.
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Main Content Region,Primary region for displaying main page content.,M,1,Complexity depends on content types within the region.,https://www.orilissa.com/insurance-and-savings/co-pay-card,main_region_0,Background image content,May include dynamic or static content elements.
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Content Columns,Organizes content into columns for layout purposes.,S,1,Standard column layout using CSS flexbox.,https://www.orilissa.com/insurance-and-savings/co-pay-card,columns,Responsive columns,Adapted for varying screen sizes.
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Subscription Form,Captures user input for subscription or lead generation.,C,1,Includes CAPTCHA and form validation.,https://www.orilissa.com/insurance-and-savings/co-pay-card,form_block_0,Lead capture,Requires server-side integration for data handling.
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Subscription Form,Captures user input for subscription or lead generation.,C,1,Includes CAPTCHA and form validation.,https://www.orilissa.com/insurance-and-savings/co-pay-card,form_block_1,Lead capture,Requires server-side integration for data handling.
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Subscription Form,Captures user input for subscription or lead generation.,C,1,Includes CAPTCHA and form validation.,https://www.orilissa.com/insurance-and-savings/co-pay-card,form_block_2,Lead capture,Requires server-side integration for data handling.
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Site Footer,Displays footer content including navigation and legal links.,S,1,Basic footer structure with navigation links.,https://www.orilissa.com/insurance-and-savings/co-pay-card,site_footer,Footer navigation,May include social media links and contact information.
Video Email Page,Send Mail Tool,Provides a form for users to share the page content via email.,M,1,Includes form submission and interaction features.,https://www.orilissa.com/emails/video-emails/6122699813001,send_mail_tool,Email sharing tool,Requires custom implementation due to lack of catalog match.
Video Email Page,Form Fields,Includes input fields for capturing user and recipient information.,M,1,Handles structured input and validation.,https://www.orilissa.com/emails/video-emails/6122699813001,form_fields,Input field group,Matched to AEM Form block with JSON-based field definitions.
Video Email Page,Form Buttons,Contains buttons for submitting or canceling the email form.,S,1,Simple button interactions.,https://www.orilissa.com/emails/video-emails/6122699813001,form_buttons,Button group,Requires mapping to a specific block or custom implementation.
Video Email Page,Captcha Protection,Displays reCAPTCHA for secure form submissions.,C,1,Includes third-party integration for security.,https://www.orilissa.com/emails/video-emails/6122699813001,captcha_protection,Captcha integration,Mapping to an appropriate block or custom integration needed.
Video Email Page,Loading Feedback,Shows animations and messages during form submission.,M,1,Handles dynamic feedback for user actions.,https://www.orilissa.com/emails/video-emails/6122699813001,loading_feedback,Loading and feedback,Requires mapping to a specific block or custom implementation.
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Global Utility Navigation,Provides links to key resources like safety and prescribing information.,M,1,Involves accessibility considerations and potential integrations for dynamic updates.,https://www.orilissa.com/,global_utility_navigation,Utility strip,No exact match found in the AEM catalog.
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Primary Navigation,Main site navigation menu for accessing various sections.,C,1,Requires deep navigation structure and accessibility compliance.,https://www.orilissa.com/,primary_navigation,Main navigation,No exact match found in the AEM catalog.
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Hero Section,Highlights key messages prominently with a visual banner.,M,1,Includes visual design and responsive behavior.,https://www.orilissa.com/,hero_section,Hero banner,Matched to 'Hero' in the AEM catalog.
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Call-to-Action Cards,Displays actionable content in a card format.,M,1,Incorporates grid layout and responsive design.,https://www.orilissa.com/,cta_cards,CTA grid,Matched to 'Cards' in the AEM catalog.
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Important Safety Information,Displays critical safety and usage information about the product.,C,1,Involves compliance and accessibility requirements for legal content.,https://www.orilissa.com/,important_safety_information,Safety information,No exact match found in the AEM catalog.
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Footer Links,"Provides links to legal, privacy, and other informational pages.",M,1,Requires integration of multiple links and responsive design.,https://www.orilissa.com/,footer_links,Footer navigation,Matched to 'Footer' in the AEM catalog.
ORILISSA® (elagolix) Search Results,Utility Navigation,Provides quick access to important links and resources.,S,1,Limited scope; basic navigation links.,https://www.orilissa.com/search-results,global_utility_navigation,Utility strip,Could include links to safety and prescribing information.
ORILISSA® (elagolix) Search Results,Primary Navigation,Facilitates main site navigation.,M,1,Includes multiple levels of navigation.,https://www.orilissa.com/search-results,primary_navigation,Main navigation,May require dropdown functionality and accessibility compliance.
ORILISSA® (elagolix) Search Results,Hero Section,Highlights key messages or features prominently.,M,1,Visual prominence and potential interactivity.,https://www.orilissa.com/search-results,hero_section,Hero banner,Uses CSS for positioning and styling.
ORILISSA® (elagolix) Search Results,Search Results,Displays search query results dynamically.,C,1,Dynamic content and potential integration with search APIs.,https://www.orilissa.com/search-results,search_results,Search results display,Includes highlighting of search terms.
ORILISSA® (elagolix) Search Results,Safety Information,Displays critical safety and usage information.,M,1,Requires compliance with regulatory standards.,https://www.orilissa.com/search-results,important_safety_information,Inline text,Content must be clear and accessible.
ORILISSA® (elagolix) Search Results,Footer Navigation,Provides links to secondary resources.,S,1,Basic navigation links at page end.,https://www.orilissa.com/search-results,footer_navigation,Footer links,Includes terms of use and privacy policy links.
ORILISSA® (elagolix) Search Results,Back to Top,Allows users to quickly return to the top of the page.,S,1,Simple JavaScript functionality.,https://www.orilissa.com/search-results,back_to_top_button,Utility button,Improves page navigation efficiency.
ORILISSA® (elagolix) Search Results,Modal Dialogs,Displays pop-up dialogs for additional information.,C,1,Requires dynamic content and interaction handling.,https://www.orilissa.com/search-results,modal_dialogs,Popup modals,Includes external link warnings and additional actions.
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Global Utility Navigation,Provides quick access to important links such as safety information and healthcare professional resources.,S,1,Simple navigation links without deep interactivity.,https://www.orilissa.com/savings-card,global_utility_navigation,Utility strip,Could be implemented using a basic header navigation component.
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Primary Navigation,Main site navigation for accessing different sections like Home and Savings.,M,1,Includes hierarchical navigation and styling.,https://www.orilissa.com/savings-card,primary_navigation,Main navigation,Requires integration for menu hierarchy and interaction.
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Hero Section,Highlights the main message about Orilissa Savings with a prominent visual and heading.,M,1,Involves image and text placement with responsive design.,https://www.orilissa.com/savings-card,hero_section,Hero banner,Mapped to Hero block from catalog.
