Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Home,Utility Navigation,Provides quick access to important links.,S,2,Simple navigation with few links.,https://www.synthroidhcppr.com/,utility_navigation,Utility strip,Requires minimal customization.,screenshots/blocks/utility_navigation__default.png
Home,Primary Navigation,Main site navigation with hierarchical links.,M,5,Includes submenu functionality.,https://www.synthroidhcppr.com/,primary_navigation,Main navigation,Ensure accessibility compliance for nested menus.,screenshots/blocks/primary_navigation__default.png
Home,Hero Section,Highlights the main message about Synthroid.,M,8,Includes large image and heading styling.,https://www.synthroidhcppr.com/,hero_section,Hero layout,Ensure responsive design compatibility.,screenshots/blocks/hero_section__default.png
Home,Content Columns,Displays detailed information in a columnar layout.,M,1,Responsive layout adapts to screen sizes.,https://www.synthroidhcppr.com/,content_columns,Information columns,Adapt layout for mobile and desktop views.,screenshots/blocks/content_columns__default.png
Home,Important Safety Information,Displays critical safety information.,S,6,Static content display.,https://www.synthroidhcppr.com/,important_safety_information,Safety notice,Content should be easily readable.,screenshots/blocks/important_safety_information__default.png
Home,Footer,Site-wide footer with links and information.,S,5,Basic footer implementation.,https://www.synthroidhcppr.com/,footer,Footer bar,Ensure consistent styling across pages.,screenshots/blocks/footer__default.png
Home,Back to Top Button,Scrolls the user back to the top of the page.,S,2,Simple button functionality.,https://www.synthroidhcppr.com/,back_to_top,Scroll button,Include smooth scrolling animation.,screenshots/blocks/back_to_top__default.png
Home,Special Considerations Modal,Displays special considerations in a modal dialog.,M,2,Requires modal styling and behavior.,https://www.synthroidhcppr.com/,modal_special_considerations,Information modal,Ensure accessibility for modal interactions.,screenshots/blocks/modal_special_considerations__default.png
Home,Study Design Modal,Provides detailed study design information in a modal.,M,2,Requires modal styling and behavior.,https://www.synthroidhcppr.com/,modal_study_design,Information modal,Ensure accessibility for modal interactions.,screenshots/blocks/modal_study_design__default.png
Home,Warn on Leave Modal,Notifies users about leaving the site.,M,2,Requires modal styling and behavior.,https://www.synthroidhcppr.com/,modal_warn_on_leave,Notification modal,Ensure accessibility for modal interactions.,screenshots/blocks/modal_warn_on_leave__default.png
Prescribing SYNTHROID® (levothyroxine sodium tablets),Global Utility Navigation,Provides quick access to key resources and links.,S,4,Simple navigation links with minimal interactivity.,https://www.synthroidhcppr.com/prescribing,global_utility_navigation,Utility strip,No exact match in catalog.,screenshots/blocks/global_utility_navigation__default.png
Prescribing SYNTHROID® (levothyroxine sodium tablets),Primary Header,Displays main branding and navigation including logo and primary menu.,M,3,Includes branding and dropdown navigation.,https://www.synthroidhcppr.com/prescribing,primary_header,Main navigation,No exact match in catalog.,screenshots/blocks/primary_header__default.png
Prescribing SYNTHROID® (levothyroxine sodium tablets),Manufacturing Integrity Section,Details about quality and integrity in manufacturing.,M,1,Custom content block with specific layout.,https://www.synthroidhcppr.com/prescribing,manufacturing_integrity_section,Informational section,No exact match in catalog.,screenshots/blocks/manufacturing_integrity_section__default.png
