Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Global Utility Navigation,Provides utility links such as signing up for updates.,S,7,Simple navigation links with minimal interactivity.,https://www.abbvieaccess.com/brand/lupron-men,global_utility_navigation,Utility strip,No exact match found in the AEM catalog.,screenshots/blocks/global_utility_navigation__default.png
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Primary Navigation,Main site navigation with links to key sections.,M,13,Includes dropdown menus and hierarchical navigation structure.,https://www.abbvieaccess.com/brand/lupron-men,primary_navigation,Main navigation,No exact match found in the AEM catalog.,screenshots/blocks/primary_navigation__default.png
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Hero Section,Prominent introductory section with the page title and main image.,M,15,Central visual element with potential dynamic content.,https://www.abbvieaccess.com/brand/lupron-men,hero_section,Hero banner,No exact match found in the AEM catalog.,screenshots/blocks/hero_section__default.png
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Call to Action Section,Provides quick links to important resources and tools.,S,5,Simple grouping of actionable links.,https://www.abbvieaccess.com/brand/lupron-men,cta_section,CTA links,No exact match found in the AEM catalog.,screenshots/blocks/cta_section__default.png
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Card Grid: Support & Education,Displays cards with information and links about support and education resources.,M,1,Dynamic card-based layout requiring responsive design.,https://www.abbvieaccess.com/brand/lupron-men,card_grid_support_education,Card grid,No exact match found in the AEM catalog.,screenshots/blocks/card_grid_support_education__default.png
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Footer Links,Contains footer links for navigation and legal information.,S,5,Static footer with legal and navigational links.,https://www.abbvieaccess.com/brand/lupron-men,footer_links,Footer,No exact match found in the AEM catalog.,screenshots/blocks/footer_links__default.png
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Back to Top Button,Allows users to quickly return to the top of the page.,S,7,Single button with basic functionality.,https://www.abbvieaccess.com/brand/lupron-men,back_to_top,Utility button,No exact match found in the AEM catalog.,screenshots/blocks/back_to_top__default.png
"LUPRON DEPOT® Programs, Support &amp; Resources | AbbVie Access®",Exit Site Modal,Modal dialog for confirming navigation to external sites.,M,5,Interactive modal with user confirmation logic.,https://www.abbvieaccess.com/brand/lupron-men,modal_exit_site,Modal dialog,No exact match found in the AEM catalog.,screenshots/blocks/modal_exit_site__default.png
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Utility Navigation,Provides quick access to utility links such as sign up for updates.,S,6,Simple navigation links without advanced functionality.,https://www.abbvieaccess.com/brand/combigan,global_utility_strip,Utility strip,No exact match found in AEM catalog.,screenshots/blocks/global_utility_strip__default.png
"COMBIGAN® Programs, Support &amp; Resources | AbbVie Access®",Call-to-Action Buttons,Call-to-action buttons for quick navigation to support tools and resources.,S,4,Simple button functionality.,https://www.abbvieaccess.com/brand/combigan,cta_buttons,CTA buttons,No exact match found in AEM catalog.,screenshots/blocks/cta_buttons__default.png
