Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
OZURDEX® for HCPs | Home,Global Utility Navigation,"Provides quick links and navigation options for users, such as prescribing information and patient resources.",M,3,Includes accessibility considerations and multiple navigation tiers.,https://hcp.ozurdex.com/,global_utility_navigation,Utility strip,No direct match found in AEM catalog.,screenshots/blocks/global_utility_navigation__default.png
OZURDEX® for HCPs | Home,Primary Navigation,Main site navigation for accessing key sections like 'The Role of Ozurdex' and 'Mechanism of Action'.,C,7,Deep navigation structure with multiple levels and accessibility requirements.,https://hcp.ozurdex.com/,primary_navigation,Main navigation,No direct match found in AEM catalog.,screenshots/blocks/primary_navigation__default.png
OZURDEX® for HCPs | Home,Hero Section,Highlights the main message and purpose of the site with a prominent image and text.,M,7,Includes visual design elements and responsive styling.,https://hcp.ozurdex.com/,hero_section,Hero image with text,Mapped to 'Hero' block in AEM catalog.,screenshots/blocks/hero_section__default.png
OZURDEX® for HCPs | Home,Mechanism of Action,Showcases the mechanism of action with an image and a call-to-action button.,M,2,Visual content with interactive elements.,https://hcp.ozurdex.com/,mechanism_of_action,Image with CTA,No direct match found in AEM catalog.,screenshots/blocks/mechanism_of_action__default.png
OZURDEX® for HCPs | Home,Injection Technique,Provides information about the injection technique with supporting visuals and a link to learn more.,M,2,Informational content with links and visuals.,https://hcp.ozurdex.com/,injection_technique,Informational section,No direct match found in AEM catalog.,screenshots/blocks/injection_technique__default.png
OZURDEX® for HCPs | Home,Reimbursement Support,Details reimbursement and order support options with accompanying visuals.,M,1,Includes links and supporting visuals.,https://hcp.ozurdex.com/,reimbursement_support,Support section,No direct match found in AEM catalog.,screenshots/blocks/reimbursement_support__default.png
OZURDEX® for HCPs | Home,Resources Section,Offers downloadable resources for practices and patients.,M,1,Downloadable content and accessibility considerations.,https://hcp.ozurdex.com/,resources_section,Resource library,No direct match found in AEM catalog.,screenshots/blocks/resources_section__default.png
OZURDEX® for HCPs | Home,Important Safety Information,Displays critical safety and usage information for the product.,M,5,Critical information with accessibility requirements.,https://hcp.ozurdex.com/,important_safety_information,Safety information,No direct match found in AEM catalog.,screenshots/blocks/important_safety_information__default.png
OZURDEX® for HCPs | Home,Footer,"Contains site-wide links such as terms of use, privacy policy, and contact information.",M,5,Includes global site-wide links and styling.,https://hcp.ozurdex.com/,footer,Footer,Mapped to 'Footer' block in AEM catalog.,screenshots/blocks/footer__default.png
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,Sticky Menu,Provides quick links to key sections of the website.,S,1,Simple link list for sticky menu.,https://hcp.ozurdex.com/resources,link_list_section,Quick links,No direct match in catalog.,screenshots/blocks/link_list_section__default.png
