Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Home Page,Global Utility Navigation,Provides utility links for quick access to resources.,M,1,Includes accessibility features and dynamic links.,https://www.ozurdex.com/,global_utility_navigation,Utility navigation,No exact match found in catalog.
Home Page,Primary Navigation,Main navigation for accessing key site sections.,C,1,Deep navigation structure with multiple levels.,https://www.ozurdex.com/,primary_navigation,Main navigation,No exact match found in catalog.
Home Page,Hero Section,Displays a prominent hero image and headline.,M,1,Includes large visuals and headline text.,https://www.ozurdex.com/,hero_section,Hero banner,Mapped to Hero block from catalog.
Home Page,Image and Text Section 1,Combines image and descriptive text.,M,1,Standard pairing of media and text.,https://www.ozurdex.com/,image_text_section_1,Image and text,No exact match found in catalog.
Home Page,Image and Text Section 2,Highlights product features with imagery.,M,1,Standard pairing of media and text.,https://www.ozurdex.com/,image_text_section_2,Image and text,No exact match found in catalog.
Home Page,Image and Text Section 3,Explains product procedures with visuals.,M,1,Standard pairing of media and text.,https://www.ozurdex.com/,image_text_section_3,Image and text,No exact match found in catalog.
Home Page,Important Safety Information,Displays critical safety and usage information.,M,1,Compliance and accessibility requirements.,https://www.ozurdex.com/,important_safety_information,Safety information,No exact match found in catalog.
Home Page,Footer,Provides site-wide footer with links and information.,M,1,Includes legal and informational links.,https://www.ozurdex.com/,footer,Footer,Mapped to Footer block from catalog.
How It Works,Utility Navigation,Provides quick access to utility links.,S,1,Basic navigation links without advanced interaction.,https://www.ozurdex.com/howitworks,utility_navigation,Utility strip,Could not map to a catalog entry.
How It Works,Primary Navigation,Main navigation menu for the site.,M,1,Includes hierarchical navigation with potential for deeper interaction.,https://www.ozurdex.com/howitworks,primary_navigation,Main navigation,Could not map to a catalog entry.
How It Works,Hero Section,Prominent section with background image and main heading.,M,1,Includes styling and potential for dynamic content.,https://www.ozurdex.com/howitworks,hero_section,Hero banner,Mapped to Hero block in the catalog.
How It Works,How It Works Section,Explains the functionality and benefits of the product.,M,1,Content-driven section with potential interactive elements.,https://www.ozurdex.com/howitworks,how_it_works_section,Content section,Could not map to a catalog entry.
How It Works,Ozurdex Implant Section,"Details about the implant, its size, and functionality.",M,1,Detailed content requiring structured layout.,https://www.ozurdex.com/howitworks,ozurdex_implant_section,Information section,Could not map to a catalog entry.
How It Works,What Does Ozurdex Do Section,Describes the effects and benefits of the product.,M,1,Informational content with potential visual elements.,https://www.ozurdex.com/howitworks,what_does_section,Content section,Could not map to a catalog entry.
How It Works,Macula Comparison Section,Visual comparison of macula before and after treatment.,C,1,Requires advanced visual comparison feature.,https://www.ozurdex.com/howitworks,macula_comparison_section,Comparison visual,Could not map to a catalog entry.
How It Works,Video Section,Embedded video explaining the product's mechanism.,M,1,Includes video embedding and playback controls.,https://www.ozurdex.com/howitworks,video_section,Video embed,Could not map to a catalog entry.
How It Works,Important Safety Information,Provides safety and usage information for the product.,M,1,Critical content with specific layout requirements.,https://www.ozurdex.com/howitworks,important_safety_information,Safety info section,Could not map to a catalog entry.
How It Works,Footer,Footer section with links to additional resources and legal information.,S,1,Simple footer with static content.,https://www.ozurdex.com/howitworks,footer,Footer,Mapped to Footer block in the catalog.
About Your Condition,Utility Navigation,Displays links for utility actions like prescribing information and resources.,S,1,Simple navigation links without additional interactive features.,https://www.ozurdex.com/aboutyourcondition,global_utility_navigation,Utility strip,Ensure accessibility for menu items.
About Your Condition,Primary Navigation,Main navigation bar for accessing key site sections.,M,1,Includes multiple levels of navigation with potential dropdowns.,https://www.ozurdex.com/aboutyourcondition,primary_navigation,Main navigation,Verify responsive behavior and ARIA roles for accessibility.
About Your Condition,Hero Banner,Prominent banner introducing the page topic.,M,1,Requires proper image handling and responsive design.,https://www.ozurdex.com/aboutyourcondition,hero_section,Hero banner,Ensure proper text contrast and alignment.
About Your Condition,Condition Impact,Details the impact of the condition on vision.,M,1,Involves detailed text and links.,https://www.ozurdex.com/aboutyourcondition,condition_impact_section,Informational section,Ensure text is clear and links are functional.
About Your Condition,Visual Acuity,Provides visual acuity information.,M,1,Includes images and descriptive text.,https://www.ozurdex.com/aboutyourcondition,visual_acuity_section,Informational section,Verify image descriptions for accessibility.
About Your Condition,Symptoms,Lists symptoms associated with the condition.,M,1,Requires visual examples and detailed text.,https://www.ozurdex.com/aboutyourcondition,symptoms_section,Informational section,Ensure all examples are accessible.
About Your Condition,DME Information,Details about Diabetic Macular Edema.,M,1,Includes diagrams and descriptions.,https://www.ozurdex.com/aboutyourcondition,dme_section,Informational section,Verify diagram clarity and text descriptions.
About Your Condition,RVO Information,Information about Retinal Vein Occlusion.,M,1,Involves descriptive text and visual aids.,https://www.ozurdex.com/aboutyourcondition,rvo_section,Informational section,Ensure accessibility of visual aids.
About Your Condition,Footer,Displays footer content with links and resources.,S,1,Simple static footer with links.,https://www.ozurdex.com/aboutyourcondition,footer,Footer section,Ensure links are functional and styled correctly.
Site Navigation Page,Utility Navigation,Provides quick access links or user options.,S,1,"Limited scope, primarily links and basic navigation.",https://www.ozurdex.com/header-site-nav,global_utility_navigation,Utility strip,No matching catalog entry.
Site Navigation Page,Main Navigation,Main navigation menu for exploring site sections.,M,1,Includes depth and accessibility considerations.,https://www.ozurdex.com/header-site-nav,primary_navigation,Primary navigation,No matching catalog entry.
Site Navigation Page,Logo Header,Displays a clickable site logo linking to the homepage.,S,1,Simple component with basic functionality.,https://www.ozurdex.com/header-site-nav,header_logo,Logo,No matching catalog entry.
Site Navigation Page,Mobile Navigation Toggle,Allows users to toggle mobile navigation visibility.,M,1,Interactive element requiring accessibility features.,https://www.ozurdex.com/header-site-nav,mobile_menu_toggle,Toggle button,No matching catalog entry.
Site Navigation Page,Banner Navigation,Displays secondary navigation links in a banner format.,S,1,"Limited functionality, primarily link display.",https://www.ozurdex.com/header-site-nav,banner_navigation,Horizontal navigation,No matching catalog entry.
Warning Page,Headline Section,Displays the main headline and introductory text for the warning page.,S,1,Simple styling and content layout.,https://www.ozurdex.com/warn-on-leave,headline_section,Heading and Intro Text,No matching block found in the AEM blocks catalog.
Warning Page,CTA Columns,Contains two call-to-action buttons arranged in a two-column layout.,M,1,Involves interactive elements with potential accessibility considerations.,https://www.ozurdex.com/warn-on-leave,cta_columns,Two-column CTA layout,No matching block found in the AEM blocks catalog.
