Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
QULIPTA® (atogepant) for Migraine Prevention,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,header_utility_strip,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,header_primary_navigation,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1660414692 .abbv-background-container-display { background-image : url…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_0,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,main region 1,Major content region in main (div).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_1,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,main region 2,"Major content region in main (div). Preview: THE FORGET-YOU-GET-MIGRAINE MEDICINE™ Not actual size. You’ll never truly forget migraine, but QULIPTA is a once-daily p…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_2,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,main region 3,Major content region in main (div). Preview: The Results Are In: QULIPTA vs Topiramate A head-to-head study shows how QULIPTA stacked up against topiramate. SEE THE …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_3,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,main region 4,Major content region in main (div). Preview: WHAT ARE YOU CURRENTLY TAKING TO PREVENT MIGRAINE ATTACKS? I'm taking QULIPTA I'm taking a different prescription oral m…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_4,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,main region 5,"Major content region in main (div). Preview: Not actual card. SAVINGS & SUPPORT MADE SIMPLE To save on QULIPTA, activate the QULIPTA Savings Card and show it at the …",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_5,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,main region 6,Major content region in main (div). Preview: READY TO TAKE THE NEXT STEP? It's time to talk about migraine with your doctor and ask whether QULIPTA is right for you.…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_6,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,main region 7,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-633190212 .abbv-background-container-display { background-image : url(…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_7,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,main region 8,Major content region in main (div). Preview: “The moment I realized this was working for me was a huge relief.” Kelsi QULIPTA patient Kelsi was compensated to share …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,main_region_8,default,templateIds: tpl_0
QULIPTA® (atogepant) for Migraine Prevention,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/,site_footer,default,templateIds: tpl_0
What Is QULIPTA® (atogepant)? - A Migraine Preventive Treatment,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/why-qulipta,header_utility_strip,default,templateIds: tpl_1
What Is QULIPTA® (atogepant)? - A Migraine Preventive Treatment,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/why-qulipta,header_primary_navigation,default,templateIds: tpl_1
What Is QULIPTA® (atogepant)? - A Migraine Preventive Treatment,main region 0,"Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-33485202 .abbv-background-container-display { background-image : url(""…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/why-qulipta,main_region_0,default,templateIds: tpl_1
What Is QULIPTA® (atogepant)? - A Migraine Preventive Treatment,main region 1,Major content region in main (div).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/why-qulipta,main_region_1,default,templateIds: tpl_1
What Is QULIPTA® (atogepant)? - A Migraine Preventive Treatment,main region 2,Major content region in main (div). Preview: WHY QULIPTA®? QULIPTA is the only pill of its kind that blocks CGRP and is approved to prevent migraine of any frequency…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/why-qulipta,main_region_2,default,templateIds: tpl_1
What Is QULIPTA® (atogepant)? - A Migraine Preventive Treatment,main region 3,"Major content region in main (div). Preview: THE PREVENTIVE POWER OF QULIPTA QULIPTA is a once-daily pill that reduces migraine attacks, making more zero-migraine da…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/why-qulipta,main_region_3,default,templateIds: tpl_1
What Is QULIPTA® (atogepant)? - A Migraine Preventive Treatment,main region 4,"Major content region in main (div). Preview: HOW DOES QULIPTA WORK WITHIN YOUR BODY? Your body has a protein called calcitonin gene-related peptide, or CGRP CGRP is …",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.qulipta.com/why-qulipta,main_region_4,default,templateIds: tpl_1
